Code du département;Code de la circonscription;Inscrits;JOLY;LE_PEN;SARKOZY;MELENCHON;POUTOU;ARTHAUD;CHEMINADE;BAYROU;DUPONT-AIGNAN;HOLLANDE
41;1;80410;1361;11798;17412;6555;792;394;146;6806;1241;17805
41;2;80275;949;15006;18874;6418;825;433;192;5476;1434;15391
41;3;82376;1108;14386;19658;6464;977;557;180;6974;1538;16151
42;1;67953;1063;10441;12142;6612;527;295;107;4702;899;16745
42;2;57287;1057;7585;10248;5768;417;240;99;3784;698;13801
42;3;80375;1248;14860;16101;6868;661;354;148;6158;1348;17691
42;4;99044;1692;19443;18613;9891;973;493;175;7824;1772;20240
42;5;101180;1429;17676;22330;8990;934;538;211;8052;1840;20872
42;6;103862;1601;18872;23976;7975;952;583;199;9689;2148;19773
43;1;95744;1707;17625;19255;8641;1049;588;184;9132;1683;19871
43;2;80359;1334;11975;16183;7573;882;479;138;7080;1338;18382
44;1;72688;2455;4865;16674;6047;521;195;139;7163;790;19864
44;2;81535;3088;4666;17746;8138;599;245;135;7133;805;23017
44;3;88998;2601;7677;14244;9773;766;370;173;7256;1092;26813
44;4;82720;2305;7097;14146;9286;800;368;148;7190;1162;26005
44;5;105488;2913;10038;22587;9551;995;425;187;11896;1699;28728
44;6;106779;2521;14297;23889;9499;1401;674;218;10141;1906;24570
44;7;101902;2071;11692;27469;8662;1144;494;158;8646;1590;22650
44;8;81009;1781;8871;12374;10047;998;506;134;5818;1160;23745
44;9;107606;2230;14008;26199;9619;1312;655;232;10182;2072;24121
44;10;106529;2445;11038;26343;9518;1099;526;236;12028;1962;26195
45;1;73161;1357;8594;18298;5570;535;259;160;6385;1177;16906
45;2;81883;1347;12074;18799;6512;663;405;150;6255;1253;17928
45;3;71053;864;13484;17200;5230;635;331;164;5097;1278;13724
45;4;74980;925;14854;17572;5789;566;347;142;4673;1437;12676
45;5;72673;934;14011;16396;5385;675;375;131;5220;1279;13898
45;6;69178;1317;10247;16085;5437;536;290;138;5503;1088;15485
46;1;70151;1680;8531;12663;8693;844;314;148;5288;1108;19699
46;2;65027;1366;6845;11784;7707;806;309;151;5360;1104;19670
47;1;86690;1450;14981;18032;8157;910;315;143;6480;1253;19374
47;2;77711;1099;14043;16104;7674;882;355;151;5495;1110;16359
47;3;76525;1226;13056;15632;7135;907;304;167;5419;1159;17160
48;1;59890;1307;8650;13885;6208;647;263;119;5505;843;12579
49;1;80729;1843;7735;19686;6571;787;350;179;7958;1221;19365
49;2;87336;1939;8727;19604;7551;974;548;205;9029;1461;21900
49;3;68407;1070;10604;16835;5464;799;457;149;6001;1425;13750
49;4;73602;1247;10227;19492;5196;939;440;146;7169;1487;14003
49;5;75267;1202;7475;18670;5017;925;486;154;8672;1322;17547
49;6;92436;1920;10347;23299;7033;1089;683;192;11234;1823;19713
49;7;75237;1516;8137;18834;5769;825;462;157;8133;1348;17256
50;1;86456;1244;12124;20750;6195;998;530;164;8130;1619;18937
50;2;94746;1485;12260;25266;6679;1046;559;217;10079;1887;18113
50;3;105836;1659;15621;25442;8561;1162;601;271;9635;1953;22085
50;4;88678;1213;10922;16776;8732;925;516;230;6428;1477;23638
51;1;69203;944;10215;15129;4918;667;341;128;5092;987;14087
51;2;72576;1010;10280;17421;4856;622;331;134;5590;968;14757
51;3;81279;955;14492;18751;5780;788;430;133;5766;1360;14574
51;4;80837;908;14304;17881;5429;767;358;177;6019;1277;15284
51;5;78108;665;17349;19525;4309;690;489;140;5743;1437;12730
52;1;74607;951;13066;16939;5419;816;462;130;5245;1426;14657
52;2;64322;555;14558;13665;4301;639;398;135;3467;1211;11313
53;1;72582;1323;8469;16617;5325;707;426;132;8002;1130;17057
53;2;76637;1322;8947;20581;5034;829;477;131;9096;1382;15662
53;3;72274;1219;9514;18747;4777;856;512;165;8020;1385;14427
54;1;80648;1671;9501;16551;7148;684;332;201;6231;1167;18825
54;2;70856;1369;7413;15536;5534;541;224;179;6251;918;17364
54;3;83005;838;13653;12652;11588;913;436;129;4067;1029;17981
54;4;97171;1130;19768;19251;7541;1103;603;216;6680;1754;19536
54;5;76585;1059;15444;16287;5873;831;449;172;5493;1264;15648
54;6;87241;991;16759;14138;9358;916;538;195;5149;1315;19516
55;1;78882;1065;16818;16509;5448;978;433;227;6101;1319;15173
55;2;61251;729;12220;13354;4503;710;356;117;4274;980;11140
56;1;98822;2451;10035;26855;7109;906;315;219;9854;1462;23435
56;2;98595;2553;13381;24392;8257;1208;501;226;8596;1567;21707
56;3;86774;1719;13287;19732;7145;1037;531;180;8567;1404;19723
56;4;102136;1967;14470;25127;8143;1182;621;217;9613;1686;22843
56;5;80340;2160;8700;15938;7800;837;363;188;5699;995;20482
56;6;89152;2098;11842;17794;8766;1130;487;238;7721;1434;22263
57;1;88138;1289;14966;16435;7577;870;452;171;5944;1114;19411
57;2;76137;1152;11926;17335;5288;660;338;143;6115;1068;14824
57;3;74012;1275;11258;15935;5560;696;359;154;5825;1064;14535
57;4;81115;1088;18471;19512;4433;950;610;204;6748;1359;11673
57;5;74554;917;16730;15906;4099;924;543;179;6048;1280;11157
57;6;72289;674;15766;12353;4530;640;433;116;3841;873;13714
57;7;91531;999;20956;16926;6231;1065;536;183;6296;1346;16343
57;8;90881;932;16121;12761;9548;1078;540;157;4321;1064;20607
57;9;97021;1549;15283;21165;7189;1041;539;215;8022;1490;18059
58;1;78208;1076;11816;13548;7403;751;400;155;4616;1151;20140
58;2;86703;1067;13749;15852;8198;924;534;183;5130;1412;22491
59;1;60434;1521;6287;9156;6694;495;263;118;3641;469;15268
59;2;87210;2026;10804;13673;10237;690;420;141;5235;790;22259
59;3;96461;847;19071;16440;8945;832;626;165;4126;1156;19903
59;4;97081;1967;11758;24210;7588;688;379;169;7977;1107;18688
59;5;96321;1358;16919;19466;8959;881;505;200;6570;1351;20565
59;6;84619;1347;13083;22483;6512;626;374;171;6758;1198;17243
59;7;72067;964;9720;16652;5721;468;306;117;4923;825;14680
59;8;69238;751;10203;8813;6307;540;323;109;2721;542;17664
59;9;89146;1777;8776;25821;6350;496;267;171;6669;876;15755
59;10;80282;966;12965;16304;5973;618;415;116;4509;890;15379
59;11;90333;1626;13186;16759;8111;736;426;185;5499;968;20562
59;12;93655;908;18585;16755;10700;866;573;139;4690;1320;19247
59;13;90479;988;17064;12703;8823;1003;664;187;3879;995;21993
59;14;98692;1151;19463;20868;7239;1090;604;205;5888;1331;21587
59;15;95256;1220;17489;20633;7224;974;587;158;6552;1393;20252
59;16;83552;761;16192;10403;12976;743;511;130;3381;898;18276
59;17;74984;699;14100;12245;8383;594;344;128;3892;838;16549
59;18;91923;832;17846;17795;7575;812;613;157;4718;1416;19216
59;19;78813;607;16325;10398;10792;635;466;141;2985;887;17395
59;20;80776;774;16634;11859;9537;733;438;143;3383;863;15033
59;21;81037;886;13892;15278;8391;618;441;135;4515;1047;15957
60;1;80708;886;17438;16257;6010;954;656;164;4589;1309;16341
60;2;85945;955;19343;19122;6268;953;621;160;5154;1410;15336
60;3;71230;745;13447;12458;6965;658;385;125;3546;1004;16365
60;4;90018;1334;15574;24451;5970;670;368;167;6553;1394;15219
60;5;71315;967;13849;14222;5633;676;426;155;4533;1119;14850
60;6;74639;892;14386;15996;6291;754;451;160;4709;1185;14023
60;7;74990;819;15302;13420;6920;673;484;150;4076;1084;16440
61;1;71172;1076;10545;17316;5225;863;406;127;6714;1335;14211
61;2;68817;882;12828;18033;4394;779;441;157;5356;1447;11808
61;3;72532;1151;11384;16149;5882;873;447;138;6256;1391;16140
62;1;103048;920;22076;22877;8113;1120;749;163;6551;1600;21638
62;2;84252;1211;13030;17237;7143;813;424;155;6356;1188;20639
62;3;87303;673;18899;9573;10448;877;572;127;2559;844;19797
62;4;87406;844;15146;22217;6091;850;581;156;5158;1291;18371
62;5;89811;1010;15526;15927;7746;881;545;149;4390;1065;22547
62;6;88973;815;18764;18513;6437;946;580;123;5281;1509;21426
62;7;92272;858;17922;14974;8694;939;552;158;4283;1101;20413
62;8;93137;850;17915;15585;8034;944;718;165;4825;1313;23131
62;9;79240;898;14876;15008;6763;750;522;163;4792;1116;17614
62;10;89751;727;18749;11479;9098;960;674;145;3586;1081;21000
62;11;94027;735;22089;11100;10441;815;588;171;3201;942;20210
62;12;94508;774;21761;11142;8966;1053;741;149;3372;1072;23185
63;1;80416;1338;9301;12580;9053;769;407;153;5930;990;24272
63;2;86266;1347;11766;15017;10273;968;518;171;7170;1352;23062
63;3;86752;1936;8687;18827;8380;790;323;180;8297;1254;22371
63;4;95438;1621;11880;15628;11616;1026;511;273;7680;1470;27725
63;5;100375;1307;15921;17072;12369;1042;613;211;7694;1489;24814
64;1;68872;1451;6752;12517;6500;649;172;119;8440;772;17315
64;2;77655;1382;8407;13746;6757;714;182;112;12705;880;19075
64;3;81932;1467;9232;13380;8268;1061;330;170;10641;1117;21969
64;4;80359;2069;7333;13944;8370;1549;440;162;11751;926;19449
64;5;85472;2227;7842;16951;8430;1236;300;147;8481;939;20212
64;6;94656;2749;8278;22429;8424;1603;402;172;9663;1094;19803
65;1;88416;1521;10236;13589;11494;1019;384;152;7093;1106;24800
65;2;89001;1486;11344;15923;10440;948;396;148;8172;1270;23183
66;1;67579;1025;12568;14001;6366;544;217;129;3571;683;14064
66;2;89162;1200;19871;18901;8451;852;341;141;4179;1011;17534
66;3;80154;1697;14183;15689;8792;923;349;156;4203;844;17030
66;4;92348;1642;17385;18279;10130;946;398;165;4655;1114;19965
67;1;63853;2164;4719;13267;5641;416;175;104;4895;444;16280
67;2;71121;2046;7769;14583;5707;471;254;147;5707;648;15632
67;3;68309;1590;8204;15509;4923;463;258;130;5724;654;14125
67;4;89817;1854;13522;27155;4593;540;347;195;9166;1209;13733
67;5;98393;2212;18594;26469;4952;826;628;242;9941;1571;12934
67;6;91107;1823;17186;25203;4766;815;494;223;9055;1497;11910
67;7;84580;1620;18018;23004;4003;834;546;182;8534;1355;9373
67;8;92698;1480;20005;25787;3595;954;615;246;8509;1518;9617
67;9;88209;1399;16247;25991;4122;674;462;186;8409;1245;11098
68;1;74637;1613;13052;18052;3972;683;386;180;6841;1167;11513
68;2;91283;2556;17130;23682;5029;963;537;231;8969;1633;12127
68;3;83595;1781;14694;25293;4199;748;393;212;8076;1482;9470
68;4;99218;1852;21890;22558;6297;1079;603;268;8756;1876;14294
68;5;79642;1682;11055;18903;4914;540;297;185;6535;985;13543
68;6;92799;1496;17167;20861;5665;811;392;246;6999;1365;15633
69;1;68034;1851;6513;14679;6272;470;251;144;5679;798;16261
69;2;74861;3147;4512;17200;8444;470;219;166;5831;697;18300
69;3;70269;2280;5720;15192;6788;417;248;157;5951;761;17727
69;4;79705;2138;5973;23240;5736;389;197;138;7070;847;17341
69;5;80421;1843;8592;26647;5491;476;231;157;7761;1160;14803
69;6;78307;2039;8207;14738;7939;554;331;161;5653;888;20698
69;7;64610;1042;7449;11392;6497;415;295;134;3801;753;16858
69;8;98374;1938;14544;28791;6981;719;379;222;9393;1775;16785
69;9;85755;1500;14709;23100;6247;619;344;182;7475;1496;14265
69;10;89479;2110;11732;26427;6093;622;328;204;9178;1760;16132
69;11;85346;1845;13982;20000;7796;693;403;182;6936;1313;17574
69;12;76108;1739;8525;20725;6247;486;271;177;7105;1043;16269
69;13;79390;1252;12959;19592;5872;516;305;138;5820;1147;16316
69;14;69973;887;9905;10199;8473;566;418;102;3389;765;18450
70;1;88775;1267;16822;20071;6681;885;498;213;5810;1504;18977
70;2;91871;1048;19985;16896;7444;1114;628;194;5337;1478;19684
71;1;72494;1396;9867;16313;6337;605;289;157;5691;1158;15561
71;2;81318;897;12398;17338;6799;806;458;181;6451;1529;18088
71;3;83710;1090;13954;17395;6594;844;399;180;5568;1282;19721
71;4;81210;906;14989;16357;6594;855;454;133;5458;1348;17831
71;5;91255;1146;13846;17096;8224;861;448;151;5515;1271;21997
72;1;72544;1347;9770;16768;5905;728;363;127;6029;1209;15864
72;2;83308;1149;12272;14881;8006;795;476;163;5213;1223;20784
72;3;84790;1145;14756;18160;7304;1030;609;152;6076;1645;18084
72;4;78821;1204;12121;16727;7269;872;477;148;5975;1340;17770
72;5;87395;1308;13597;19638;6659;954;527;159;6509;1595;19220
73;1;82082;2221;13032;20564;6489;677;275;198;7393;1424;15030
