Code du département;Code de la circonscription;Inscrits;JOLY;LE_PEN;SARKOZY;MELENCHON;POUTOU;ARTHAUD;CHEMINADE;BAYROU;DUPONT-AIGNAN;HOLLANDE
86;2;75551;1815;7453;14983;7243;776;369;151;6450;1235;21139
86;3;74858;1053;10995;15708;6362;936;497;140;5464;1382;18891
86;4;76082;938;12801;15323;6151;813;480;133;5477;1237;16693
87;1;84655;1292;11228;12841;10598;813;454;146;5093;1072;26004
87;2;96684;1482;13176;16766;11517;960;497;206;6530;1384;28196
87;3;83575;1151;11417;13618;9189;868;484;164;5566;1178;24049
88;1;76569;1140;13812;15541;5571;821;404;167;5785;1347;16350
88;2;74246;986;16435;13962;5750;926;448;160;4977;1317;14223
88;3;66692;1067;12028;13987;5468;989;434;158;5750;1431;12492
88;4;67903;833;13064;14474;5373;837;430;176;5004;1355;13430
89;1;78386;1289;13460;17633;6277;745;410;149;5721;1381;15752
89;2;77724;957;14982;16538;6592;838;446;171;5159;1340;15212
89;3;89148;1180;17615;19548;6671;894;468;164;5592;1589;15703
90;1;47161;685;9100;9464;4017;483;239;115;3243;671;9371
90;2;47728;831;8686;8427;4530;505;284;100;3387;672;10113
91;1;70316;1110;7492;9856;7343;528;281;107;3776;957;20124
91;2;87069;1365;14304;19612;7863;749;310;175;6303;1791;16647
91;3;91957;1684;12685;19535;8813;778;327;193;7213;1705;19830
91;4;92043;1677;11207;20958;8091;735;310;190;7917;1672;20473
91;5;66536;1859;4392;15363;6028;409;186;153;6581;862;17570
91;6;76035;1726;7605;14675;7521;515;234;173;6222;1082;19649
91;7;71597;1121;9130;13791;6897;528;228;128;4685;1173;17341
91;8;75214;1222;7697;12608;6607;438;187;87;4300;8282;16927
91;9;75942;1334;9171;15679;6969;508;207;152;5186;1956;17726
91;10;60583;929;7077;10002;7108;403;192;98;3555;912;15219
92;1;59623;867;4932;7453;8748;451;233;123;2548;499;17764
92;2;63482;1542;4107;16507;4777;335;155;132;5539;717;16015
92;3;76507;1603;4948;23337;4593;320;128;174;7018;762;16129
92;4;70765;1385;5369;13319;8066;471;239;152;4939;687;19514
92;5;68723;1460;4438;19534;5353;377;166;115;5143;689;16554
92;6;73307;1188;4387;32179;3253;287;104;129;5451;664;11350
92;7;83746;1623;5619;28599;4415;376;142;180;8266;972;16084
92;8;66906;1703;4058;20536;4257;311;133;135;6466;726;14693
92;9;60995;1166;3072;24372;2699;196;69;88;5267;594;10883
92;10;71664;1751;4290;17467;5639;363;154;166;6720;736;18424
92;11;67311;1692;4857;10903;9194;504;241;149;4626;669;19323
92;12;89771;2023;7008;20930;7899;604;230;186;7902;1168;22770
92;13;85738;2083;5362;21434;7018;436;193;210;8512;968;21730
93;1;55097;957;4061;6178;7135;376;225;107;2411;427;17168
93;2;51694;747;3715;4467;7422;394;211;90;1551;402;16257
93;3;70622;1305;7149;12992;6774;501;202;143;4445;900;19146
93;4;60063;510;6139;6541;8202;368;225;74;1823;495;17463
93;5;62178;592;6837;7758;7301;443;255;104;2338;547;17097
93;6;49896;903;3981;5699;6971;326;287;80;1702;368;15151
93;7;71196;2122;4998;7190;12473;554;240;105;2880;541;20270
93;8;60079;892;7149;12373;5527;372;184;97;3652;731;14115
93;9;66448;1397;5885;9469;8479;431;282;118;2846;611;19494
93;10;66951;888;6962;10711;6945;406;207;112;3124;659;18290
93;11;61966;712;6935;7971;7720;388;233;124;2577;558;17035
93;12;64346;756;8524;12661;5761;377;157;105;3312;739;15051
94;1;82541;1812;7190;21915;7037;438;209;185;6649;1105;18096
94;2;64960;1024;5856;9987;8188;449;203;145;3119;694;19444
94;3;70692;906;8762;12603;7548;470;212;128;3922;1484;17393
94;4;71770;1202;7807;16824;6057;428;196;141;5689;1067;16170
94;5;85891;1685;7200;20379;8133;479;177;157;6278;971;19047
94;6;77865;2178;4929;19464;7066;416;200;164;6687;807;18940
94;7;63673;1111;6018;12086;6451;439;199;129;4422;811;17051
94;8;73706;1666;6596;18431;5799;443;207;147;5751;1022;17288
94;9;53275;944;4931;7804;6961;411;195;92;2594;576;14888
94;10;63291;1409;4976;8040;10265;514;242;103;3216;624;17849
94;11;59907;1455;5134;8019;8445;459;177;107;3565;574;16615
95;1;78589;1449;11486;17382;6819;716;325;170;5458;1263;17076
95;2;73354;1364;9529;15603;6489;593;229;143;5256;1060;17020
95;3;87927;1504;10732;18429;7792;578;276;173;6543;1290;19368
95;4;72471;1270;8029;15863;5954;520;253;157;5617;1122;16690
95;5;67998;853;7382;9167;8293;499;287;117;3136;683;18737
95;6;74545;1208;7489;17303;6149;459;186;142;5159;894;17046
95;7;67663;961;7238;16631;5531;428;194;119;3992;726;15644
95;8;52049;464;4845;7694;4857;320;134;61;1746;420;16362
95;9;67551;713;10197;11662;5950;471;247;105;3330;809;16794
95;10;62663;1121;6175;10129;5845;525;209;138;4446;782;17921
ZA;1;72685;460;1625;7345;1662;249;385;119;1433;284;20980
ZA;2;81396;580;2210;9548;2116;309;332;107;1915;367;21710
ZA;3;76834;573;1971;8007;2420;326;326;111;2032;348;21420
ZA;4;67193;521;1680;9073;1608;267;292;104;1481;238;18625
ZB;1;76407;562;1934;10394;2183;448;412;152;2227;410;20155
ZB;2;81656;622;1901;11672;2142;448;374;148;2444;437;20649
ZB;3;65906;492;1451;7600;1923;361;342;129;1843;342;15964
ZB;4;78934;599;1674;8777;2352;455;314;131;2167;374;19266
ZC;1;46084;541;2500;6191;1780;313;132;98;1528;266;9971
ZC;2;30790;302;1420;3983;1172;166;76;50;801;150;5972
ZD;1;73748;1065;4820;10461;3044;381;259;156;4118;464;22104
ZD;2;83925;1216;4555;8398;4286;503;346;164;3567;576;28653
ZD;3;83635;1111;6745;9598;3461;488;309;145;3599;667;27218
ZD;4;94808;1344;6172;11915;4036;562;372;218;3081;556;34728
ZD;5;75680;626;4949;7048;2647;352;359;115;2129;378;26541
ZD;6;67693;789;4655;7059;2532;342;240;105;2387;362;22611
ZD;7;98920;1586;5653;10898;4497;542;305;163;5972;628;32154
ZM;1;35496;352;594;6454;444;139;98;87;849;182;6558
ZM;2;41917;437;402;11082;500;160;94;88;656;213;6594
ZN;1;76323;1211;4937;21956;1477;360;191;124;2487;444;8162
ZN;2;89144;1125;5472;22346;1450;514;294;155;2092;389;14073
ZP;1;67166;1252;1904;15359;892;198;185;139;2430;634;9978
ZP;2;59397;1030;1560;12575;742;164;176;118;1170;1404;8572
ZP;3;60079;1110;1687;12677;858;170;149;121;1539;446;10580
ZS;1;4923;43;416;488;399;103;23;13;194;64;888
ZW;1;8940;100;152;2414;76;42;48;29;410;43;3093
ZX;1;22685;208;975;3504;473;85;44;28;473;92;2151
ZZ;1;157767;3231;2998;19755;3729;321;94;171;6574;694;14827
ZZ;2;73912;1058;1180;8367;2104;152;74;88;1591;219;6068
ZZ;3;88133;1948;927;9443;2117;204;61;88;3904;365;9084
ZZ;4;95182;2915;3270;16690;4679;370;166;218;6639;679;12144
ZZ;5;80761;1462;2028;10651;2979;253;93;113;2269;324;7069
ZZ;6;79508;2441;3982;20335;4187;488;155;200;7168;880;9700
ZZ;7;89643;3473;1446;10363;2592;248;97;138;4911;431;10645
ZZ;8;109763;1011;1321;12256;1926;203;112;92;1722;315;6047
ZZ;9;98997;1010;1395;12307;4378;209;78;87;2615;269;16441
ZZ;10;89859;1320;3254;17882;2484;206;101;147;3779;441;12897
ZZ;11;80061;2078;2194;15252;2328;189;106;115;4695;431;9274
