circo;Inscrits;Exprimés;%_Exp/Ins;LFI;voix;%_Voix/Ins;%_Voix/Exp;PCF;voix;%_Voix/Ins;%_Voix/Exp;EELV;voix;%_Voix/Ins;%_Voix/Exp;PS;voix;%_Voix/Ins;%_Voix/Exp;EM;voix;%_Voix/Ins;%_Voix/Exp;UDI;voix;%_Voix/Ins;%_Voix/Exp;LR;voix;%_Voix/Ins;%_Voix/Exp;DLF;voix;%_Voix/Ins;%_Voix/Exp;FN;voix;%_Voix/Ins;%_Voix/Exp
86_3;74137;32403;43.71;Marie-José CELLOT;4385;5.91;13.53;Valérie LAFOY;1208;1.63;3.73;Florian SÉJOURNÉ;1281;1.73;3.95;;0;0.0;0.0;Jean-Michel CLÉMENT;15013;20.25;46.33;;0;0.0;0.0;Enguerrand DELANNOY;5004;6.75;15.44;;0;0.0;0.0;Delphine JUMEAU;5512;7.43;17.01
86_4;75734;29348;38.75;Aurélie SAULNIER;3554;4.69;12.11;Clarice PEREIRA;1002;1.32;3.41;Jean-Paul BODIN;689;0.91;2.35;;0;0.0;0.0;Nicolas TURQUOIS;11089;14.64;37.78;;0;0.0;0.0;Anne-Florence BOURAT;6799;8.98;23.17;;0;0.0;0.0;Alain VERDIN;6215;8.21;21.18
87_1;85076;37001;43.49;Danielle SOURY;7052;8.29;19.06;Francis DAULIAC;1600;1.88;4.32;Jean-Louis PAGÈS;1563;1.84;4.22;Laurent LAFAYE;5140;6.04;13.89;Sophie BEAUDOUIN-HUBIERE;16344;19.21;44.17;;0;0.0;0.0;Nandrianina RAMASONDRANO;480;0.56;1.3;;0;0.0;0.0;Nathalie GERARD;4822;5.67;13.03
87_2;97847;46217;47.23;Hubert HURARD;6366;6.51;13.77;Pierre ALLARD;6648;6.79;14.38;Lucien COINDEAU;1653;1.69;3.58;Annick MORIZIO;5827;5.96;12.61;Jean-Baptiste DJEBBARI-BONNET;19424;19.85;42.03;;0;0.0;0.0;Camille FLEISCH;855;0.87;1.85;;0;0.0;0.0;Joëlle CREPET;5444;5.56;11.78
87_3;83399;43801;52.52;Pierre-Edouard PIALAT;6250;7.49;14.27;Isabelle COUTURIER;1376;1.65;3.14;Marcel BAYLE;1316;1.58;3.0;Catherine BEAUBATIE;5836;7.0;13.32;Marie-Ange MAGNE;17116;20.52;39.08;;0;0.0;0.0;Guillaume GUERIN;7303;8.76;16.67;;0;0.0;0.0;Vincent GERARD;4604;5.52;10.51
88_1;77066;33489;43.45;Fabrice PISIAS;4110;5.33;12.27;Valérie Anne LE GALL;298;0.39;0.89;Lou NOIRCLERE;871;1.13;2.6;Martine FRANCOIS;1376;1.79;4.11;Alisson HAMELIN;11826;15.35;35.31;;0;0.0;0.0;Stéphane VIRY;9646;12.52;28.8;;0;0.0;0.0;Sébastien HUMBERT;5362;6.96;16.01
88_2;73276;22968;31.34;Sylvain CALBRIX;3704;5.05;16.13;Sandra BLAISE;808;1.1;3.52;;0;0.0;0.0;Christine L'HEUREUX;1606;2.19;6.99;Christine URBES;9716;13.26;42.3;;0;0.0;0.0;Jocelyne RIVAT;451;0.62;1.96;;0;0.0;0.0;Isabelle GERARD;6683;9.12;29.1
88_3;65636;22006;33.53;Christine BOURBON-SCHMITT;2864;4.36;13.01;Frédérique KERKHOVE;462;0.7;2.1;;0;0.0;0.0;Stessy SPEISSMANN;4300;6.55;19.54;Claude THIRARD;8841;13.47;40.18;;0;0.0;0.0;Léa GRÜNENWALD;922;1.4;4.19;;0;0.0;0.0;Marina DO SANTOS;4617;7.03;20.98
88_4;66634;31015;46.55;Renée-Lise ROTHIOT;3387;5.08;10.92;Pascal LOPEZ;406;0.61;1.31;Florence LAMAZE;1365;2.05;4.4;Christian FRANQUEVILLE;6366;9.55;20.53;Raynald MAGNIEN-COEURDACIER;5964;8.95;19.23;;0;0.0;0.0;Jean-Jacques GAULTIER;7601;11.41;24.51;;0;0.0;0.0;Jordan GROSSE-CRUCIANI;5926;8.89;19.11
89_1;76975;27052;35.14;Mathieu DEBURGHRAVE;4248;5.52;15.7;;0;0.0;0.0;Maud NAVARRE;2453;3.19;9.07;;0;0.0;0.0;Paulo DA SILVA MOREIRA;13482;17.51;49.84;;0;0.0;0.0;Anna CONTANT;648;0.84;2.4;;0;0.0;0.0;Ludovic VIGREUX;6221;8.08;23.0
