circo;Inscrits;Exprimés;%_Exp/Ins;LFI;voix;%_Voix/Ins;%_Voix/Exp;PCF;voix;%_Voix/Ins;%_Voix/Exp;EELV;voix;%_Voix/Ins;%_Voix/Exp;PS;voix;%_Voix/Ins;%_Voix/Exp;EM;voix;%_Voix/Ins;%_Voix/Exp;UDI;voix;%_Voix/Ins;%_Voix/Exp;LR;voix;%_Voix/Ins;%_Voix/Exp;DLF;voix;%_Voix/Ins;%_Voix/Exp;FN;voix;%_Voix/Ins;%_Voix/Exp
93_7;75987;28589;37.62;Alexis CORBIÈRE;7226;9.51;25.28;Gaylord LE CHEQUER;3363;4.43;11.76;Pierre SERNE;2717;3.58;9.5;Razzy HAMMADI;3297;4.34;11.53;Halima MENHOUDJ;8264;10.88;28.91;;0;0.0;0.0;Manon LAPORTE;2115;2.78;7.4;;0;0.0;0.0;Sébastien JOLIVET;1607;2.11;5.62
93_8;60044;24959;41.57;Maxence ALBESPY;3741;6.23;14.99;Delphine ZOUGHEBI-GAILLARD;534;0.89;2.14;Aurélien BERTHOU;901;1.5;3.61;Elisabeth POCHON;2550;4.25;10.22;Sylvie CHARRIÈRE;8887;14.8;35.61;;0;0.0;0.0;Patrice CALMÉJANE;5692;9.48;22.81;;0;0.0;0.0;Alexandra BOURGOIN;2654;4.42;10.63
93_9;70118;26495;37.79;Sabine RUBIN;5404;7.71;20.4;Sofia DAUVERGNE;1936;2.76;7.31;Dominique BUSSON;1644;2.34;6.2;Daniel GUIRAUD;4580;6.53;17.29;Jeanne DROMARD;8993;12.83;33.94;;0;0.0;0.0;Sonia BAKHTI ALOUT;1245;1.78;4.7;;0;0.0;0.0;Natacha FERREIRA;2693;3.84;10.16
93_10;68564;18348;26.76;Ambre FROMENT;3950;5.76;21.53;Jean-Marie TOUZIN;749;1.09;4.08;;0;0.0;0.0;Daniel GOLDBERG;3629;5.29;19.78;Billel OUADAH;7210;10.52;39.3;;0;0.0;0.0;Emmanuelle BOSVIEL;452;0.66;2.46;;0;0.0;0.0;Huguette FATNA;2358;3.44;12.85
93_11;62536;20490;32.77;Clémentine AUTAIN;7977;12.76;38.93;;0;0.0;0.0;Céline FRÉBY;580;0.93;2.83;Laurent CHANTRELLE;678;1.08;3.31;Elsa WANLIN;6062;9.69;29.59;;0;0.0;0.0;Christine PERRON;2113;3.38;10.31;;0;0.0;0.0;Marie MAVANDE;3080;4.93;15.03
93_12;64515;19965;30.95;Juan BRANCO;3596;5.57;18.01;François COCHAIN;640;0.99;3.21;Ginette CONTRASTIN;639;0.99;3.2;Samira TAYEBI BOUHOUT;2028;3.14;10.16;Stéphane TESTE;8730;13.53;43.73;;0;0.0;0.0;Michelle BOSVIEL;446;0.69;2.23;;0;0.0;0.0;Jordan BARDELLA;3886;6.02;19.46
94_1;84583;40108;47.42;Thierry N'KAOUA;3857;4.56;9.62;Denis ÖZTORUN;2241;2.65;5.59;Catherine MONIÉ;1895;2.24;4.72;Olivier PLACE;2225;2.63;5.55;Frédéric DESCROZAILLE;17119;20.24;42.68;;0;0.0;0.0;André KASPI;9906;11.71;24.7;;0;0.0;0.0;Thierry DEVIGE;2865;3.39;7.14
94_2;63262;22673;35.84;François COCQ;4766;7.53;21.02;Patrice DIGUET;1719;2.72;7.58;;0;0.0;0.0;Axel URGIN;2712;4.29;11.96;Jean François MBAYE;8616;13.62;38.0;;0;0.0;0.0;Thierry HEBBRECHT;2550;4.03;11.25;;0;0.0;0.0;Gaétan MARZO;2310;3.65;10.19
94_3;72042;22187;30.8;Nicolas GEORGES;4334;6.02;19.53;Alexandre BOYER;1443;2.0;6.5;;0;0.0;0.0;Corinne NARASSIGUIN;1275;1.77;5.75;Laurent SAINT-MARTIN;10975;15.23;49.47;;0;0.0;0.0;Emmanuelly GOUGOUGNAN-ZADIGUE;857;1.19;3.86;;0;0.0;0.0;Dominique BOURSE PROVENCE;3303;4.58;14.89
94_4;72443;25849;35.68;Mirabelle LEMAIRE;4215;5.82;16.31;Corinne CHARLES;836;1.15;3.23;Samuel SZYMANSKI;1150;1.59;4.45;Zakaria ZAIDANE;1471;2.03;5.69;Maud PETIT;14208;19.61;54.97;;0;0.0;0.0;Nadejda BABOU;550;0.76;2.13;;0;0.0;0.0;Jérôme AUVRAY;3419;4.72;13.23
94_5;89365;29140;32.61;Raphaëlle MARTINEZ;4397;4.92;15.09;Christian FAUTRÉ;3263;3.65;11.2;Marie-José DELOIRE;821;0.92;2.82;Caroline ADOMO;2066;2.31;7.09;Nadine RET;15962;17.86;54.78;;0;0.0;0.0;Dominique STEFANOFF;6;0.01;0.02;;0;0.0;0.0;Isabelle HUGUENIN-RICHARD;2625;2.94;9.01
94_6;81214;40057;49.32;Stéphanie MICHEL;4968;6.12;12.4;;0;0.0;0.0;Laurence ABEILLE;7096;8.74;17.71;;0;0.0;0.0;Guillaume GOUFFIER-CHA;17736;21.84;44.28;;0;0.0;0.0;Gildas LECOQ;8133;10.01;20.3;;0;0.0;0.0;Gorete DE FREITAS;2124;2.62;5.3
94_7;65531;23130;35.3;;0;0.0;0.0;Nora LAMRAOUI BOUDON;5070;7.74;21.92;Marie LECLERC-BRUANT;2212;3.38;9.56;Jean Jacques UM;1567;2.39;6.77;Jean-Jacques BRIDEY;11451;17.47;49.51;;0;0.0;0.0;Sylvie CHENAULT;533;0.81;2.3;;0;0.0;0.0;Karine HACCART;2297;3.51;9.93
94_8;76702;24993;32.58;Renaud PÉQUIGNOT;4187;5.46;16.75;Fatima KHALLOUK;502;0.65;2.01;Rémi HOULEY;1980;2.58;7.92;Sophie GALLAIS;1922;2.51;7.69;Jennifer DOUIEB-NAHON;14181;18.49;56.74;;0;0.0;0.0;Marie-Odile GHANEM;251;0.33;1.0;;0;0.0;0.0;Marie-Odile ENON;1970;2.57;7.88
94_9;53598;19373;36.15;Martine LACHAUD;3514;6.56;18.14;Fati KONATE;1971;3.68;10.17;Monique YAPO;418;0.78;2.16;Luc CARVOUNAS;4602;8.59;23.75;Gaëlle MARSEAU;6552;12.22;33.82;;0;0.0;0.0;Rémy RAMASSAMY;403;0.75;2.08;;0;0.0;0.0;François PARADOL;1913;3.57;9.87
94_10;64408;20505;31.84;Mathilde PANOT;4687;7.28;22.86;Pascal SAVOLDELLI;4435;6.89;21.63;;0;0.0;0.0;;0;0.0;0.0;Sheerazed BOULKROUN;8942;13.88;43.61;;0;0.0;0.0;Myriam WAELER;443;0.69;2.16;;0;0.0;0.0;Martine BLANLUETTE;1998;3.1;9.74
94_11;62392;26881;43.08;Djamel ARROUCHE;4713;7.55;17.53;Catherine DOS SANTOS;2532;4.06;9.42;Marianne JAOUEN;2542;4.07;9.46;Hélène DE COMARMOND;2620;4.2;9.75;Albane GAILLOT;9681;15.52;36.01;;0;0.0;0.0;Audrey GAUDRON;2901;4.65;10.79;;0;0.0;0.0;Alexandre GABORIT;1892;3.03;7.04
95_1;81533;33520;41.11;Leïla SAÏB;3895;4.78;11.62;Brigitte POLI;988;1.21;2.95;;0;0.0;0.0;Sandra NGUYEN DEROSIER;2107;2.58;6.29;Isabelle MULLER-QUOY;13817;16.95;41.22;;0;0.0;0.0;Antoine SAVIGNAT;6827;8.37;20.37;;0;0.0;0.0;Denise CORNET;5886;7.22;17.56
95_2;76435;34801;45.53;Sylvie GEOFFROY-MARTIN;4685;6.13;13.46;Jean-Michel RUIZ;670;0.88;1.93;Marc DENIS;1515;1.98;4.35;Ayda HADIZADEH;2010;2.63;5.78;Guillaume VUILLETET;12921;16.9;37.13;;0;0.0;0.0;Axel PONIATOWSKI;8909;11.66;25.6;;0;0.0;0.0;Stéphane CAPDET;4091;5.35;11.76
95_3;91564;39118;42.72;Sébastien DAVIGNON;5640;6.16;14.42;Laurent JALLU;962;1.05;2.46;Pierrette BORGNE;1351;1.48;3.45;Nelly LEON;2024;2.21;5.17;Cecile RILHAC;17105;18.68;43.73;;0;0.0;0.0;Nicole LANASPRE;7128;7.78;18.22;;0;0.0;0.0;Fabienne DAUMAS;4908;5.36;12.55
95_4;76024;27433;36.08;Cathy PINHEIRO;3951;5.2;14.4;Estelle AUBOIN;555;0.73;2.02;Emmanuel RODRIGUEZ;1319;1.73;4.81;Marie-José BEAULANDE;2313;3.04;8.43;Naïma MOUTCHOU;14620;19.23;53.29;;0;0.0;0.0;Emmanuel LANDREAU;672;0.88;2.45;;0;0.0;0.0;Olivia NALPAS;4003;5.27;14.59
95_5;68513;25048;36.56;Françoise PACHA-STIEGLER;3658;5.34;14.6;Dominique LESPARRE;2118;3.09;8.46;Pascal BERTOLINI;647;0.94;2.58;Philippe DOUCET;4514;6.59;18.02;Fiona LAZAAR;7975;11.64;31.84;;0;0.0;0.0;Gilles SAVRY;3506;5.12;14.0;;0;0.0;0.0;Pierre RENUCCI;2630;3.84;10.5
95_6;76338;32311;42.33;Serge GROSSVAK;4135;5.42;12.8;Leila ADDOU;702;0.92;2.17;François DELCOMBRE;1278;1.67;3.96;Guilaine PESTIE;1493;1.96;4.62;Nathalie ELIMAS;13897;18.2;43.01;;0;0.0;0.0;Luc STREHAIANO;7910;10.36;24.48;;0;0.0;0.0;Jean-Michel DUBOIS;2896;3.79;8.96
95_7;69534;28941;41.62;Gilles MONSILLON;3837;5.52;13.26;Nicole LE MANACH;430;0.62;1.49;Célia JOUSSERAND;1104;1.59;3.81;Rita MAALOUF;2382;3.43;8.23;Dominique DA SILVA;10776;15.5;37.23;;0;0.0;0.0;Jérôme CHARTIER;7265;10.45;25.1;;0;0.0;0.0;Bruno MARCEL;3147;4.53;10.87
95_8;54205;12778;23.57;Pamela HOCINI;2035;3.75;15.93;Mohammed FARID;481;0.89;3.76;;0;0.0;0.0;François PUPPONI;6474;11.94;50.67;;0;0.0;0.0;;0;0.0;0.0;Chantal GROLIER;1844;3.4;14.43;;0;0.0;0.0;Tifanny ALLEAU;1944;3.59;15.21
95_9;69895;18468;26.42;Véronique DANET-DUPUIS;3091;4.42;16.74;Thierry CHIABODO;809;1.16;4.38;Dominique DUFUMIER;819;1.17;4.43;Luc BROUSSY;1404;2.01;7.6;Zivka PARK;7571;10.83;41.0;;0;0.0;0.0;Adeline ROLDAO-MARTINS;759;1.09;4.11;;0;0.0;0.0;Mikael SALA;4015;5.74;21.74
95_10;66456;25540;38.43;Katia NOIN LEDANOIS;4037;6.07;15.81;Françoise COURTIN;478;0.72;1.87;Dominique DAMOUR;1184;1.78;4.64;Dominique LEFEBVRE;3263;4.91;12.78;Aurelien TACHE;10279;15.47;40.25;;0;0.0;0.0;Virginie TINLAND;3397;5.11;13.3;;0;0.0;0.0;Anne CLOUTIER;2902;4.37;11.36
971_1;76361;13330;17.46;Nadège MONTOUT;616;0.81;4.62;;0;0.0;0.0;Harry DURIMEL;3183;4.17;23.88;Georges HERMIN;1051;1.38;7.88;Olivier SERVA;8248;10.8;61.88;;0;0.0;0.0;Alix HUYGHUES-BEAUFOND;232;0.3;1.74;;0;0.0;0.0;;0;0.0;0.0
971_2;86914;7950;9.15;;0;0.0;0.0;Jacques KANCEL;947;1.09;11.91;;0;0.0;0.0;;0;0.0;0.0;Diana PERRAN;3775;4.34;47.48;;0;0.0;0.0;Laurent BERNIER;2815;3.24;35.41;;0;0.0;0.0;Prévert MAYENGO;413;0.48;5.19
971_3;83768;3555;4.24;Céline DECHELETTE;946;1.13;26.61;Félix Alain FLÉMIN;415;0.5;11.67;;0;0.0;0.0;Adrien BARON;1723;2.06;48.47;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Rody TOLASSY;471;0.56;13.25
971_4;69302;9254;13.35;Guilhem SALTEL;845;1.22;9.13;Camille EDOUARD;249;0.36;2.69;;0;0.0;0.0;Hélène VAINQUEUR-CHRISTOPHE;6912;9.97;74.69;;0;0.0;0.0;;0;0.0;0.0;Sonia PETRO;1002;1.45;10.83;;0;0.0;0.0;Béatrice CAZE;246;0.35;2.66
972_1;79411;4701;5.92;Geraldine DE THORE;700;0.88;14.89;;0;0.0;0.0;;0;0.0;0.0;Raphaël VAUGIRARD;1102;1.39;23.44;Chantal MAIGNAN;2665;3.36;56.69;;0;0.0;0.0;Vanessa HUBERT;14;0.02;0.3;;0;0.0;0.0;Nathalie BETEGNIES;220;0.28;4.68
972_2;81795;5875;7.18;;0;0.0;0.0;;0;0.0;0.0;Louis BOUTRIN;1218;1.49;20.73;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Yan MONPLAISIR;4458;5.45;75.88;;0;0.0;0.0;Aurélie LE GOURLAY;199;0.24;3.39
972_3;65881;1681;2.55;Thierry RENARD;463;0.7;27.54;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Max ORVILLE;985;1.5;58.6;;0;0.0;0.0;Marie-Gabrielle MARGUERITE;60;0.09;3.57;;0;0.0;0.0;Marie-Jeanne JEANVILLE;173;0.26;10.29
972_4;83725;4606;5.5;Ernest KILO;896;1.07;19.45;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Sylvia SAITHSOOTHANE;3386;4.04;73.51;;0;0.0;0.0;Elodie BABIN;324;0.39;7.03
973_1;53535;4654;8.69;Claire ALBANESI;1082;2.02;23.25;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Joëlle PREVOT-MADERE;3572;6.67;76.75;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0
973_2;39400;4265;10.82;Paul PERSDAM;241;0.61;5.65;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Lénaïck ADAM;3595;9.12;84.29;;0;0.0;0.0;Juliana RIMANE;429;1.09;10.06;;0;0.0;0.0;;0;0.0;0.0
974_1;80368;24089;29.97;Julie PONTALBA;2193;2.73;9.1;;0;0.0;0.0;Jean-Pierre MARCHAU;958;1.19;3.98;Ericka BAREIGTS;12849;15.99;53.34;Karine NABENESA;925;1.15;3.84;;0;0.0;0.0;Jean-Jacques MOREL;5899;7.34;24.49;;0;0.0;0.0;Jean-Pierre CELESTE;1265;1.57;5.25
974_2;92748;9953;10.73;;0;0.0;0.0;;0;0.0;0.0;Charles MOYAC;1027;1.11;10.32;;0;0.0;0.0;Stéphane RANDRIANARIVELO;2077;2.24;20.87;;0;0.0;0.0;Cyrille MELCHIOR;5663;6.11;56.9;;0;0.0;0.0;Indiana OUËNNE;1186;1.28;11.92
974_3;92629;21460;23.17;Virginie GRONDIN;2935;3.17;13.68;;0;0.0;0.0;Raphaël DIJOUX;426;0.46;1.99;Jean-Jacques VLODY;3601;3.89;16.78;Carine GARCIA;3370;3.64;15.7;;0;0.0;0.0;Nathalie BASSIRE;8915;9.62;41.54;;0;0.0;0.0;Jean-Hugues LEBIAN;2213;2.39;10.31
974_4;104763;24583;23.47;Corine BÉDIER;3328;3.18;13.54;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Anaïs PATEL;5416;5.17;22.03;;0;0.0;0.0;David LORION;13272;12.67;53.99;;0;0.0;0.0;Philippe GHANTY;2567;2.45;10.44
974_5;83034;14701;17.7;;0;0.0;0.0;;0;0.0;0.0;;0;0.0;0.0;Philippe LE CONSTANT;2816;3.39;19.16;Léopoldine SETTAMA-VIDON;3614;4.35;24.58;;0;0.0;0.0;Daniel GONTHIER;6927;8.34;47.12;;0;0.0;0.0;Marie-Luce BRASIER-CLAIN;1344;1.62;9.14
974_6;75685;13144;17.37;Pascal HOAREAU;1510;2.0;11.49;;0;0.0;0.0;Delia MOUTIN;142;0.19;1.08;;0;0.0;0.0;Monique ORPHE;5770;7.62;43.9;;0;0.0;0.0;Nadia RAMASSAMY;4515;5.97;34.35;;0;0.0;0.0;Elodie MARTIN CHARRON;1207;1.59;9.18
974_7;110254;19562;17.74;Perceval GAILLARD;3905;3.54;19.96;;0;0.0;0.0;Eric MARCELY;794;0.72;4.06;;0;0.0;0.0;Thierry ROBERT;11144;10.11;56.97;;0;0.0;0.0;Sandra SINIMALÉ;2373;2.15;12.13;;0;0.0;0.0;Michelle GRAJA;1346;1.22;6.88
985_1;37794;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
985_2;45253;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
988_1;84944;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
988_2;104539;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
987_1;72516;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
987_2;66640;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
987_3;64784;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
975_1;4966;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
986_1;8464;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
979_1;25385;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_1;199931;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_2;74767;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_3;120576;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_4;123130;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_5;91263;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_6;127368;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_7;105776;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_8;121400;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_9;107607;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_10;99748;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
99_11;92547;0;0.0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0;;0;0.0;0
