1_1;EM;LR
1_2;EM;LR
1_3;EM;LR
1_4;EM;FN
1_5;LR;EM
2_1;EM;FN
2_2;FN;LFI
2_3;FN;PS
2_4;EM;FN
2_5;EM;FN
3_1;EM;PCF
3_2;EM;LFI
3_3;EM;FN
4_1;EM;FN
4_2;EM;LFI
5_1;EM;LR
5_2;EM;LFI
6_1;LR;EM
6_2;EM;FN
6_3;EM;FN
6_4;EM;FN
6_5;FN;LFI
6_6;EM;LR
6_7;EM;FN
6_8;EM;LR
6_9;EM;LR
7_1;EM;PS
7_2;EM;PS
7_3;EM;LR
8_1;LR;EM
8_2;LR;EM
8_3;LR;FN
9_1;EM;LFI
9_2;EM;LFI
10_1;EM;LR;FN
10_2;EM;LR
10_3;EM;FN
11_1;EM;FN
11_2;EM;FN
11_3;EM;PS
12_1;EM;LR
12_2;EM;LR
12_3;EM;LFI
13_1;EM;LR
13_2;EM;LR
13_3;FN;EM
13_4;LFI;EM
13_5;EM;LFI
13_6;EM;FN
13_7;FN;EM
13_8;EM;FN
13_9;EM;LR
13_10;EM;FN
13_11;EM;FN
13_12;EM;FN
13_13;PCF;EM
13_14;EM;LR
13_15;EM;LR
13_16;FN;EM
14_1;EM;LR
14_2;EM;PS
14_3;EM;FN
14_4;EM;FN
14_5;EM;FN
14_6;EM;FN
15_1;EM;LR
15_2;EM;PCF
16_1;EM;LFI
16_2;EM;LR
16_3;EM;PS
17_1;EM;LFI
17_2;EM;LFI
17_3;EM;LR
17_4;EM;LR
17_5;FN;PS
18_1;EM;LR
18_2;EM;PCF
18_3;EM;PS
19_1;EM;PS
19_2;EM;LR
2A_1;;
2A_2;;
2B_1;;
2B_2;;
21_1;EM;LR
21_2;EM;LR
21_3;EM;FN
21_4;EM;LR
21_5;EM;LR
22_1;EM;PS
22_2;EM;LR
22_3;LR;EM
22_4;EM;PS
22_5;EM;LR
23_1;EM;LR
24_1;EM;LFI
24_2;EM;LR
24_3;EM;PS
24_4;EM;LFI
25_1;EM;PS
25_2;EELV;LFI
25_3;EM;LR
25_4;EM;FN
25_5;LR;EM
26_1;EM;LR
26_2;EM;FN
26_3;EM;LFI
26_4;EM;LR
27_1;EM;FN
27_2;EM;FN
27_3;FN;LR
27_4;EM;FN
27_5;EM;FN
28_1;EM;LR
28_2;EM;LR
28_3;LR;FN
28_4;LR;FN
29_1;EM;PS
29_2;EM;LFI
29_3;EM;LFI
29_4;EM;LR
29_5;EM;PS
29_6;EM;LFI
29_7;EM;LR
29_8;EM;PS
30_1;EM;FN
30_2;FN;LR
30_3;EM;FN
30_4;EM;FN
30_5;EM;FN
30_6;EM;FN
31_1;EM;LFI
31_2;EM;PS
31_3;EM;LFI
31_4;EM;LFI
31_5;EM;FN
31_6;EM;LFI
31_7;EM;FN
31_8;EM;PS
31_9;EM;LFI
31_10;EM;LFI
32_1;EM;PS
32_2;EM;PS
33_1;EM;LFI
33_2;EM;LR
33_3;EM;LFI
33_4;EM;PS
33_5;EM;PS
33_6;EM;PS
33_7;EM;PS
33_8;EM;FN
33_9;EM;PS
33_10;EM;FN
33_11;EM;FN
33_12;EM;LFI
34_1;EM;FN
34_2;EM;LFI
34_3;EM;LFI
34_4;EM;FN
34_5;EM;FN
34_6;FN;EM
34_7;EM;FN
34_8;EM;FN
34_9;EM;FN
35_1;EM;LR
35_2;EM;LR
35_3;PS;LR
35_4;EM;LFI
35_5;EM;LR
35_6;LR;EM
35_7;EM;LR
35_8;EM;LFI
36_1;FN;PS
36_2;EM;LR
37_1;EM;PS
37_2;EM;LR
37_3;PS;LR
37_4;EM;LR
37_5;EM;LFI
38_1;EM;LR
38_2;EM;FN
38_3;EM;LFI
38_4;EM;PS
38_5;EM;LR
38_6;EM;FN
38_7;EM;LR
38_8;EM;FN
38_9;EM;LR
38_10;EM;FN
39_1;EM;LR
39_2;LR;EM
39_3;EM;FN
40_1;EM;PS
40_2;EM;LFI
40_3;EM;PS
41_1;EM;FN
41_2;LR;EM
41_3;LR;EM
42_1;EM;PS
42_2;EM;LFI
42_3;EM;LR
42_4;EM;LR
42_5;EM;LR
42_6;EM;LR
43_1;EM;FN
43_2;LR;EM
44_1;EM;LR
44_2;EM;LFI
44_3;EM;LFI
44_4;EM;LFI
44_5;EM;PS
44_6;EM;LR
44_7;EM;LFI
44_8;EM;LFI
44_9;EM;LR
44_10;EM;LFI
45_1;EM;LR
45_2;EM;FN
45_3;EM;LR
45_4;EM;FN
45_5;EM;FN
45_6;EM;PS
46_1;EM;LR
46_2;EM;PS
47_1;EM;LR
47_2;EM;FN
47_3;EM;FN
48_1;LR;EM
49_1;EM;PS
49_2;EM;LR
49_3;EM;LR
49_4;EM;LR
49_5;EM;LFI
49_6;EM;LR
49_7;EM;LR
50_1;EM;LR
50_2;EM;LR
50_3;EM;LR
50_4;EM;FN
51_1;LR;FN
51_2;EM;LR
51_3;EM;FN
51_4;LR;FN
51_5;FN;EM
52_1;EM;LR
52_2;LR;FN
53_1;PS;EM
53_2;EM;LR
53_3;EM;FN
54_1;EM;PS
54_2;EM;LR
54_3;EM;LFI
54_4;EM;FN
54_5;PS;EM
54_6;FN;LFI
55_1;EM;FN
55_2;EM;FN
56_1;EM;LFI
56_2;LR;LFI
56_3;EM;LFI
56_4;EM;LR
56_5;EM;LFI
56_6;EM;LR
57_1;EM;FN
57_2;EM;FN
57_3;EM;LR
57_4;EM;LR
57_5;EM;FN
57_6;FN;EM
57_7;EM;FN
57_8;EM;FN
57_9;EM;FN
58_1;EM;FN
58_2;EM;PS
59_1;EM;LFI
