circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
1_1;EM;Laurent MALLET;2nd tour;19.47;15.85
1_2;EM;Marie Jeanne BEGUET;2nd tour;18.14;16.53
1_3;EM;Olga GIVERNET;2nd tour;20.28;16.46
1_4;EM;Stéphane TROMPILLE;2nd tour;20.26;15.82
1_5;EM;Hélène DE MEIRE;2nd tour;17.08;13.57
2_1;EM;Aude BONO-VANDORME;2nd tour;19.85;11.8
2_2;PS;Karl PINCHERELLE;2nd tour;19.21;11.23
2_3;EM;Alain HUSILLOS-CRESPO;2nd tour;22.78;11.57
2_4;EM;Marc DELATTE;2nd tour;21.99;14.51
2_5;EM;Jacques KRABAL;2nd tour;26.22;20.03
3_1;EM;Pauline RIVIERE;2nd tour;20.55;14.42
3_2;EM;Laurence VANCEUNEBROCK-MIALON;2nd tour;16.79;13.82
3_3;EM;Bénédicte PEYROL;2nd tour;22.05;16.31
4_1;EM;Delphine BAGARRY;2nd tour;19.68;13.82
4_2;EM;Christophe CASTANER;2nd tour;24.82;23.54
5_1;EM;Pascale BOYER;2nd tour;27.87;14.12
5_2;EM;Joël GIRAUD;2nd tour;27.02;25.49
6_1;EM;Caroline REVERSO-MEINIETTI;2nd tour;16.89;13.08
6_2;EM;Loîc DOMBREVAL;2nd tour;20.46;16.03
6_3;EM;Cédric ROUSSEL;2nd tour;21.24;14.33
6_4;LR;Xavier BECK;2nd tour;21.86;11.72
6_5;PS;Jacqueline DEVIER;2nd tour;18.88;11.19
6_6;EM;Nathalie AUDIN;2nd tour;15.1;12.71
6_7;EM;Khaled BEN ABDERRAHMANE;2nd tour;23.51;18.86
6_8;LR;Bernard BROCHAND;2nd tour;19.09;14.1
6_9;EM;Dominique FILLEBEEN;2nd tour;15.4;12.78
7_1;EM;André DUPONT;2nd tour;26.91;16.6
7_2;EM;Laurette GOUYET-POMMARET;2nd tour;19.6;15.13
7_3;EM;Matthieu PEYRAUD;2nd tour;23.28;15.77
8_1;EM;Jean-Pierre MORALI;2nd tour;26.64;16.65
8_2;EM;Mario IGLESIAS;2nd tour;24.75;11.96
8_3;LR;Jean-Luc WARSMANN;2nd tour;27.43;14.54
9_1;EM;Jérôme AZEMA;2nd tour;21.38;15.93
9_2;LFI;Michel LARIVE;2nd tour;19.1;12.15
10_1;FN;Bruno SUBTIL;2nd tour;16.31;16.31
10_2;EM;Djamila HADDAD;2nd tour;24.49;13.72
10_3;EM;Pascal LANDRÉAT;2nd tour;24.23;16.15
11_1;EM;Danièle HÉRIN;2nd tour;20.98;12.3
11_2;EM;Alain PEREA;2nd tour;23.1;13.12
11_3;EM;Mireille ROBERT;2nd tour;27.44;12.88
12_1;EM;Stéphane MAZARS;2nd tour;24.9;20.77
12_2;EM;Anne BLANC;2nd tour;25.52;17.76
12_3;EM;Jean-Louis AUSTRUY;2nd tour;21.32;19.65
13_1;EM;Pascal CHAMASSIAN;2nd tour;24.6;12.02
13_2;LR;Dominique TIAN;2nd tour;18.97;15.3
13_3;FN;Stéphane RAVIER;2nd tour;31.57;28.8
13_4;LFI;Jean-Luc MÉLENCHON;2nd tour;47.67;42.18
13_5;LFI;Hendrik DAVI;2nd tour;15.84;12.99
13_6;EM;Eléonore LEPRETTRE;2nd tour;18.53;13.51
13_7;LFI;Ouali BRINIS;2nd tour;26.73;14.17
13_8;EM;Jean-Marc ZULESI;2nd tour;21.02;13.49
13_9;EM;Sylvie BRUNET;2nd tour;23.54;11.24
13_10;EM;François-Michel LAMBERT;2nd tour;28.24;20.69
13_11;EM;Mohamed LAQHILA;2nd tour;21.31;16.2
13_12;FN;Jean-Lin LACAPELLE;2nd tour;18.84;17.95
13_13;FN;Emmanuel FOUQUART;2nd tour;15.97;15.58
13_14;EM;Anne-Laurence PETEL;2nd tour;19.14;14.98
13_15;EM;Nathalie FARRO;2nd tour;22.21;12.37
13_16;LFI;Gérard GERON;2nd tour;24.79;12.24
