circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
22_2;PS;VIVIANE LE DISSEZ;2nd tour;29.02;22.76
22_3;PS;LOÏC CAURET;2nd tour;29.62;23.1
22_4;PS;ANNIE LE HOUEROU;2nd tour;33.29;25.58
22_5;PS;CORINNE ERHEL;2nd tour;30.98;24.84
23_1;PS;MICHEL VERGNIER;2nd tour;29.88;23.13
24_1;PS;PASCAL DEGUILHEM;2nd tour;31.72;24.66
24_2;PS;BÉATRICE PATRIE;2nd tour;28.09;21.6
24_3;PS;COLETTE LANGLADE;2nd tour;30.95;24.31
24_4;PS;GERMINAL PEIRO;2nd tour;32.09;25.21
25_1;PS;BARBARA ROMAGNAN;2nd tour;27.73;20.94
25_2;UMP;JACQUES GROSPERRIN;2nd tour;29.37;21.54
25_3;UMP;MARCEL BONNOT;2nd tour;29.84;21.88
25_4;PS;PIERRE MOSCOVICI;2nd tour;25.23;19.55
25_5;UMP;ANNIE GENEVARD;2nd tour;34.29;27.82
26_1;UMP;PATRICK LABAUNE;2nd tour;27.82;21.31
26_2;PS;CATHERINE COUTARD;2nd tour;24.58;19.03
26_3;UMP;HERVÉ MARITON;2nd tour;28.12;20.97
26_4;UMP;MARIE-HÉLÈNE THORAVAL;2nd tour;29.06;21.76
27_1;UMP;BRUNO LE MAIRE;2nd tour;30.48;22.74
27_2;UMP;JEAN-PIERRE NICOLAS;2nd tour;30.14;22.35
27_3;UMP;HERVÉ MORIN;2nd tour;30.24;23.01
27_4;UMP;FRANÇOIS-XAVIER PRIOLLAUD;2nd tour;27.61;20.04
27_5;PS;HÉLÈNE SEGURA;2nd tour;22.9;17.36
28_1;UMP;JEAN-PIERRE GORGES;2nd tour;28.84;23.24
28_2;UMP;OLIVIER MARLEIX;2nd tour;28.59;21.27
28_3;UMP;LAURE DE LA RAUDIERE;2nd tour;29.52;22.09
28_4;FG;DOMINIQUE GARCIA;2nd tour;30.22;32.52
29_1;PS;JEAN-JACQUES URVOAS;2nd tour;30.58;24.32
29_2;PS;PATRICIA ADAM;2nd tour;30.36;24.26
29_3;PS;JEAN-LUC BLEUNVEN;2nd tour;29.24;23.11
29_4;PS;MARYLISE LEBRANCHU;2nd tour;31.7;25.14
29_5;PS;CHANTAL GUITTET;2nd tour;29.61;23.6
29_6;PS;RICHARD FERRAND;2nd tour;30.79;24.63
29_7;PS;ANNICK LE LOCH;2nd tour;29.82;23.2
29_8;PS;GILBERT LE BRIS;2nd tour;29.62;22.96
30_1;PS;FRANÇOISE DUMAS;2nd tour;24.39;18.83
30_2;PS;KATY GUYOT;2nd tour;23.33;17.81
30_3;PS;PATRICE PRAT;2nd tour;23.95;18.42
30_4;PS;FABRICE VERDIER;2nd tour;26.69;19.81
30_5;PS;WILLIAM DUMAS;2nd tour;29.01;20.44
30_6;PS;VALÉRIE PEZET;2nd tour;23.85;17.72
31_1;PS;CATHERINE LEMORTON;2nd tour;31.08;24.59
31_2;PS;GÉRARD BAPT;2nd tour;30.51;24.07
31_3;PS;ALAIN FILLOLA;2nd tour;28.34;22.58
31_4;PS;MARTINE MARTINEL;2nd tour;30.28;23.31
31_5;PS;FRANÇOISE IMBERT;2nd tour;29.92;23.16
31_6;PS;MONIQUE IBORRA;2nd tour;31.27;24.34
31_7;PS;PATRICK LEMASLE;2nd tour;30.28;23.47
31_8;PS;CAROLE DELGA;2nd tour;30.0;22.93
31_9;PS;CHRISTOPHE BORGEL;2nd tour;31.23;24.23
31_10;PS;KADER ARIF;2nd tour;31.87;24.75
32_1;PS;PHILIPPE MARTIN;2nd tour;31.08;24.14
32_2;PS;GISÈLE BIEMOURET;2nd tour;28.71;22.0
33_1;UMP;CHANTAL BOURRAGUE;2nd tour;27.29;23.66
33_2;PS;MICHÈLE DELAUNAY;2nd tour;29.27;23.72
33_3;PS;MAUD ANDRIEUX;2nd tour;32.76;25.52
33_4;PS;CONCHITA LACUEY;2nd tour;31.42;25.16
33_5;PS;PASCALE GOT;2nd tour;27.83;21.27
33_6;PS;MARIE RECALDE;2nd tour;30.2;23.89
33_7;PS;ALAIN ROUSSET;2nd tour;32.24;26.37
33_8;UMP;YVES FOULON;2nd tour;30.77;25.38
33_9;PS;GILLES SAVARY;2nd tour;30.09;23.13
33_10;UMP;JEAN-PAUL GARRAUD;2nd tour;28.31;21.46
33_11;PS;PHILIPPE PLISSON;2nd tour;26.6;20.44
33_12;PS;MARTINE FAURE;2nd tour;29.43;22.84
34_1;UMP;CHRISTIAN JEANJEAN;2nd tour;27.66;20.47
34_2;PS;ANNE-YVONNE LE DAIN;2nd tour;30.73;23.74
34_3;UMP;JEAN-PIERRE GRAND;2nd tour;28.9;22.18
34_4;UMP;ROBERT LECOU;2nd tour;27.67;19.86
34_5;PS;KLÉBER MESQUIDA;2nd tour;27.47;20.18
34_6;PS;DOLORES ROQUE;2nd tour;23.03;17.38
34_7;PS;SÉBASTIEN DENAJA;2nd tour;23.62;17.47
34_8;UMP;ARNAUD JULIEN;2nd tour;27.33;20.03
34_9;UMP;STÉPHAN ROSSIGNOL;2nd tour;28.99;21.79
35_1;PS;MARIE-ANNE CHAPDELAINE;2nd tour;32.55;26.17
35_2;PS;NATHALIE APPERE;2nd tour;32.4;26.92
35_3;PS;FRANÇOIS ANDRE;2nd tour;30.4;24.66
35_4;PS;JEAN-RENÉ MARSAC;2nd tour;28.76;24.76
35_5;UMP;ISABELLE LE CALLENNEC;2nd tour;31.22;25.27
35_6;UMP;THIERRY DEROLLEZ;2nd tour;29.42;23.09
35_7;UMP;GILLES LURTON;2nd tour;28.64;23.12
35_8;PS;MARCEL ROGEMONT;2nd tour;32.53;26.84
36_1;PS;JEAN-PAUL CHANTEGUET;2nd tour;26.85;20.66
36_2;PS;ISABELLE BRUNEAU;2nd tour;27.44;20.76
37_1;PS;JEAN-PATRICK GILLE;2nd tour;27.6;21.49
37_2;UMP;CLAUDE GREFF;2nd tour;29.0;22.99
37_3;UMP;JACQUES BARBIER;2nd tour;28.43;22.02
37_4;UMP;HERVÉ NOVELLI;2nd tour;27.81;21.53
37_5;UMP;PHILIPPE BRIAND;2nd tour;30.24;23.73
38_1;PS;GENEVIÈVE FIORASO;2nd tour;27.94;21.94
38_2;PS;MICHEL ISSINDOU;2nd tour;31.26;24.03
38_3;PS;MICHEL DESTOT;2nd tour;31.14;23.92
38_4;PS;MARIE-NOËLLE BATTISTEL;2nd tour;28.24;21.64
38_5;PS;FRANÇOIS BROTTES;2nd tour;28.64;21.51
38_6;PS;MICHÈLE CORBIN;2nd tour;22.86;17.88
38_7;PS;DIDIER RAMBAUD;2nd tour;24.34;18.22
38_8;UMP;JACQUES REMILLER;2nd tour;29.69;21.93
38_9;UMP;JULIEN POLAT;2nd tour;29.75;20.61
38_10;UMP;VINCENT CHRIQUI;2nd tour;28.34;20.4
39_1;UMP;JACQUES PELISSARD;2nd tour;27.8;21.41
39_2;UMP;MARIE-CHRISTINE DALLOZ;2nd tour;29.27;22.81
39_3;UMP;JEAN-MARIE SERMIER;2nd tour;28.24;20.51
40_1;PS;ALAIN VIDALIES;2nd tour;28.64;22.24
40_2;PS;JEAN-PIERRE DUFAU;2nd tour;29.43;22.61
40_3;PS;HENRI EMMANUELLI;2nd tour;31.98;24.98
41_1;UMP;NICOLAS PERRUCHOT;2nd tour;27.76;21.82
41_2;UMP;PATRICE MARTIN-LALANDE;2nd tour;23.06;22.88
41_3;UMP;MAURICE LEROY;2nd tour;30.76;23.85
42_1;PS;RÉGIS JUANICO;2nd tour;27.99;21.32
42_2;PS;JEAN-LOUIS GAGNAIRE;2nd tour;27.91;21.79
42_3;UMP;FRANÇOIS ROCHEBLOINE;2nd tour;28.3;21.06
42_4;PS;JEAN-CLAUDE REYMOND;2nd tour;25.49;19.06
42_5;UMP;YVES NICOLIN;2nd tour;29.74;22.06
42_6;UMP;PAUL SALEN;2nd tour;30.9;23.76
43_1;UMP;LAURENT WAUQUIEZ;2nd tour;29.53;21.4
43_2;PS;ANDRÉ CHAPAVEIRE;2nd tour;27.71;21.57
44_1;PS;CHRISTINE MEYER;2nd tour;29.36;24.25
44_2;PS;MARIE-FRANÇOISE CLERGEAU;2nd tour;30.01;23.89
44_3;PS;JEAN-MARC AYRAULT;2nd tour;31.92;25.25
44_4;PS;DOMINIQUE RAIMBOURG;2nd tour;33.73;27.42
44_5;PS;MICHEL MENARD;2nd tour;29.95;23.62
44_6;UMP;MICHEL HUNAULT;2nd tour;28.54;22.11
44_7;UMP;CHRISTOPHE PRIOU;2nd tour;30.35;24.63
44_8;PS;MARIE-ODILE BOUILLE;2nd tour;32.32;25.0
44_9;UMP;PHILIPPE BOENNEC;2nd tour;29.74;23.42
44_10;UMP;LAURENT DEJOIE;2nd tour;29.47;23.87
45_1;UMP;OLIVIER CARRE;2nd tour;29.19;23.39
45_2;UMP;SERGE GROUARD;2nd tour;28.8;22.09
45_3;UMP;CLAUDE DE GANAY;2nd tour;23.45;23.85
45_4;UMP;JEAN-PIERRE DOOR;2nd tour;22.67;23.06
45_5;UMP;MARIANNE DUBOIS;2nd tour;22.64;22.43
45_6;UMP;CHARLES-ERIC LEMAIGNEN;2nd tour;29.2;22.43
46_1;PS;DOMINIQUE ORLIAC;2nd tour;31.87;24.39
46_2;PS;JEAN LAUNAY;2nd tour;32.96;25.72
47_1;UMP;JEAN DIONIS DU SEJOUR;2nd tour;28.59;21.0
47_2;UMP;MICHEL DIEFENBACHER;2nd tour;28.36;21.25
47_3;UMP;JEAN-LOUIS COSTES;2nd tour;27.63;20.87
48_1;UMP;PIERRE MOREL-A-L'HUISSIER;2nd tour;29.07;23.17
49_1;UMP;PAUL JEANNETEAU;2nd tour;28.13;22.97
49_2;PS;MARC GOUA;2nd tour;28.05;21.94
49_3;UMP;JEAN-CHARLES TAUGOURDEAU;2nd tour;30.84;23.77
49_4;UMP;MICHEL PIRON;2nd tour;31.23;25.53
49_5;UMP;GILLES BOURDOULEIX;2nd tour;29.27;23.87
49_6;UMP;HERVÉ DE CHARETTE;2nd tour;30.48;24.59
49_7;UMP;MARC LAFFINEUR;2nd tour;29.62;23.96
