1_1;EM;LR
1_2;EM;LR
1_3;EM;LR
1_4;EM;FN
1_5;EM;LR
2_1;FN;EM
2_2;FN;PS
2_3;FN;EM
2_4;FN;EM
2_5;EM;FN
3_1;EM;FN
3_2;EM;LFI
3_3;EM;FN
4_1;EM;FN
4_2;EM;LFI
5_1;EM;FN
5_2;EM;LFI
6_1;EM;LR
6_2;EM;FN
6_3;EM;FN
6_4;FN;LR
6_5;FN;PS
6_6;FN;EM;LR
6_7;EM;FN
6_8;EM;LR
6_9;LR;EM;FN
7_1;EM;FN
7_2;EM;LR
7_3;EM;LFI
8_1;EM;FN
8_2;FN;EM
8_3;LR;FN
9_1;EM;LFI
9_2;EM;LFI
10_1;FN;EM;LR
10_2;FN;EM
10_3;EM;FN
11_1;FN;EM
11_2;FN;EM
11_3;EM;FN
12_1;EM;LR
12_2;EM;LFI
12_3;EM;LFI
13_1;FN;EM
13_2;LR;EM
13_3;FN;EM
13_4;LFI;EM
13_5;EM;LFI
13_6;EM;FN
13_7;LFI;FN
13_8;FN;EM
13_9;FN;EM
13_10;EM;FN
13_11;EM;FN
13_12;FN;EM
13_13;FN;EM
13_14;EM;LR
13_15;FN;EM
13_16;FN;LFI
14_1;EM;LFI
14_2;EM;LFI
14_3;EM;FN
14_4;EM;FN
14_5;EM;FN
14_6;EM;FN
15_1;EM;LR
15_2;EM;FN
16_1;EM;LR
16_2;EM;LR
16_3;EM;FN
17_1;EM;LFI
17_2;EM;LFI
17_3;EM;LR
17_4;EM;LR
17_5;PS;FN
18_1;EM;LR
18_2;EM;FN
18_3;EM;FN
19_1;EM;LFI
19_2;EM;LR
2A_1;;
2A_2;;
2B_1;;
2B_2;;
21_1;EM;LR
21_2;EM;LR
21_3;EM;FN
21_4;EM;FN
21_5;EM;LR
22_1;EM;LR
22_2;EM;LR
22_3;EM;LR
22_4;EM;LFI
22_5;EM;LFI
23_1;EM;LR
24_1;EM;LFI
24_2;EM;FN
24_3;EM;FN
24_4;EM;LR
25_1;EM;LFI
25_2;FN;LFI
25_3;EM;FN
25_4;FN;EM
25_5;LR;EM
26_1;EM;LR
26_2;EM;FN
26_3;EM;FN
26_4;EM;FN
27_1;EM;FN
27_2;EM;FN
27_3;FN;LFI
27_4;EM;FN
27_5;FN;EM
28_1;EM;LR
28_2;EM;FN
28_3;LR;FN
28_4;EM;FN
29_1;EM;PS
29_2;EM;PS
29_3;EM;LFI
29_4;EM;LR
29_5;EM;FN
29_6;EM;LFI
29_7;EM;LFI
29_8;EM;LFI
30_1;EM;FN
30_2;FN
30_3;EM;FN
30_4;FN;EM
30_5;EM;LFI
30_6;EM;FN
31_1;EM;LFI
31_2;EM;LR
31_3;EM;LFI
31_4;EM;LFI
31_5;EM;FN
31_6;EM;LFI
31_7;EM;FN
31_8;EM;FN
31_9;EM;LFI
31_10;EM;LFI
32_1;EM;LFI
32_2;EM;FN
33_1;EM;LFI
33_2;EM;LFI
33_3;EM;LFI
33_4;EM;LFI
33_5;EM;FN
33_6;EM;LFI
33_7;EM;LFI
33_8;EM;FN
33_9;EM;FN
33_10;EM;FN
33_11;FN;EM
33_12;EM;LFI
34_1;LFI;EM
34_2;EM;LFI
34_3;EM;LFI
34_4;EM;FN
34_5;FN;EM
34_6;FN;LR
34_7;FN;EM
34_8;EM;FN
34_9;EM;FN
35_1;EM;LFI
35_2;EM;LR
35_3;PS;LR
35_4;EM;LR
35_5;EM;LR
35_6;EM;FN
35_7;EM;LR
35_8;EM;PS
36_1;PS;LR
36_2;EM;FN
37_1;EM;LR
37_2;EM;LR
37_3;PS;LR
37_4;EM;LR
37_5;EM;FN
38_1;EM;LFI
38_2;EM;FN
38_3;EM;LFI
38_4;EM;FN
38_5;EM;LR
38_6;EM;FN
38_7;EM;FN
38_8;EM;FN
38_9;EM;LFI
38_10;EM;FN
39_1;EM;FN
39_2;EM;LR
39_3;EM;LFI
40_1;EM;FN
40_2;EM;LFI
40_3;EM;LFI
41_1;EM;LR
41_2;EM;FN
41_3;EM;FN
42_1;EM;PS
42_2;EM;LFI
42_3;EM;FN
42_4;EM;FN
42_5;EM;FN
42_6;EM;FN
43_1;EM;FN
43_2;EM;LR
44_1;EM;LR
44_2;EM;LFI
44_3;EM;PS
44_4;EM;LFI
44_5;EM;LFI
44_6;EM;LR
44_7;EM;FN
44_8;EM;LFI
44_9;EM;LFI
44_10;EM;LFI
45_1;EM;LR
45_2;EM;FN
45_3;EM;LR
45_4;FN;EM
45_5;EM;FN
45_6;EM;FN
46_1;EM;LFI
46_2;EM;LR
47_1;EM;FN
47_2;EM;FN
47_3;EM;LR
48_1;EM;LR
49_1;EM;PS
49_2;EM;LR
49_3;EM;LR
49_4;EM;FN
49_5;EM;FN
49_6;EM;LR
49_7;EM;LR
50_1;EM;LR
50_2;EM;LR
50_3;EM;LR
50_4;EM;LR
51_1;PS;LR
51_2;EM;LR
51_3;EM;FN
51_4;PS;FN
51_5;FN;EM
52_1;EM;LR
52_2;FN;LR
53_1;EM;LFI
53_2;LR;EM
53_3;EM;FN
54_1;EM;FN
54_2;EM;LR
54_3;FN;EM
54_4;FN;EM
54_5;FN;EM
54_6;PS;FN
55_1;FN;EM
55_2;FN;EM
56_1;EM;LFI
56_2;LR;PS
56_3;EM;FN
56_4;EM;FN
56_5;EM;LFI
56_6;EM;LFI
57_1;EM;FN
57_2;EM;FN
57_3;EM;LR
57_4;FN;EM
57_5;FN;EM
57_6;FN
57_7;FN;EM
57_8;FN;EM
57_9;EM;FN
58_1;EM;FN
58_2;EM;FN
