circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
25_2;EELV;Eric ALAUZET;2nd tour;22.26;21.57
25_3;EM;Denis SOMMER;2nd tour;19.01;16.29
25_4;EM;Frédéric BARBIER;2nd tour;21.36;17.22
25_5;LR;Annie GENEVARD;2nd tour;21.61;19.47
26_1;EM;Mireille CLAPOT;2nd tour;18.14;13.52
26_2;EM;Alice THOUROT;2nd tour;24.77;16.21
26_3;EM;Célia DE LAVERGNE;2nd tour;20.56;17.94
26_4;EM;Latifa CHAY;2nd tour;17.71;10.98
27_1;EM;Bruno LE MAIRE;2nd tour;23.37;20.81
27_2;EM;Fabien GOUTTEFARDE;2nd tour;23.97;17.23
27_3;FN;Timothée HOUSSIN;2nd tour;11.12;10.81
27_4;EM;Bruno QUESTEL;2nd tour;26.7;15.84
27_5;EM;Claire O'PETIT;2nd tour;20.24;13.53
28_1;EM;Guillaume KASBARIAN;2nd tour;21.4;18.59
28_2;LR;Olivier MARLEIX;2nd tour;15.71;12.72
28_3;LR;Laure DE LA RAUDIERE;2nd tour;16.9;15.06
28_4;LR;;2nd tour;26.88;22.41
29_1;EM;Annaïg LE MEUR;2nd tour;27.4;21.38
29_2;EM;Jean-Charles LARSONNEUR;2nd tour;26.62;20.08
29_3;EM;Didier LE GAC;2nd tour;26.79;23.56
29_4;EM;Sandrine LE FEUR;2nd tour;23.02;17.2
29_5;EM;Graziella MELCHIOR;2nd tour;21.36;19.73
29_6;EM;Richard FERRAND;2nd tour;21.39;19.29
29_7;EM;Liliane TANGUY;2nd tour;25.79;20.98
29_8;EM;Erwan BALANANT;2nd tour;19.75;17.69
30_1;EM;Françoise DUMAS;2nd tour;16.03;12.14
30_2;FN;Gilbert COLLARD;2nd tour;16.03;15.71
30_3;EM;Anthony CELLIER;2nd tour;22.7;15.83
30_4;EM;Annie CHAPELIER;2nd tour;25.73;11.7
30_5;EM;Olivier GAILLARD;2nd tour;27.49;16.28
30_6;EM;Philippe BERTA;2nd tour;22.16;15.27
31_1;EM;Pierre CABARE;2nd tour;23.86;16.46
31_2;EM;Jean-Luc LAGLEIZE;2nd tour;24.76;18.97
31_3;EM;Corinne VIGNON;2nd tour;23.24;21.6
31_4;EM;Mickaël NOGAL;2nd tour;22.77;16.47
31_5;EM;Jean-François PORTARRIEU;2nd tour;31.2;18.88
31_6;EM;Monique IBORRA;2nd tour;24.23;20.85
31_7;EM;Elisabeth TOUTUT-PICARD;2nd tour;30.64;18.7
31_8;EM;Michel MONTSARRAT;2nd tour;19.86;17.0
31_9;EM;Sandrine MÖRCH;2nd tour;23.48;17.71
31_10;EM;Sébastien NADOT;2nd tour;29.34;22.98
32_1;EM;Jean-René CAZENEUVE;2nd tour;27.11;18.71
32_2;EM;Christopher SOCCIO;2nd tour;15.68;13.41
33_1;EM;Dominique DAVID;2nd tour;24.48;22.27
33_2;EM;Catherine FABRE;2nd tour;26.2;20.13
33_3;EM;Marik FETOUH;2nd tour;18.9;16.33
33_4;EM;Aziz S'KALLI-BOUAZIZA;2nd tour;20.35;14.18
33_5;EM;Benoit SIMIAN;2nd tour;19.91;16.64
33_6;EM;Eric POULLIAT;2nd tour;24.31;22.71
33_7;EM;Bérangère COUILLARD;2nd tour;26.88;20.82
33_8;EM;Sophie PANONACLE;2nd tour;26.95;20.45
33_9;EM;Sophie METTE;2nd tour;22.77;15.9
33_10;EM;Florent BOUDIÉ;2nd tour;26.95;20.3
33_11;EM;Véronique HAMMERER;2nd tour;18.12;12.93
33_12;EM;Christelle DUBOS;2nd tour;26.84;19.69
34_1;EM;Patricia MIRALLÈS;2nd tour;25.47;15.93
34_2;EM;Stéphanie JANNIN;2nd tour;16.93;12.21
34_3;EM;Coralie DUBOST;2nd tour;21.4;19.0
34_4;EM;Jean-François ELIAOU;2nd tour;26.96;14.91
34_5;EM;Philippe HUPPÉ;2nd tour;26.82;13.94
34_6;EM;Isabelle VOYER;2nd tour;20.59;11.53
34_7;EM;Christophe EUZET;2nd tour;20.11;11.87
34_8;EM;Nicolas DÉMOULIN;2nd tour;23.32;14.62
34_9;EM;Patrick VIGNAL;2nd tour;24.37;18.31
35_1;EM;Mostapha LAABID;2nd tour;25.34;18.51
35_2;EM;Laurence MAILLART-MÉHAIGNERIE;2nd tour;31.2;26.81
35_3;PS;François ANDRÉ;2nd tour;33.76;24.54
35_4;EM;Gaël LE BOHEC;2nd tour;27.67;21.53
35_5;EM;Christine CLOAREC;2nd tour;25.33;22.1
35_6;LR;;2nd tour;20.92;18.48
35_7;LR;Gilles LURTON;2nd tour;20.63;18.89
