circo;Couleur;Nom;Round;%_Voix/Ins_2nd_tour;%_Voix/Ins_1er_tour
78_6;EM;Natalia POUZYREFF;2nd tour;24.59;24.28
78_7;EM;Michèle DE VAUCOULEURS;2nd tour;21.83;19.77
78_8;EM;Khadija MOUDNIB;2nd tour;17.7;10.5
78_9;EM;Bruno MILLIENNE;2nd tour;19.8;17.66
78_10;EM;Aurore BERGÉ;2nd tour;28.38;25.92
78_11;EM;Nadia HAÏ;2nd tour;17.41;15.91
78_12;EM;Florence GRANJUS;2nd tour;23.56;21.51
79_1;EM;Guillaume CHICHE;2nd tour;21.65;20.33
79_2;EM;Christine HEINTZ;2nd tour;22.94;16.3
79_3;EM;Jean-Marie FIEVET;2nd tour;24.4;19.7
80_1;EM;Nicolas DUMONT;2nd tour;17.49;15.9
80_2;EM;Barbara POMPILI;2nd tour;24.12;19.83
80_3;LR;Emmanuel MAQUET;2nd tour;16.16;11.58
80_4;EM;Jean-Claude LECLABART;2nd tour;20.12;16.64
80_5;FN;Loïc GRIMAUX;2nd tour;10.69;10.42
81_1;FN;Frédéric CABROLIER;2nd tour;9.74;8.24
81_2;EM;Marie-Christine VERDIER-JOUCLAS;2nd tour;31.58;18.08
81_3;EM;Jean TERLIER;2nd tour;21.94;17.69
82_1;EM;Pierre MARDEGAN;2nd tour;18.61;15.34
82_2;LR;Mathieu ALBUGUES;2nd tour;11.81;9.19
83_1;LR;Geneviève LEVY;2nd tour;15.26;11.35
83_2;EM;Cécile MUSCHOTTI;2nd tour;18.54;14.87
83_3;EM;Alexandre ZAPOLSKY;2nd tour;17.63;16.39
83_4;EM;Sereine MAUBORGNE;2nd tour;15.45;13.81
83_5;EM;Philippe MICHEL-KLEISBAUER;2nd tour;20.58;13.01
83_6;EM;Valérie GOMEZ-BASSAC;2nd tour;22.39;15.32
83_7;EM;Emilie GUEREL;2nd tour;20.33;13.84
83_8;EM;Fabien MATRAS;2nd tour;19.48;15.93
84_1;EM;Jean-François CESARINI;2nd tour;18.07;13.01
84_2;EM;Sonia STRAPELIAS;2nd tour;20.64;14.5
84_3;EM;Brune POIRSON;2nd tour;19.27;15.13
84_4;EM;Carole NORMANI;2nd tour;19.76;12.11
84_5;EM;Jean VIARD;2nd tour;20.14;16.24
85_1;EM;Philippe LATOMBE;2nd tour;22.8;20.61
85_2;EM;Patricia GALLERNEAU;2nd tour;23.86;18.75
85_3;EM;Stéphane BUCHOU;2nd tour;26.16;20.41
85_4;EM;Martine LEGUILLE-BALLOY;2nd tour;25.8;24.03
85_5;EM;Pierre HENRIET;2nd tour;26.08;16.87
86_1;EM;Jacques SAVATIER;2nd tour;23.5;20.71
86_2;EM;Sacha HOULIÉ;2nd tour;23.56;21.64
86_3;EM;Jean-Michel CLÉMENT;2nd tour;28.16;20.25
86_4;EM;Nicolas TURQUOIS;2nd tour;15.49;14.64
87_1;EM;Sophie BEAUDOUIN-HUBIERE;2nd tour;22.31;19.21
87_2;EM;Jean-Baptiste DJEBBARI-BONNET;2nd tour;23.05;19.85
87_3;EM;Marie-Ange MAGNE;2nd tour;26.13;20.52
88_1;EM;Alisson HAMELIN;2nd tour;17.38;15.35
88_2;EM;Christine URBES;2nd tour;17.73;13.26
88_3;EM;Claude THIRARD;2nd tour;21.91;13.47
88_4;PS;Christian FRANQUEVILLE;2nd tour;20.3;9.55
89_1;EM;Paulo DA SILVA MOREIRA;2nd tour;22.78;17.51
89_2;EM;Jean-Yves CAULLET;2nd tour;19.31;14.88
89_3;EM;Michèle CROUZET;2nd tour;18.99;13.49
90_1;EM;Christophe GRUDLER;2nd tour;18.41;15.43
90_2;EM;Bruno KERN;2nd tour;18.31;14.4
91_1;LFI;Farida AMRANI;2nd tour;9.78;6.84
91_2;LR;Franck MARLIN;2nd tour;18.14;15.21
91_3;EM;Laëtitia ROMEIRO DIAS;2nd tour;23.56;17.65
91_4;EM;Marie-Pierre RIXAIN;2nd tour;22.04;18.39
91_5;EM;Cédric VILLANI;2nd tour;32.99;27.66
91_6;EM;Amélie DE MONTCHALIN;2nd tour;21.48;19.52
91_7;EELV;Eva Sas;2nd tour;18.37;6.27
91_8;EM;Antoine PAVAMANI;2nd tour;20.47;17.75
91_9;EM;Marie GUÉVENOUX;2nd tour;21.19;16.45
91_10;LFI;Charlotte GIRARD;2nd tour;15.93;6.76
92_1;EM;Isia KHALFI;2nd tour;14.74;11.2
92_2;EM;Adrien TAQUET;2nd tour;27.43;25.25
92_3;EM;Christine HENNION;2nd tour;27.24;25.36
92_4;EM;Isabelle FLORENNES;2nd tour;22.25;20.68
92_5;EM;Céline CALVEZ;2nd tour;25.75;22.3
92_6;EM;Laurent ZAMECZKOWSKI;2nd tour;25.87;23.93
92_7;EM;Jacques MARILOSSIAN;2nd tour;27.49;27.3
92_8;EM;Jacques MAIRE;2nd tour;29.71;27.72
92_9;LR;Thierry SOLÈRE;2nd tour;21.34;21.09
92_10;EM;Gabriel ATTAL;2nd tour;26.57;24.29
92_11;EM;Laurianne ROSSI;2nd tour;25.97;20.08
92_12;EM;Jean-Louis BOURLANGES;2nd tour;26.0;22.62
92_13;EM;Frédérique DUMAS;2nd tour;29.7;26.06
93_1;EM;Sébastien MÉNARD;2nd tour;15.51;11.56
93_2;LFI;Stéphane PEU;2nd tour;13.44;8.85
93_3;EM;Patrice ANATO;2nd tour;20.85;17.13
93_4;EM;Prisca THEVENOT;2nd tour;12.26;8.12
93_5;LFI;Ugo PORTIER;2nd tour;10.08;5.22
93_6;LFI;Bastien LACHAUD;2nd tour;15.37;7.15
93_7;LFI;Alexis CORBIÈRE;2nd tour;18.57;9.51
93_8;EM;Sylvie CHARRIÈRE;2nd tour;18.6;14.8
93_9;EM;Jeanne DROMARD;2nd tour;17.0;12.83
93_10;EM;Billel OUADAH;2nd tour;12.76;10.52
93_11;LFI;Clémentine AUTAIN;2nd tour;14.21;12.76
93_12;EM;Stéphane TESTE;2nd tour;19.93;13.53
94_1;EM;Frédéric DESCROZAILLE;2nd tour;23.52;20.24
94_2;EM;Jean François MBAYE;2nd tour;17.54;13.62
94_3;EM;Laurent SAINT-MARTIN;2nd tour;16.57;15.23
94_4;EM;Maud PETIT;2nd tour;21.33;19.61
94_5;EM;Nadine RET;2nd tour;19.0;17.86
94_6;EM;Guillaume GOUFFIER-CHA;2nd tour;27.39;21.84
94_7;EM;Jean-Jacques BRIDEY;2nd tour;19.98;17.47
94_8;EM;Jennifer DOUIEB-NAHON;2nd tour;20.46;18.49
94_9;PS;Luc CARVOUNAS;2nd tour;14.97;8.59
94_10;EM;Sheerazed BOULKROUN;2nd tour;14.3;13.88
94_11;EM;Albane GAILLOT;2nd tour;21.2;15.52
95_1;EM;Isabelle MULLER-QUOY;2nd tour;18.8;16.95
95_2;EM;Guillaume VUILLETET;2nd tour;20.02;16.9
95_3;EM;Cecile RILHAC;2nd tour;21.25;18.68
95_4;EM;Naïma MOUTCHOU;2nd tour;26.09;19.23
95_5;EM;Fiona LAZAAR;2nd tour;16.63;11.64
95_6;EM;Nathalie ELIMAS;2nd tour;20.7;18.2
95_7;EM;Dominique DA SILVA;2nd tour;18.81;15.5
95_8;PS;François PUPPONI;2nd tour;11.94;11.94
95_9;EM;Zivka PARK;2nd tour;16.24;10.83
95_10;EM;Aurelien TACHE;2nd tour;20.88;15.47
971_1;EELV;Harry DURIMEL;2nd tour;11.91;4.17
971_2;EM;Diana PERRAN;2nd tour;4.4;4.34
971_3;PS;Adrien BARON;2nd tour;2.06;2.06
971_4;PS;Hélène VAINQUEUR-CHRISTOPHE;2nd tour;11.08;9.97
972_1;EM;Chantal MAIGNAN;2nd tour;3.45;3.36
972_2;LR;Yan MONPLAISIR;2nd tour;5.55;5.45
972_3;EM;Max ORVILLE;2nd tour;1.55;1.5
972_4;LR;Sylvia SAITHSOOTHANE;2nd tour;4.18;4.04
973_1;EM;Joëlle PREVOT-MADERE;2nd tour;6.67;6.67
973_2;EM;Lénaïck ADAM;2nd tour;9.15;9.12
974_1;PS;Ericka BAREIGTS;2nd tour;19.6;15.99
974_2;LR;Cyrille MELCHIOR;2nd tour;6.62;6.11
974_3;LR;Nathalie BASSIRE;2nd tour;11.85;9.62
974_4;LR;David LORION;2nd tour;13.65;12.67
974_5;LR;Daniel GONTHIER;2nd tour;8.99;8.34
974_6;EM;Monique ORPHE;2nd tour;7.84;7.62
974_7;EM;Thierry ROBERT;2nd tour;11.65;10.11


Composition Assemblée
LFI;12
PCF;6
EELV;4
PS;20
EM;456
UDI;0
LR;46
DLF;0
FN;8
total;552
