circo;EXG;FG;PS;EELV;MODEM;UMP;FN
72_3;THOMAS HUBERT;SONIA HERTZ;GUY-MICHEL CHAUVEAU;THIERRY PRADIER;LOÏC BARDIN;BÉATRICE PAVY-MORANCAIS;JEAN-CLAUDE BARLEMONT
72_4;THIERRY NOUCHY;CHANTAL HERSEMEULE;STÉPHANE LE FOLL;ISABELLE SEVERE;CÉCILE GUILLOCHER;MARC JOULAUD;HENRI DELAUNE
72_5;ORIANNE MAY;LUC-MARIE FABUREL;CHRISTOPHE ROUILLON;ELEN DEBOST;;DOMINIQUE LE MENER;MARIE-CLAUDE DEOTTO
73_1;MYRIAM COMBET;BRIGITTE ANDREYS;;ALAIN CARACO;;DOMINIQUE DORD;VÉRONIQUE-JEANNE DRAPEAU
73_2;ORIANE CHAMPANHET;HENRI MORANDINI;FRANÇOIS RIEU;YVES PACCALET;;HERVÉ GAYMARD;ROBERT BONNET LIGEON
73_3;RÉGIS MOULARD;CHRISTIANE LEHMANN;BÉATRICE SANTAIS;BÉATRICE FAURE;;PIERRE-MARIE CHARVOZ;ERIC MARMILLON
73_4;LAURENT RIPART;JEAN-CLAUDE BERNARD;BERNADETTE LACLAIS;CAROLE PLASSIARD-BRUNET;;CHRISTIANE BRUNET;JOËLLE REGAIRAZ
74_1;BETHSABÉE LUNEL;ELIANE CHAZAL VINDRET;CHRISTIAN JEANTET;CLAUDE COMET;;BERNARD ACCOYER;ANDRÉ ADOBATI
74_2;PHILIPPE METRAL-BOFFOD;NATHALIE HIRAUX;DENIS DUPERTHUY;FRANÇOIS ASTORG;LAURENT VIOTTO;LIONEL TARDY;CLAUDE BIESSE
74_3;CLAUDE BADET;ROLAND POURRAZ;;GILBERT SAILLET;;MARTIAL SADDIER;KATIA TERRAS
74_4;CATHERINE DERRIEN;DANIEL RICHARD;GUILLAUME MATHELIER;CATHERINE WALTHERT SELOSSE;ANTOINE VIELLIARD;VIRGINIE DUBY-MULLER;ANNE BARDOUX
74_5;CHRISTINE PESSAH;ODILE ROUFFIGNAC;PASCALE ESCOUBÈS;EMILIE DELBAYS-ATGÉ;;MARC FRANCINA;PATRICK CHEVALLAY
74_6;DENISE GOMEZ;GILBERT PERRIN;MARIE-FRANCE MARCOS;CORINNE BARO;;SOPHIE DION;DOMINIQUE MARTIN
75_1;LAURENCE BOULINIER;ANNE SABOURIN;CLAIRE MOREL;JACQUES BOUTAULT;SANDRA FELLOUS;PIERRE LELLOUCHE;ANNIE THIERRY
75_2;CHRISTOPHE DARMANGEAT;AMAR BELLAL;AXEL KAHN;LAURENT AUDOUIN;ANNE-SOPHIE GODFROY-GENIN;FRANÇOIS FILLON;MARC LE TANNEUR
75_3;AURÉLIE PHILIBERT;FRÉDÉRIQUE LAIZET;ANNICK LEPETIT;AGNÈS MICHEL;THIERRY COUDERT;VALÉRIE PAPAREMBORDE;CATHERINE CREMOUX
75_4;PIERRE LEVENARD;FABIENNE DOS SANTOS;AGNÈS PANNIER;ISABELLE FAUGERAS;MARTINE LE GALL;BERNARD DEBRE;JEAN MAIREY
75_5;ISABELLE FOUCHER;MARTINE BILLARD;SEYBAH DAGOMA;ANNE SOUYRIS;;BENJAMIN LANCAR;JEAN-BAPTISTE MARLY
75_6;SYLVIANE CHARLES;DANIELLE SIMONNET;SYLVAIN GUY;CÉCILE DUFLOT;SYLVIE MAMY;JACK-YVES BOHBOT;FRANÇOIS VIAL
75_7;STÉPHANE REY;CATHERINE VIEU-CHARIER;PATRICK BLOCHE;CORINE FAUGERON;JACKY MAJDA;CLAUDE-ANNICK TISSOT;TIPHAINE LEOST
