circo;EXG;FG;PS;EELV;MODEM;UMP;FN
90_2;JEAN-MARIE PHEULPIN;EMMANUEL PETITJEAN;ETIENNE BUTZBACH;VINCENT JEUDY;JEAN-CHRISTOPHE MESSIN;MICHEL ZUMKELLER;ISABELLE ROY
91_1;FRANCIS COUVIDAT;ULYSSE RABATE;MANUEL VALLS;DANIELLE VALERO;JACQUES GERING;CRISTELA DE OLIVEIRA;JEAN-PIERRE BRAY
91_2;ESTER NOWERSZTERN;FRANÇOIS JOUSSET;BÉATRICE PERIE;XAVIER GUIOMAR;ANNIE CHEININE-FEUVRAIS;FRANCK MARLIN;FRANCK SAILLEAU
91_3;LAURENCE ROËDER GRYSON;PHILIPPE CAMO;MICHEL POUZOL;STEEVY GUSTAVE;NICOLAS MEARY;GENEVIÈVE COLOT;FRANÇOISE ANDRIEU
91_4;OLIVIER LEBRETON;DOMINIQUE BARDY;OLIVIER THOMAS;JACQUES-LUCIEN SERNA;GABRIELLE NGUYEN;NATHALIE KOSCIUSKO-MORIZET;BRIGITTE DUPIN
91_5;ANGÉLIQUE GROSMAIRE;GILLES LASCHON;MAUD OLIVIER;MARIE-PIERRE DIGARD;JEAN-PAUL MORDEFROID;HERVÉ HOCQUARD;PIERRE GUILLERMAIN
91_6;CATHERINE ABIET;COLETTE JAN;FRANÇOIS LAMY;MICHEL ROUYER;;GRÉGOIRE DE LASTEYRIE;CÉDRIC GIRAUD
91_7;MARC HOQUET;GABRIEL AMARD;FRANÇOIS GARCIA;EVA SAS;ALAIN VILLEMEUR;FRANÇOISE BRIAND;AUDREY GUIBERT
91_8;THOMAS CHUST;VÉRONIQUE LATAPIE;AUDE BRISTOT;FLORIE LE VAGUERESE-MARIE;ERIC VALAT;NICOLAS DUPONT-AIGNAN;MARIE-THÉRÈSE DONZEAU
91_9;IBRAHIMA DIA;MARIE-FRANCE WINGHARDT;THIERRY MANDON;MARIE-CECILE LEBRUN;DAPHNÉ RACT-MADOUX;GEORGES TRON;ISABELLE COCHARD
91_10;CHANTAL DUBOULAY;FRANÇOIS DELAPIERRE;MALEK BOUTIH;CHRISTIAN SOUBRA;SERGE GAUBIER;MARIANNE DURANTON;GAËL FOUILLEUL
92_1;MICHEL BRETON;ROLAND MUZEAU;ALEXIS BACHELAY;TAOUFIK HALEM;KARIM YAHIAOUI;NORA DJELLAB;RÉMI CARILLON
92_2;ARMELLE PERTUS;JEAN-MICHEL TARRIN;SÉBASTIEN PIETRASANTA;LAURENT GUILLARD;;MANUEL AESCHLIMANN;GUILLAUME L'HUILLIER
92_3;MATHILDE EISENBERG;ADÉLAÏDE NATUREL;JEAN-ANDRÉ LASSERRE;ANNE LE GUENNIOU;FLORENCE VILLEDEY;JACQUES KOSSOWSKI;FLORIANE DENIAU
92_4;AURÉLIEN SCHOUMAKER;JACQUELINE FRAYSSE;YACINE DJAZIRI;LAURE FOULLON;DAVID MORGANT;CHRISTIAN DUPUY;LAURENT SALLES
92_5;MIREILLE LAMBERT;FRANÇOIS DELALLEAU;GILLES CATOIRE;ALAIN FOURNIER;ALVINE MOUTONGO-BLACK;PATRICK BALKANY;GEOFFROY RONDEPIERRE
92_6;CAROLINE GAUJARD;IOANNA MAYHEAD;MARIE BRANNENS;EMMANUEL PRUVOST;FRANCK FAVEUR;JEAN-CHRISTOPHE FROMANTIN;NICOLE HERVE
92_7;ANNE-LAURE CHAUDON;CAMILLE BARRE;BERTRAND ROCHERON;;OLIVIER HOSTEINS;PATRICK OLLIER;LUCIA LAPORTE
92_8;MIGUEL SEGUI;DOMINIQUE RABANY;CATHERINE LIME-BIFFE;CATHERINE CANDELIER;NADIA MORDELET-CARRIERE;JEAN-JACQUES GUILLET;ANNE LE BAUT
92_9;MINA KHALIL;ISABELLE GÖITIA;MARTINE EVEN;ODILE JOYEUX;DOROTHÉE PINEAU;CLAUDE GUEANT;JULIEN DUFOUR
92_10;VANESSA RONCHINI;LYSIANE ALEZARD;LAURENT PIEUCHOT;LUCILE SCHMID;FABIENNE GAMBIEZ;ANDRÉ SANTINI;SANDRINE BUNOT
92_11;ALAIN JACQUES;MARIE-HÉLÈNE AMIABLE;JULIE SOMMARUGA;RODÉRIC AARSSE;MEHDI BENHABRI;JEAN-LOUP METTON;MARIE DE FONTENAILLES
92_12;ROBERT LARCHER;JOCELYNE LE METAYER;JEAN-MARC GERMAIN;FRANCINE BAVAY;CHRISTIAN DELOM;PHILIPPE PEMEZEC;BLANCHE DOUCET
92_13;FRANCK ROLLOT;PASCALE LE NEOUANNIC;JULIEN LANDFRIED;FABIEN FEUILLADE;PAUL CASSIA;PATRICK DEVEDJIAN;MICHEL GEORGET
93_1;NAÏMA AMIRI;HAYAT DHALFA;BRUNO LE ROUX;MAMADOU KEITA;MIKE BOROWSKI;SALAH BOURDI;BLANDINE DEJOUY
93_2;CATHERINE BILLARD;PATRICK BRAOUEZEC;MATHIEU HANOTIN;DOMINIQUE CARRE;HOUARI GUERMAT;VIJAY MONANY;ALAIN POLU
93_3;SÉBASTIEN BISCARO;RIVA GHERCHANOC;MICHEL PAJON;SYLVIE DUFFRENE;;BRUNO BESCHIZZA;RENÉE ASSELIN
93_4;LINE ROQUES;MARIE-GEORGE BUFFET;NAJIA AMZAL;ESTELLE VULLIEZ;EDWIN LEGRIS;THIERRY MEIGNEN;GILLES CLAVEL
93_5;ISABELLE COUFFIN-GUERIN;ABDEL SADI;MILOUDA LATRECHE;DJAMILA BEKKAYE;CAROLE BREVIERE;JEAN-CHRISTOPHE LAGARDE;HERMINIA FARDEAU
93_6;NATHALIE ARTHAUD;PATRICK LE HYARIC;ELISABETH GUIGOU;CHRISTINE RATZEL-TOGO;CLAIRE VIGEANT;ILONA ZSOTER;CYRIL BOZONNET
93_7;FRANÇOIS MAILLOUX;JEAN-PIERRE BRARD;RAZZY HAMMADI;ALAIN BOZARIC;DAVID XARDEL;MURIEL BESSIS;ANNIE HABERT
93_8;JIHANE BEN SALAH;BRUNO BELLEGARDE;ELISABETH POCHON;AURELIEN BERTHOU;FRÉDÉRIC LORENZO;PATRICE CALMEJANE;DANIEL BOUSSELAIRE
93_9;JEAN-PAUL BUROT;PASCALE LABBE;CLAUDE BARTOLONE;PIERRE STOEBER;GEORGES AMZEL;DREF MENDACI;ELISABETH COURTIAL
93_10;SÉBASTIEN VILLE;MARIE-JEANNE QUERUEL;DANIEL GOLDBERG;HERVÉ SUAUDEAU;AMÉLIE PINHEIRO;GÉRARD GAUDRON;ATIKA KEDDOUH
93_11;SALAH KELTOUMI;FRANÇOIS ASENSI;DANIEL KPODE;STÉPHANE GATIGNON;FABRICE SCAGNI;MARTINE VALLETON;PIERRE-ANTOINE LEBEAULT
93_12;MOHAMED MECHMACHE;MARTINE LOUAIRE;PASCAL POPELIN;ABDELALI MEZIANE;MONTASSER CHARNI;ERIC RAOULT;GISÈLE METAY
94_1;MORGANE MOALIC;MICHELINE GERVELAS;AKLI MELLOULI;MICHEL GINESTE;PASCALE LUCIANI;HENRI PLAGNOL;ANNE-LAURE MALEYRE
94_2;ANNE KERUEL;DIDIER GUILLAUME;LAURENT CATHALA;CATHERINE CALMET REBÉRIOUX;MADELEINE MASENGU;THIERRY HEBBRECHT;ANNICK LE RUYET
94_3;ANDRÉ YON;JOSEPH ROSSIGNOL;ROGER-GÉRARD SCHWARTZENBERG;BRUNO BOSSARD;SOPHIE DUBOIS;DIDIER GONZALES;DOMINIQUE JOLY
94_4;CHRISTINE MAZURIER;IRÈNE BASLÉ-MIDY;SIMONNE ABRAHAM-THISSE;PATRICK MESLÉ;FERNAND FERRER;JACQUES-ALAIN BÉNISTI;PHILIPPE ORIBES
94_5;SYLVETTE MINNAERT;DOMINIQUE ADENOT;CAROLINE ADOMO;ARNAUD DUSSUD;JESSICA PERNICENI;GILLES CARREZ;JEAN-MARIE ROUGIER
94_6;DIDIER LEVY;NORA SAINT-GAL;DAVID DORNBUSCH;LAURENCE ABEILLE;PIERRE RAMADIER;PATRICK BEAUDOUIN;MARIE-CHRISTINE MADIOT
94_7;BOUCHRA DINI;CHRISTIAN HERVY;JEAN-JACQUES BRIDEY;MARIE LECLERC-BRUANT;PASCAL PROVENT;RICHARD DELL'AGNOLA;JEANNINE VIAUD
94_8;BILA TRAORÉ;FATIMA SÉNÉCHAL-HAMAMI;PATRICIA RICHARD;MARIE-AMÉLIE BERTIN;NICOLE MARTIN;MICHEL HERBILLON;PIERRETTE GRACIEUX
94_9;JOSIANE LE BOITE;EVELYNE RABARDEL;RENÉ ROUQUET;AMINATA NIAKATE;NATHALIE SEROT-PETAT;MONIQUE TARON;PIERRE FOUCHARD
94_10;SERGE ABERDAM;PIERRE GOSNAT;JEAN-LUC LAURENT;MEHDY BELABBAS;SAÏD HASSANI;BRUNO CASTELNAU;MICKAEL EHRMINGER
94_11;ELSA MOALIC;GILLES DELBOS;JEAN-YVES LE BOUILLONNEC;CHRISTIAN METAIRIE;JORGE CARVALHO;CHRISTELLE PRACHE;THÉRÈSE PATRY
95_1;HÉLÈNE HALBIN;ALEXIS ZAKHAREVITCH;TATIANA GRÜNDLER;ALBERT LAPEYRE;MAURICE CHAYET;PHILIPPE HOUILLON;BRIGITTE GILIBERT
95_2;ABDEL-BASETT NEFTIA;ISABELLE DUCHET;JEAN-PIERRE PERNOT;GUILLAUME VUILLETET;;AXEL PONIATOWSKI;DAVID CHEVRIER
95_3;MONIQUE MIGNEAU;ALAIN FEUCHOT;JEAN-NOËL CARPENTIER;ANNE-MARIE CAUËT;;JEAN BARDET;ALEXANDRE SIMONNOT
95_4;MARIE-FRANÇOISE L'HOMMEDET;PATRICE LAVAUD;GÉRARD SEBAOUN;NICOLE GAUVAIN-KERYMEL;JEAN-PHILIPPE PICARD-BACHELERIE;CLAUDE BODIN;CHRISTIAN MALACAIN
95_5;DOMINIQUE MARIETTE;DOMINIQUE LESPARRE;PHILIPPE DOUCET;ANNE GELLÉ;FRÉDÉRIC LEFEBVRE-NARÉ;GEORGES MOTHRON;AURÉLIE THOMAS
95_6;AGNÈS REINMANN;ISABELLE VOLAT;CHRISTINE NERACOULIS;FRANÇOIS DELCOMBRE;NATHALIE ELIMAS;FRANÇOIS SCELLIER;MICHEL SIMONNOT
95_7;GILLES BONHOMME;ANNE LEVAILLANT;CHARLOTTE BRUN;HERVÉ HABABOU;THIERRY BONNEL;JÉRÔME CHARTIER;DENISE AISSI
95_8;NILS LEFEVRE;FRANCIS PARNY;FRANÇOIS PUPPONI;ARMAND ATONGA;BENOIT JIMENEZ;MARIE-FRANCE BLANCHET;MICHEL THOORIS
95_9;DANIÈLE HANRYON;PIERRE BARROS;JEAN-PIERRE BLAZY;SEVINÇ MERT;ISABELLE MARROCCO-HAMELIN;YANICK PATERNOTTE;LYDIE DUBOIS
95_10;ERIC CASSAN;PATRICK DIAZ;DOMINIQUE LEFEBVRE;BERNARD MORIN;OLIVIER SELLIER;AUDREY TAMBORINI;THÉRÉSA ANDRES
971_1;DANIELLE DIAKOK;;ERIC JALTON;HARRY DURIMEL;;SULLY TACITE;COLETTE BOUCHAIN
971_2;CLAUDE FLETCHER;;GABRIELLE LOUIS-CARABIN;LÉOPOLD-EDOUARD DEHER-LESAINT;;LAURENT BERNIER;TEDDY GABREAU
971_3;LITA DAHOMAY;;ARY CHALUS;GÉRARD UNEAU;;JIM LAPIN;ANNE LEGRAS
971_4;JEAN-MARIE NOMERTIN;GUILHEM SALTEL;VICTORIN LUREL;;;MARIE-LUCE PENCHARD;MARC GUILLE
972_1;MARIE-HELLEN MARTHE DITE SURELLY;;LOUIS-JOSEPH MANSCOUR;;JACQUELINE JOUGON;CHANTAL MAIGNAN;CATHERINE GRISET
972_2;ALEX DUFEAL;;BRUNO-NESTOR AZEROT;MARCELLIN NADEAU;MAX ORVILLE;YAN MONPLAISIR;STÉPHANIE DE GONNEVILLE
972_3;GHISLAINE JOACHIM-ARNAUD;;SERGE LETCHIMY;;THIERRY LÉSEL;MIGUEL LAVENTURE;LINA GEORGET
972_4;GABRIEL JEAN;;JEAN-PHILIPPE NILOR;;JEAN-FRANÇOIS BEAUNOL;ANDRÉ LESUEUR;CATHERINE BESSON
973_1;;MONIQUE GUARD;GABRIEL SERVILLE;MICHEL DUBOUILLE;GAMAL HOOSEINBUX;;
973_2;;;CHANTAL BERTHELOT;JOSÉ GAILLOU;;LÉON BERTRAND;
974_1;CORINNE BAÏKIOM;DARMAPALAH SEETHANEN;ERICKA BAREIGTS;JEAN-PIERRE MARCHAU;NASSIMAH DINDAR;RENÉ-PAUL VICTORIA;GLADYS RIVIERE
974_2;MICKAËL HOAREAU;PATRICK LOISEAU;HUGUETTE BELLO;NILA MINATCHY;NELLY BUCHLE;SANDRA SINIMALE;ELIE TAIEB
974_3;;PASCAL BASSE;JEAN-JACQUES VLODY;JEAN-ALAIN CADET;;ANDRÉ THIEN AH KOON;CORINNE SUZANNE
974_4;SERGE LATCHOUMANIN;JEAN LE PORCHOU;PATRICK LEBRETON;BERTRAND GRONDIN;;BÉATRICE SIGISMEAU;MARIE-LUCE CLAIN
974_5;JEAN-YVES PAYET;;JEAN-CLAUDE FRUTEAU;GUYLÈNE CLAIN;FARIDA TANDRAYEN;STÉPHANE FOUASSIN;JOSEPH DAMOUR
974_6;DIDIER LOMBARD;PASCAL HOAREAU;MONIQUE ORPHE;YVETTE DUCHEMANN;EMMANUEL LEMAGNEN;JEAN-LOUIS LAGOURGUE;JOSEPH GRONDIN
974_7;DENIS SIMONIN;JEAN-HUGUES SAVIGNY;FABRICE HOARAU;DANON-LUTCHMEE ODOYEN;THIERRY ROBERT;JEAN-CLAUDE LACOUTURE;JEAN-CLAUDE OTTO-BRUC
985_1;;;SAÏD OMAR OILI;;ABDOULATIFOU ALY;MOHAMADI SOUMAILA;LUCINDA CARVALHO
985_2;;;IBRAHIM ABOUBACAR;KAMALDINE ATTOUMANI;;MANSOUR KAMARDINE;OMAR ABDALLAH
988_1;;RICHARD SIO;MICHEL JORDA;;;GAËL YANNO;PIERRE AUBE
988_2;;;JEAN-PIERRE DJAIWE;;;PHILIPPE GOMES;BIANCA HENIN
987_1;;GUSTAVE HEITAA;LOUIS FREBAULT;KARL REGURON;NICOLE BOUTEAU;EDOUARD FRITCH;
987_2;;;;JAROS OTCENASEK;;JONAS TAHUAITU;
987_3;;;TAUHITI NENA;ANGÈLE TERIITAU;;JEAN-PAUL TUAIVA;ERIC MINARDI
975_1;;;ANNICK GIRARDIN;;;BERNARD LE SOAVEC;ROGER RODE
986_1;;;MIKAELE KULIMOETOKE;;ANTONIO ILALIO;DAVID VERGÉ;
979_1;;;GUILLAUME ARNELL;;;DANIEL GIBBES;NICOLE THIEBAULT
99_1;;CÉLINE CLEMENT;CORINNE NARASSIGUIN;;CAROLE GRANADE;FRÉDÉRIC LEFEBVRE;CLAIRE SAVREUX
99_2;;RAQUEL GARRIDO;SERGIO CORONADO;;;PASCAL DROUHAUD;ALAIN-GÉRARD GEORGI-SAMARAN
99_3;;LUCILE JAMET;AXELLE LEMAIRE;OLIVIER BERTIN;OLIVIER CADIC;EMMANUELLE SAVARIT;GUY LE GUEZENNEC
99_4;;CHARLOTTE BALAVOINE;PHILIP CORDERY;PERRINE LEDAN;TANGUY LE BRETON;MARIE-ANNE MONTCHAMP;SOPHIE DUVAL
99_5;;JULIETTE ESTIVILL;ARNAUD LEROY;CAROLINE PUNSET;CHARLES-PHILIPPE D'ORLÉANS;LAURENCE SAILLIET;ALAIN LAVARDE
99_6;;MAGALI ORSINI;NICOLE CASTIONI;XIMENA KAISER MORRIS;BERNARD GARCIA;CLAUDINE SCHMID;CHRISTIANE FLOQUET
99_7;;ERIC BOURGUIGNON;PIERRE-YVES LE BORGN;BRUNO PLUDERMACHER;XAVIER FOURNY;RONAN LE GLEUT;AGNÈS DEJOUY
99_8;;MICHÈLE PARRAVICINI;DAPHNA POZNANSKI-BENHAMOU;PIERRE JESTIN;;VALÉRIE HOFFENBERG;HUGUETTE LEVY
99_9;;LAETITIA SUCHECKI;POURIA AMIRSHAHI;ZINE-EDDINE M'JATI;SIHAME ARBIB;KHADIJA DOUKALI;ALEXANDRA PIEL
99_10;;AXELLE BRÉMONT;JEAN-DANIEL CHAOUI;LUCIEN BRUNEAU;ADELINE KARGUE;ALAIN MARSAUD;FRANCIS MAGINOT
99_11;;CLAUDE BALLOUHEY;MARC VILLARD;JANNICK MAGNE;FRANCIS NIZET;THIERRY MARIANI;AUDE BOUVÉRON
