numéro département;code circonscription;nom;nuance_politique;modele2rounded;voix_reel_t1_2017
6;2;Jean-Louis FIORI;PCF;865;1545
6;2;Brigitte REYNARD;EELV;1063;1511
6;2;Anne SATTONNET;LR;988;8546
6;2;Eliette TROUCHE;LR;1189;771
6;3;Cédric ROUSSEL;EM;12764;12727
6;3;Muriel LOUBET;LR;956;739
6;3;Rudy SALLES;LR;1199;8176
6;3;Philippe VARDON;FN;11317;8476
6;3;Bruno COULET;LFI;7647;4459
6;3;Raphaël GALMICHE;PS;3138;1284
6;4;Jean-Marc CHIPOT;LR;1231;616
6;4;Xavier BECK;LR;10047;8075
6;4;Michaël ALBIN;PCF;800;2310
6;4;Alexandra VALETTA ARDISSON;EM;9239;11045
6;4;Zohra BRIAND;LFI;5725;2637
6;4;Olivier BETTATI;FN;13354;9139
6;5;Chantal AGNELY;FN;12790;8948
6;5;Christine BEYL;EELV;619;611
6;5;Marine BRENIER;LR;14490;11090
6;5;Philippe PELLEGRINI;LFI;6305;3978
6;5;Thibault DELHEZ;LR;1210;868
6;5;Jacqueline DEVIER;PS;9840;1472
6;6;Nathalie AUDIN;EM;9927;12047
6;6;Lionel DOLCIANI;LR;1221;920
6;6;Antoine MARCHESE;EELV;491;686
6;6;Yoann SALIBA;FN;11624;7526
6;6;Jean-François TÉALDI;PCF;436;590
6;6;Michel GAILLARD;PS;1868;568
6;6;Laurence TRASTOUR-ISNART;LR;9826;10010
6;6;Prune HELFTER-NOAH;LFI;3866;2416
6;7;Elisabeth DEBORDE;EELV;1149;1535
6;7;Eric PAUGET;LR;12333;14279
6;7;Cécile DUMAS;PCF;891;1138
6;7;Philippe CARENZO;LFI;6717;3182
6;7;Sophie MORI;LR;1128;964
6;7;Lionel TIVOLI;FN;10260;6718
6;7;Khaled BEN ABDERRAHMANE;EM;17513;14225
6;8;Anne KESSLER;FN;10226;7363
6;8;Pamela BIATOUR;LR;868;530
6;8;Maddy VARD;LFI;4044;2264
6;8;Antoine BABU;PS;1929;664
6;8;Philippe BUERCH;EM;11762;11199
6;8;Bernard BROCHAND;LR;11565;10919
6;8;Fabien TORRES;EELV;581;675
6;8;Christine SCHOUVER;PCF;499;388
6;9;Nathalie PAVARD;FN;10066;6815
6;9;Odile CLEMENTE;PCF;493;489
6;9;Jean-Luc BURGAUD;LR;1163;623
6;9;Dominique FILLEBEEN;EM;10209;12869
6;9;Denis LEBLANC;LFI;5391;2580
6;9;Michèle TABAROT;LR;11498;10912
6;9;Louis ACACIO;PS;2577;761
7;1;Luisa GAILLARD SANCHEZ;LFI;6658;5117
7;1;Francois JACQUART;PCF;1233;1812
7;1;Olivier KELLER;EELV;771;1410
7;1;André DUPONT;EM;12929;9203
7;1;François ARSAC;LR;661;5972
7;1;Céline PORQUET;FN;9167;5876
7;1;Hervé SAULIGNAC;PS;4685;7422
7;2;Isabelle FRANÇOIS;LR;1474;1116
7;2;Samia HASNAOUI;LFI;6496;4897
7;2;Laurette GOUYET-POMMARET;EM;14075;12718
7;2;Daniel BABAROSSA;PCF;1094;859
7;2;Olivier DUSSOPT;PS;5335;11531
7;2;Marc-Antoine QUENETTE;LR;9256;6585
7;2;Odile LASFARGUES-BOUYON;FN;9012;6026
7;2;Nadia SENNI;EELV;963;1460
7;3;Carole DAUDAN;PCF;1400;1114
7;3;Alain JOFFRE;LFI;7920;5970
7;3;Guillaume VERMOREL;EELV;876;1881
7;3;Sabine BUIS;PS;4680;7741
7;3;Thierry ARSAC;FN;7502;5064
7;3;Fabrice BRUN;LR;6563;8365
7;3;Matthieu PEYRAUD;EM;12350;10748
8;1;Jean-Pierre MORALI;EM;12207;8004
8;1;Sophie LORENZO;FN;10242;7278
8;1;Françoise VERLHAC;LFI;5213;2040
8;1;Sylvain DALLA-ROSA;PCF;1091;1282
8;1;Christophe DUMONT;EELV;854;1491
8;1;Bérengère POLETTI;LR;7921;13053
8;2;Guillaume LUCZKA;FN;8283;5424
8;2;Christophe LEONARD;PS;3039;4612
8;2;Mario IGLESIAS;EM;7642;6269
8;2;Pierre CORDIER;LR;4994;7212
8;2;Jean PIERRARD;EELV;458;397
8;2;Michel CARTIAUX;LFI;5539;2971
8;2;Igor NIVELET;PCF;958;609
8;3;Didier HERBILLON;PS;1483;2591
8;3;Christelle VORILLION;EM;6712;4063
8;3;Jean-Luc WARSMANN;LR;8310;12931
8;3;Amandine BLOMME;FN;7822;4917
8;3;Dalila MAOUCHE;PCF;668;328
8;3;Cédric SAUVAGE;EELV;394;155
8;3;Sophie PERRIN;LFI;3713;2528
9;1;Jérôme AZEMA;EM;9041;9478
9;1;Bénédicte TAURINE;LFI;6148;6125
9;1;José NAVARRO;PCF;1098;929
9;1;Laurence LEFORT;FN;5163;3618
9;1;Martine ESTEBAN;PS;2569;4093
9;1;Marie-Noëlle SAMARCQ;LR;3654;1616
9;2;Guy DJEDAINI;LR;706;259
9;2;Jérôme BROSSERON;EELV;738;1272
9;2;Vincent HEREDIA;PCF;1058;671
9;2;Philippe CALLEJA;LR;4153;4636
9;2;Bernard GONDRAN;FN;6913;4437
9;2;Huguette BERTRAND-VINZERICH;EM;7972;8161
9;2;Michel LARIVE;LFI;7371;5977
9;2;Alain FAURÉ;PS;4037;5602
9;2;Bernadette DEDIEU-COUMENAY;LR;493;327
10;1;Grégory BESSON-MOREAU;EM;9663;9730
10;1;Nicolas DHUICQ;LR;8999;8369
10;1;Bruno SUBTIL;FN;10496;8109
