numéro département;code circonscription;nom;nuance_politique;modele2rounded;voix_reel_t1_2017
21;1;Anne ERSCHENS;LR;7538;4084
21;1;Isabelle DELYON;FN;4275;3539
21;2;Tata OUARAG;PCF;837;647
21;2;Pierre PRIBETICH;PS;3374;1995
21;2;Fabrice GRUET;LR;971;195
21;2;Patricia MARC;LFI;4271;3743
21;2;Franck GAILLARD;FN;6221;4654
21;2;Catherine HERVIEU;EELV;727;1518
21;2;Rémi DELATTE;LR;8643;8959
21;2;François DESEILLE;EM;14396;11341
21;3;Fadila KHATTABI;EM;11356;10766
21;3;Isabelle DE ALMEIDA;PCF;994;571
21;3;Michel PROCUREUR;EELV;768;1088
21;3;Jean-François BATHELIER;FN;6400;5795
21;3;Boris OBAMA;LFI;5144;4238
21;3;Pascale CARAVEL;LR;6050;4936
21;3;Anne DILLENSEGER-SEBTI;PS;3490;2016
21;4;Stéphane GUINOT;LFI;5831;3423
21;4;Sébastien ROUSSET;LR;1218;123
21;4;Danielle GUTIERREZ;PCF;1002;515
21;4;Yolaine DE COURSON;EM;10731;9521
21;4;Charles BARRIERE;LR;6625;6548
21;4;Sylvie BEAULIEU;FN;7734;5062
21;4;Jean BALOUTCH;EELV;1137;914
21;5;Elisabeth KREMER;LFI;4121;4041
21;5;Jérôme FLACHE;PS;3450;1947
21;5;Jacques CARDOT;PCF;772;496
21;5;Hubert POULLOT;LR;9891;10336
21;5;René LIORET;FN;9389;7120
21;5;Didier PARIS;EM;14162;15428
21;5;Carole BERNHARD;EELV;774;1121
22;1;Pierre-Yves LOPIN;FN;5469;3582
22;1;Jean-François PHILIPPE;PCF;1354;1725
22;1;Michel LESAGE;PS;6910;6691
22;1;Sylvie GRONDIN;LR;7129;5379
22;1;Bruno JONCOUR;EM;18598;19951
22;1;Marion GORGIARD;LFI;6054;6078
22;1;Aurélien DANVERT;EELV;1495;2578
22;2;Viviane LE DISSEZ;PS;6758;6696
22;2;Odile DE MELLON;FN;6965;5264
22;2;Didier DÉRU;LR;10057;7576
22;2;Jocelyne LECLERC;EELV;1840;1590
22;2;Hervé BERVILLE;EM;18700;21317
22;2;Didier GIFFRAIN;LFI;8829;6572
22;3;Olivier ALLAIN;EM;19644;19166
22;3;Ronan GLAZIOU;LFI;6866;4950
22;3;Nicolas HERVÉ;EELV;2097;1853
22;3;Pierre-Marie LAUNAY;FN;7383;3479
22;3;Christelle SCHWEITZER;PCF;1582;991
22;3;Marc LE FUR;LR;9509;19816
22;4;Sylvie BOURBIGOT;EELV;988;1630
22;4;Martine TISON;LR;5542;3251
22;4;Murielle LEPVRAUD;LFI;6352;4925
22;4;Annie LE HOUÉROU;PS;6244;8093
22;4;Sandrine MADEC;FN;5800;4224
22;4;Yannick KERLOGOT;EM;15171;15412
22;4;Cinderella BERNARD;PCF;1299;4639
22;5;Eric ROBERT;PS;6901;5122
22;5;Jean-Yves DE CHAISEMARTIN;LR;1333;9470
22;5;Benoît DUMONT;PCF;1599;1325
22;5;Marie-Amélie TROADEC;LFI;7277;7977
22;5;Eric BOTHOREL;EM;31364;24257
22;5;Annick LEBIEZ;FN;6483;4710
23;1;Michel VERGNIER;PS;5516;7715
23;1;Jean-Baptiste MOREAU;EM;15024;16500
23;1;Claude GUERRIER;PCF;1257;1406
23;1;Martial MAUME;FN;7582;5225
23;1;Damien DEMARIGNY;LR;1235;716
23;1;Jérémie SAUTY;LR;7840;8818
23;1;Pierrette BIDON;EELV;927;1172
23;1;Laurence PACHE;LFI;6435;6820
24;1;Philippe CHASSAING;EM;12595;13785
24;1;Marie Catherine HALLIDAY;FN;6660;5491
24;1;Michel MOYRAND;PS;3642;4295
24;1;Vianney LE VACON;PCF;1255;1673
24;1;Hélène REYS;LFI;7274;7129
24;1;Laurent MOSSION;LR;6755;5448
24;1;Yann LAVALOU;EELV;705;1065
24;2;Robert RICHARD;LR;1075;715
24;2;Éric VILLEMAGNE;FN;8620;29
24;2;Michel DELPON;EM;14363;14844
24;2;Chrystel BOUTILLIER;LFI;7677;4702
24;2;Brigitte ALLAIN;EELV;3530;5105
24;2;Armand ZACCARON;PCF;1449;3142
24;2;Gaëlle BLANC LAJONIE;LR;6019;5922
24;3;Jean-Pierre CUBERTAFON;EM;10763;11899
24;3;Michel BERGOUGNOUX;FN;6783;4298
24;3;Jean Paul SALON;PCF;984;1339
24;3;Patrick VOLKER;LR;891;644
24;3;Philippe GUILLERME;LFI;6307;5340
24;3;Isabelle HYVOZ;LR;5243;5881
24;3;Colette LANGLADE;PS;5108;8950
24;4;Émilie CHALARD;LFI;6594;6388
24;4;François COQ;EELV;1069;1488
24;4;Florence JOUBERT;FN;7595;5138
24;4;Jacqueline DUBOIS;EM;13329;14955
24;4;Joëlle MONTUPET;PCF;1366;1605
24;4;Edwige GORISSE;LR;857;0
24;4;Jérôme PEYRAT;LR;10009;5743
24;4;Benjamin DELRIEUX;PS;3952;5104
25;1;Alain ROBERT;EELV;1480;399
25;1;Françoise BRANGET;LR;4674;5170
25;1;Anna ROMANO;FN;5398;4564
25;1;Barbara ROMAGNAN;PS;4307;5854
25;1;Fannette CHARVIER;EM;10009;10902
25;1;Habiba DELACOUR;LFI;5551;4238
25;2;Eric ALAUZET;EELV;2183;16894
25;2;Ludovic FAGAUT;LR;11356;8353
25;2;Jean-Claude CHOMETTE;LR;916;653
25;2;Claire ARNOUX;LFI;4837;4950
25;2;Christophe LIME;PCF;1167;2725
25;2;Julien ACARD;FN;6178;4509
25;3;Frédéric CARTIER;LR;5871;7950
25;3;Odile JOANNÈS;EELV;844;848
25;3;Loup VIALLET;FN;7559;6350
25;3;Sidonie MARCHAL;PS;2673;1899
25;3;Christophe ESPOLIO;LFI;3896;2900
25;3;Denis SOMMER;EM;8625;10737
25;4;Valère NEDEY;LR;4583;5325
25;4;Nadia BARZNICA;LFI;3971;3287
25;4;Frédéric BARBIER;EM;14093;11524
25;4;Anna MAILLARD;EELV;996;1141
25;4;Sophie MONTEL;FN;19355;7409
25;4;Corinne RIQUET;PCF;1105;528
25;4;Christine BESANÇON;LR;795;742
25;5;Evelyne TERNANT;PCF;1065;580
25;5;Jérémy NAVION;FN;7629;4401
25;5;Sylvie LE HIR;EM;11610;13728
25;5;Martine LUDI;LFI;3739;3632
25;5;Anthony POULIN;EELV;1165;1632
25;5;Annie GENEVARD;LR;12000;15968
26;1;Karine MESSINA-DAUTRY;LFI;5842;4128
26;1;Mireille CLAPOT;EM;11477;10170
26;1;Annie ROCHE;EELV;771;1691
26;1;Bernard SIRONNEAU;FN;6294;4216
26;1;Dominique LORMIER;PCF;967;396
26;1;Pascale AUDIN;LR;900;477
26;1;Bertrand RACT-MADOUX;LR;6707;6559
26;1;Pierre-Jean VEYRET;PS;3639;3735
26;2;Pierre TRAPIER;PCF;1095;1967
26;2;Laure PELLIER;FN;11427;8345
26;2;Christian CARACCHINI;LR;1403;655
26;2;Alice THOUROT;EM;12411;15119
26;2;Franck REYNIER;LR;1265;6564
26;2;Isabelle MALRIC;PS;3045;1307
26;2;Danielle PERSICO;EELV;771;1058
26;2;Rachel MAHÉ;LFI;6994;4442
26;3;Chantal BÉLÉZY;PCF;1599;773
26;3;Paul BERARD;LR;9591;11287
26;3;Martine MORVAN;EELV;1175;2280
26;3;Norbert AGUERA;LR;1388;742
26;3;Didier THEVENIEAU;LFI;9962;9725
26;3;Rachel REYGNIER;FN;11074;7686
26;3;Pascale ROCHAS;PS;5464;4446
26;3;Célia DE LAVERGNE;EM;15643;19158
26;4;Jean-Marc DURAND;PCF;1180;845
26;4;Latifa CHAY;EM;13036;10345
26;4;Dominique REYNAUD;EELV;884;2094
26;4;Emmanuelle ANTHOINE;LR;8945;9779
26;4;Bruno DERLY;FN;10404;8007
26;4;Pierre JOUVET;PS;3944;7980
26;4;Emma OULD AOUDIA;LFI;6803;4922
27;1;Maryata KONTÉ;PCF;1308;566
27;1;Coumba DIOUKHANÉ;LR;6577;2489
27;1;Fataumata NIAKATE;LR;1167;405
27;1;Laetitia SANCHEZ;EELV;1002;1992
27;1;Bruno LE MAIRE;EM;21466;17967
27;1;Fabienne DELACOUR;FN;10395;8927
27;2;Emmanuel CAMOIN;FN;10006;7563
27;2;Valéry BEURIOT;PCF;1802;2725
27;2;Fabien GOUTTEFARDE;EM;13405;13516
27;2;Nathalie PACOURET;LFI;6639;4125
27;2;Jean-Paul LEGENDRE;LR;6897;5256
27;3;Marie-Claire HAKI;PS;3397;2262
27;3;Timothée HOUSSIN;FN;11292;9131
27;3;Pierre BIBET;LR;854;6879
27;3;Gwenhaël LAVERGNE;LFI;6664;5173
27;4;Arnaud LEVITRE;LFI;8477;6113
27;4;Carole DEBOOS;LR;1306;918
27;4;Bruno QUESTEL;EM;14712;14238
27;4;Alexis FRAISSE;EELV;1629;1842
27;4;Richard JACQUET;PS;4217;2993
27;4;François-Xavier PRIOLLAUD;LR;857;5943
27;4;Doris PERREAUX;FN;11072;9219
27;5;Pierre ZIMMERMANN;LFI;6544;4414
27;5;Joëlle FONTAINE;EELV;549;882
27;5;Liliane BERNINI;PCF;938;709
27;5;Alexandre RASSAËRT;LR;7580;8289
27;5;Michael BARTON;LR;1375;853
27;5;Claire O'PETIT;EM;10520;11965
27;5;Martine SEGUELA;PS;2647;3197
27;5;Vincent TAILLIEU;FN;12333;9039
28;1;Hugues VILLEMADE;PCF;1026;896
28;1;Guillaume KASBARIAN;EM;16838;16577
28;1;Franck MASSELUS;LR;10245;9892
28;1;Sylvie ROUXEL;FN;8109;5688
28;1;Julien MORAINNES;LFI;5787;4608
28;1;Stéphane CORDIER;PS;4210;2921
28;1;Pierre MAZAHERI;EELV;785;794
28;2;Olivier MARLEIX;LR;7891;9447
28;2;Jean-Michel DEJENNE;LFI;5882;3222
28;2;Youssef LAMRINI;EELV;1237;1049
28;2;Nadia FAVERIS;PS;3059;1206
28;2;Claire Tassadit HOUD;EM;9623;9486
28;2;Aleksandar NIKOLIC;FN;8103;5566
28;3;Françoise RÉPARAT;EELV;565;1000
28;3;Guylaine BERCHER;FN;8218;6211
28;3;Pascale CERTAIN;LFI;3759;3498
28;3;Laure DE LA RAUDIERE;LR;13991;10662
28;4;Fabien VERDIER;EM;11044;2601
28;4;Philippe VIGIER;LR;1073;15064
28;4;Nachida BARRE;EELV;787;647
28;4;Vincent COLLO;FN;8367;5814
28;4;Dominique GARCIA;PCF;827;567
28;4;Sophie SINATTI;LFI;4149;2099
29;1;Christel HÉNAFF;FN;4688;3057
29;1;Annaïg LE MEUR;EM;18360;18980
29;1;Jeannine LE DU;LR;678;550
29;1;Yvonne RAINERO;PCF;1232;590
29;1;Claire LEVRY GERARD;LR;973;5896
29;1;Jean-Pierre BIGORGNE;EELV;1606;2325
29;1;Jugdeep HARVINDER;LFI;4715;4946
29;1;Jean-Jacques URVOAS;PS;7867;9822
29;2;Pierre-Yves CADALEN;LFI;5535;5954
29;2;Jean-Charles LARSONNEUR;EM;15435;15764
29;2;Eric GUELLEC;PCF;1225;624
29;2;Patricia ADAM;PS;6721;5559
29;2;Véronique BOURBIGOT;LR;5654;4612
29;2;Karine LÉAL;FN;3898;2865
29;2;Nathalie CHALINE;EELV;1221;1203
29;3;Christine PANAGET;LFI;6673;5786
29;3;Didier LE GAC;EM;22244;21085
29;3;Yves GUEGUEN;LR;1109;1043
29;3;Jean-Paul CAM;PCF;1987;470
29;3;Guy LEAL;FN;5527;3275
29;3;Marie-Catherine MOUCHOT;LR;6309;4807
29;4;Edith ROUSSEL;FN;4135;2329
29;4;Christine PRIGENT;EELV;1130;1649
29;4;Ismaël DUPONT;PCF;1288;1254
29;4;Florian LE SAUX;LR;693;569
29;4;Sandrine LE FEUR;EM;15012;14143
29;4;Julien KERGUILLEC;LFI;6894;5970
29;4;Maël DE CALAN;LR;7683;13332
29;4;Gwenegan BUI;PS;5826;5727
29;5;Renée THOMAÏDIS;FN;7843;3464
29;5;Graziella MELCHIOR;EM;26339;18624
29;5;Chantal GUITTET;PS;7578;7795
29;5;Pascale MARCHAND;LFI;5010;5382
29;5;Jean-Paul BARRÉ;LR;1174;671
29;5;Pierre-Yves LIZIAR;PCF;1303;583
29;6;Maxime PAUL;PCF;1963;711
29;6;Jean-Michel LUCAS;LFI;8911;5855
29;6;Gaëlle NICOLAS;LR;6031;9193
29;6;Richard FERRAND;EM;31080;17230
29;6;Nathanaël LEGEARD;EELV;2503;4360
29;6;Sophie ROSSIGNEUX;LR;908;584
29;6;Patrick LE FUR;FN;5937;3523
29;7;Christophe ROUMIER;LR;974;1977
29;7;Roland JAOUEN;LFI;6534;6491
29;7;Liliane TANGUY;EM;15265;16894
29;7;Florence CROM;PS;5358;4043
29;7;Agnès BELBÉOC'H;FN;4285;2963
29;7;Jean CATHALA;EELV;2202;1870
29;7;Didier GUILLON;LR;6065;7536
29;8;Michael QUERNEZ;PS;5554;8417
29;8;Laëtitia BOIDIN;LR;6512;4564
29;8;Emmanuel MAGNAN;LFI;6756;6001
29;8;Marie-Andrée JÉRÔME-CLOVIS;EELV;1079;1842
29;8;Jacques RANNOU;PCF;1367;1417
29;8;Erwan BALANANT;EM;17191;15458
29;8;Mikaël CARÉO;FN;6232;4481
29;8;Joseph PICHON;LR;992;600
30;1;Yoann GILLET;FN;12108;10423
30;1;Thierry PROCIDA;LR;909;5462
30;1;Yannick BATTEFORT;LFI;7622;3688
30;1;Dominique ANDRIEU BONNET;EELV;1106;1135
30;1;Françoise DUMAS;EM;16976;10549
30;1;Pascaline FOSTYK;LR;902;647
30;1;Sylvette FAYET;PCF;1105;2050
30;2;Gilbert COLLARD;FN;30820;13991
30;2;Danielle FLOUTIER;LFI;7749;5665
30;2;Geneviève BOURRELY;LR;1080;502
30;2;Béatrice LECCIA;EELV;1878;1296
30;2;Pascale MOURRUT;LR;6381;6165
30;3;Jean ISNARD;LR;1529;513
30;3;Léa COMUSHIAN;PCF;1173;833
30;3;Muriel DHERBECOURT;LR;6917;5315
30;3;Marie-Pierre MERCIER;EELV;1159;1601
30;3;Monique TEZENAS DU MONTCEL;FN;12747;10001
30;3;Anthony CELLIER;EM;15001;14832
30;3;Geneviève SABATHÉ;LFI;7666;5084
30;4;Brigitte ROULLAUD;FN;13196;9364
30;4;Valérie MEUNIER;LR;6998;4991
30;4;Dirk OFFRINGA;EELV;876;667
30;4;Claude CERPEDES;PCF;978;3007
30;4;Lucie ROUSSELOU;LFI;7674;5427
30;4;Fabrice VERDIER;PS;4630;7211
30;4;Annie CHAPELIER;EM;10363;10661
30;5;Daniela DE VIDO;FN;11970;9057
30;5;André BANIOL;LR;1214;778
30;5;Jean-Michel SUAU;PCF;1180;4516
30;5;Léa BOYER;LR;5246;4968
30;5;Benjamin DECEUNINCK;EELV;1141;2005
30;5;Nelly FRONTANAU;PS;4398;2743
30;5;Guillaume ROIRON;LFI;12486;6204
30;5;Olivier GAILLARD;EM;19629;15620
30;6;Karine VOINCHET;LFI;6987;4910
30;6;Laurence GARDET;FN;10025;8040
30;6;Philippe BERTA;EM;12158;12397
30;6;Jacques ARMANDO;LR;1070;666
30;6;Philippe GASSER;PCF;1069;1275
30;6;Richard FLANDIN;LR;7375;4890
30;6;Sibylle JANNEKEYN;EELV;1066;823
31;1;Quentin LAMOTTE;FN;4011;3174
31;1;Pierre LACAZE;PCF;1482;958
31;1;Pierre CABARE;EM;17466;13769
31;1;Catherine LEMORTON;PS;5652;6109
31;1;Xavier BIGOT;EELV;1503;2487
31;1;François CHOLLET;LR;6740;5311
31;1;Claire DUJARDIN;LFI;8339;7493
31;2;Yves RIBES;LR;972;362
31;2;Serge NICOLO;PCF;1724;1087
31;2;Gérard BAPT;PS;6216;7352
31;2;Christine GENNARO-SAINT;LR;7288;5786
31;2;Salah AMOKRANE;EELV;1692;3072
31;2;Jean-Luc LAGLEIZE;EM;20448;19234
31;2;Nadine ALEX;FN;6204;5095
31;3;Corinne VIGNON;EM;17069;17150
31;3;Sonia DECAMPS;FN;3732;2859
31;3;Martine CROQUETTE;PCF;1076;952
31;3;Gilles NAUDY;LFI;6876;5377
31;3;Isabelle HARDY;PS;3489;3716
31;4;Liem HOANG NGOC;LFI;8053;6832
31;4;Maïthé CARSALADE;FN;2564;2189
31;4;Martine MARTINEL;PS;4728;3297
31;4;Elisabeth MATAK;EELV;965;2144
31;4;Luc RIPOLL;PCF;1376;529
31;4;Mickaël NOGAL;EM;13192;11722
31;4;Bertrand SERP;LR;5125;4310
31;5;Clémentine RENAUD;EELV;1071;1561
31;5;Jean-Marc DUMOULIN;LR;979;5526
31;5;Sylvie ESPAGNOLLE-LABRUNE;LFI;8558;7134
31;5;Julien LEONARDELLI;FN;10202;8229
31;5;Sandrine FLOUREUSSES;PS;5071;5454
31;5;Jean-François PORTARRIEU;EM;19102;18588
31;5;Monique MARCONIS;PCF;1387;805
31;6;Stéphane RENAUX;EELV;1905;2243
31;6;Damien LABORDE;LR;8885;6165
31;6;Michèle PELLIZZON;FN;8543;6301
31;6;Daniel FOURMY;PCF;1662;796
31;6;Laurent CASBAS;LR;1362;772
31;6;Patrick JIMENA;LFI;10354;9316
31;6;Camille POUPONNEAU;PS;6427;7221
31;6;Monique IBORRA;EM;31678;23271
31;7;Marie-Caroline TEMPESTA;PS;5361;4852
31;7;Christophe BEX;LFI;9618;7525
31;7;Marie DOMBES;FN;10368;8320
31;7;Damien JEANNE;LR;1323;819
31;7;Elisabeth TOUTUT-PICARD;EM;16956;18664
31;7;Catherine RENAUX;EELV;1195;2415
31;7;Danielle TENSA;PCF;1469;1131
31;7;Françoise BORRET;LR;6646;4257
31;8;Corinne MARQUERIE;PCF;1260;1346
31;8;Joël AVIRAGNET;PS;3307;7739
31;8;Laure GONZALEZ;LR;742;616
31;8;Michel MONTSARRAT;EM;14030;14541
31;8;Philippe GIMENEZ;LFI;7837;6142
31;8;Sophie HANDSCHUTTER;EELV;841;1220
31;8;Marie-Christine PAROLIN;FN;8496;6630
31;9;Manuel BOMPARD;LFI;7909;7282
31;9;Simone PAUZIN-FOURNIÉ;LR;5010;3439
31;9;Véronique BLANSTIER;PCF;1360;706
31;9;Eloïse TERIITAUMIHAU;FN;5036;4097
31;9;Christophe BORGEL;PS;5311;5175
31;9;Christine ARRIGHI;EELV;1077;2186
31;9;Sandrine MÖRCH;EM;14394;14231
31;10;Monique FABRE;LFI;8123;7735
31;10;Dominique FAURE;LR;977;3959
31;10;Jean-Pierre MAYER;LR;1196;1
31;10;Kader ARIF;PS;6340;4355
31;10;Sébastien NADOT;EM;21621;21886
31;10;Henri AREVALO;EELV;1751;2600
31;10;Mathieu LACHURIES;FN;6878;4866
31;10;Christian PICQUET;PCF;1421;896
31;10;Arnaud LAFON;LR;7819;6043
32;1;Francis DUPOUEY;PS;3007;7076
32;1;Sylviane BAUDOIS;EELV;952;1675
32;1;Vivien PEREZ;LR;858;165
32;1;Jean-René CAZENEUVE;EM;14769;13749
32;1;Pascal PÉNÉTRO;LFI;6666;5186
32;1;Christophe TERRAIN;LR;844;6437
32;1;Annabelle SKOWRONEK;PCF;992;806
32;1;Nathalie PIERREISNARD;FN;5837;4488
32;2;Christopher SOCCIO;EM;11423;9584
32;2;Jean-Paul DUGOUJON;EELV;852;1139
32;2;Myriam RIMBERT;LFI;4400;3830
32;2;Bruno GABRIEL;PCF;847;980
32;2;Gisèle BIÉMOURET;PS;3523;7057
32;2;Barbara NETO;LR;5685;3998
32;2;Thomas GUASCH;FN;6255;4759
32;2;Bruno DIENOT;LR;1067;260
33;1;Dominique DAVID;EM;18416;21173
33;1;Nicolas FLORIAN;LR;9566;9670
33;1;Sophie BARAKAT;LR;665;390
33;1;Evelyne CERVANTES-DESCUBES;LFI;6262;5261
33;1;Nelson PALIS-NIERMANN;EELV;1195;1873
33;1;Vincent MAURIN;PCF;1349;889
33;1;Philippe DORTHE;PS;5361;3437
33;1;Philippe DUBOIS;FN;4225;2786
33;2;Michèle DELAUNAY;PS;4957;3569
33;2;Christophe BUGEAU;LR;340;248
33;2;Pierre HURMIC;EELV;1078;2684
33;2;Julie RECHAGNEUX;FN;1790;1254
33;2;Catherine FABRE;EM;12899;13284
33;2;Aude DARCHY;LFI;5663;4436
33;2;Anne WALRYCK;LR;5244;5274
33;2;Servane CRUSSIÈRE;PCF;1197;635
33;3;Cécile TEULON;EELV;1234;248
33;3;Bruno PALUTEAU;FN;3814;2686
33;3;Loïc PRUD'HOMME;LFI;8692;7451
33;3;Dominique DUFOUR;LR;629;411
33;3;Alexandre GOURD;LR;4718;3323
33;3;Isabelle TARIS;PCF;1760;1077
33;3;Marik FETOUH;EM;16826;13232
33;4;Alain DAVID;PS;4931;6857
33;4;Laure DESVALOIS;EELV;1214;1791
33;4;Martine HOSTIER;LR;888;672
33;4;Serge HADON;FN;7419;5506
33;4;Berivan BAL;PCF;1551;936
33;4;Maud BESSON;LFI;8527;6103
33;4;Aziz S'KALLI-BOUAZIZA;EM;16715;13276
33;4;Hubert LAPORTE;LR;710;5506
33;5;Florence LEGRAND;LR;7802;5242
33;5;Sonia COLEMYN;LR;1342;1302
33;5;Pascale GOT;PS;5892;10220
33;5;Martine CALVO;LFI;8290;6229
33;5;Stéphane SAUBUSSE;EELV;1184;1862
33;5;Grégoire DE FOURNAS;FN;11566;8794
33;5;Benoit SIMIAN;EM;20272;18399
33;5;Stéphane LE BOT;PCF;1755;921
33;6;Marie-Mauricette MARTINEZ;FN;6205;4481
33;6;Ludovic GUITTON;EELV;1481;1915
33;6;Rémi COCUELLE;LR;1052;5799
33;6;Pierre CAZENAVE;PCF;1489;668
33;6;Marie RÉCALDE;PS;6389;7502
33;6;Eric POULLIAT;EM;24714;23543
33;6;Sandrine PENY;LR;1047;418
33;6;Marie DURET-PUJOL;LFI;8490;7260
33;7;Johanne SEBAUX;LFI;6822;5576
33;7;Marlène MIGNON;FN;4149;2818
33;7;Bérangère COUILLARD;EM;15221;16032
33;7;Brigitte RYCKWAERT-ROUMÉGOUS;LR;717;470
33;7;Karine ROUX-LABAT;LR;5581;5094
33;7;Jean-Yves GRANDIDIER;EELV;1027;2039
33;7;Bernard GARRIGOU;PS;3800;6197
33;7;Didier SARRAT;PCF;1196;598
33;8;Sophie PANONACLE;EM;17441;22337
33;8;Cécile COTI;LFI;6787;5692
33;8;Laurent LAMARA;FN;9197;5841
33;8;Yves FOULON;LR;15749;13271
33;8;Sophie LE PAGE;LR;1318;1047
33;8;Pierre PRADAYROL;PS;4553;2879
33;8;Danielle TRANNOY;PCF;1192;428
33;8;Nicolas DUBOT;EELV;1074;1983
33;9;Sophie RIVIÈRE DURIVAULT;FN;9313;5938
33;9;Michel DUFRANC;LR;7629;6201
33;9;Dominique BAUDE;EELV;1012;2130
33;9;Gilles SAVARY;PS;5516;8289
33;9;Sophie METTE;EM;14185;14888
33;9;François PAPIAU;LFI;8980;6844
33;9;Cristine GUERNÉ;PCF;1647;977
33;10;Charles POUVREAU;LR;834;1366
33;10;Agnès SÉJOURNET;EELV;1543;1576
33;10;Jean-Paul GARRAUD;LR;6248;6323
33;10;Julien DELAMORTE;LR;1075;473
33;10;Florent BOUDIÉ;EM;19980;16408
33;10;Antoine GARANTO;PS;3685;2014
33;10;Eloïse BAJOU;LFI;6778;5370
33;10;Sandrine CHADOURNE;FN;9153;6474
33;11;Michelle LACOSTE;PS;4035;3179
33;11;Georges GIACOMOTTO;LR;1334;573
33;11;Mireille CONTE JAUBERT;LR;5844;2924
33;11;Sébastien LABORDE;PCF;1270;1021
33;11;Véronique HAMMERER;EM;11681;12024
33;11;Edwige DIAZ;FN;12060;10230
33;12;Patrick DUVAL-CAMPANA;FN;7730;5868
33;12;Anne-Laure FABRE-NADLER;EELV;1754;3016
33;12;Christelle DUBOS;EM;12966;16426
33;12;Alexis FEBBRARI;LR;917;682
33;12;Christophe MIQUEU;LFI;8426;7191
33;12;Catherine VEYSSY;PS;4319;2983
33;12;Yves D'AMÉCOURT;LR;5833;6449
34;1;Fabienne ALBARRAN;LR;764;614
34;1;Julien COLET;LFI;12638;6163
34;1;France JAMET;FN;9072;6644
34;1;Patricia MIRALLÈS;EM;11997;13481
34;1;Joseph FRANCIS;LR;975;3836
34;1;Jean-Louis ROUMEGAS;EELV;6255;4228
34;2;Coralie MANTION;EELV;759;1339
34;2;Stéphanie JANNIN;EM;8349;7375
34;2;Claudia DECHASSAT;LR;285;228
34;2;Fatima BELLAREDJ;PS;3694;1784
34;2;Muriel RESSIGUIER;LFI;6955;5886
34;2;Pierre ALIOTTI;FN;3202;2100
34;2;Isabel CABECA;PCF;883;278
34;2;Nancy CANAUD;LR;3294;2931
34;3;Logan GIRARD;PCF;934;539
34;3;Stéphane VIDAL;LFI;9516;6386
34;3;Coralie DUBOST;EM;13478;16174
34;3;Catherine DARDÉ;LR;6902;3703
34;3;Laurent HOARAU;EELV;1263;6
34;3;Joëlle COMTE;LR;864;480
34;3;Fanny DOMBRE COSTE;PS;4976;5007
34;4;François GAUBERT;FN;14496;9402
34;4;Jean-François ELIAOU;EM;15729;16694
34;4;Gilles PHOCAS;LR;1583;1737
34;4;Laurence CRISTOL;LR;8149;6199
34;4;Laurent DUPONT;EELV;1452;2964
34;4;Etienne HAYEM;LFI;12988;8500
34;4;Florian VIRE;PCF;1339;967
34;4;Frédéric ROIG;PS;6304;4556
34;5;Marie PASSIEUX;PS;4096;5988
34;5;Pierre POLARD;LFI;11479;7759
34;5;William ROUANET;EELV;1193;1041
34;5;Gilles ARDINAT;FN;14846;10160
34;5;Michel CAPRON;PCF;1057;1263
34;5;Philippe HUPPÉ;EM;12632;13142
34;5;Catherine ROUILLÉ;LR;7188;4837
34;6;Antonio FULLEDA;PS;3251;1998
34;6;Isabelle VOYER;EM;9525;10515
34;6;Elie ABOUD;LR;9546;7777
34;6;Nicolas COSSANGE;PCF;815;1377
34;6;David GARCIA;LFI;8867;4212
34;6;Jeannick ROLLAND;EELV;507;266
34;6;Emmanuelle MÉNARD;FN;14550;15061
34;7;Jean-Luc BOU;PCF;955;2388
34;7;Sébastien DENAJA;PS;5999;6029
34;7;Christophe EUZET;EM;13273;12120
34;7;Laurence MAGNE;LR;7158;7123
34;7;Marie-Hélène LECLERCQ;LFI;6929;5195
34;7;Virginie ANGEVIN;LR;1134;599
34;7;Myriam ROQUES;FN;15691;11483
34;8;Arnaud JULIEN;LR;8039;4051
34;8;Christian ASSAF;PS;4924;4235
34;8;Gérard PRATO;FN;12103;8758
34;8;Sabria BOUALLAGA;EELV;776;879
34;8;Michel COLAS;LR;1119;543
34;8;Marielle FENECH- MONFORT;LFI;7832;7166
34;8;Max SAVY;PCF;987;835
34;8;Nicolas DÉMOULIN;EM;12916;12954
34;9;Bertrand COISNE;EELV;1636;2674
34;9;Guillaume VOUZELLAUD;FN;10944;7749
34;9;Imane DIANI;LFI;7784;5723
34;9;Myriam HAMMOUD;PCF;1173;547
34;9;Joëlle JENIN-VIGNAUD;LR;5542;4747
34;9;Frederic DUMAY;LR;993;679
34;9;Patrick VIGNAL;EM;19520;15033
35;1;Mostapha LAABID;EM;20374;16583
35;1;Patrick BERGOGNÉ;LFI;7481;6207
35;1;Marie-Anne CHAPDELAINE;PS;7249;6854
35;1;Michel DEMOLDER;PCF;1581;771
35;1;Didier CHAPELLON;EELV;2228;2752
35;1;Grégoire LE BLOND;LR;1172;7494
35;1;Emeric SALMON;FN;4361;2892
35;2;Julien MASSON;FN;3790;2658
35;2;Bertrand PLOUVIER;LR;9903;6472
35;2;Louis FRICKER;LFI;5929;6183
35;2;Evelyne FORCIOLI;PCF;1500;686
35;2;Laurence MAILLART-MÉHAIGNERIE;EM;23419;24727
35;2;Gaëlle ANDRO;PS;7209;6173
35;3;Justine DIEULAFAIT;FN;5537;4605
35;3;Virginie ABAUTRET;LFI;5935;6102
