Dept_circo;Nom;Prenom;nuance;voix;%Voix/inscrit;%Voix/exprimes;Acces
77_4;FIRMIN;CÃ‰LIA;SOC;13875;16,30;28,14;O
77_5;PATRON;JACKY;ECO;395;0,50;0,90;N
77_6;DUBOIS;CÃ‰CILE;ECO;407;0,55;0,94;N
77_7;TORTRAT;NATHALIE;ECO;450;0,55;1,00;N
77_8;NOUVION;JULIE;ECO;1385;1,68;3,15;N
77_9;DE LA FUENTE;ROSE;ECO;1242;1,51;2,83;N
77_10;LECLERC;ALAIN;ECO;1172;1,50;2,94;N
77_11;RUBY;SERGE;ECO;213;0,34;0,68;N
78_1;MANCEAU;JEAN-LUC;ECO;1851;2,27;3,76;N
78_2;BOUCHET;BRIGITTE;ECO;1949;2,34;3,77;N
78_3;ROCHON;ANNE-MARIE;ECO;1272;1,56;2,61;N
78_4;DUBUIS;DAVID;ECO;356;0,46;0,78;N
78_5;MARS;JEAN-PHILIPPE;ECO;406;0,56;0,99;N
78_6;PEIGER;KARINE;ECO;1492;2,01;3,64;N
78_7;CALLONNEC;GAÃ‹L;ECO;2831;3,61;6,45;N
78_8;DESCAMPS-CROSNIER;FRANÃ‡OISE;SOC;13395;18,84;35,78;O
78_9;TETART;JEAN-MARIE;UMP;17502;19,60;36,06;O
78_10;LHEMERY;MICHEL;MODEM;1594;1,84;3,01;N
78_11;BIZET;JÃ‰RÃ‰MY;ECO;329;0,50;0,89;N
78_12;BERNARD;FRÃ‰DÃ‰RIK;SOC;13240;19,94;33,98;O
79_1;MIGNARD;MICHEL;ECO;464;0,52;0,92;N
79_2;PAILLAUD;GENEVIÃˆVE;ECO;1718;1,77;3,02;N
79_3;POUCLET;CYRIL;ECO;1091;1,28;2,18;N
80_1;HAÃCHEUR;LYACOUT;ECO;809;0,95;1,73;N
80_2;POMPILI;BARBARA;ECO;14365;19,14;34,05;O
80_3;BUISINE;JEAN-CLAUDE;SOC;16753;19,78;31,14;O
80_4;LORIC;JEAN-CHRISTOPHE;MODEM;3226;3,90;6,31;N
80_5;DEMILLY;STÃ‰PHANE;NouvC;22744;27,74;44,71;O
81_1;COULIOU;BENOIST;ECO;1767;2,13;3,32;N
81_2;VALAX;JACQUES;SOC;29407;28,71;46,47;O
81_3;GOURJADE;LINDA;SOC;15353;15,59;24,15;O
82_1;BOYER;JEAN-JACQUES;ECO;1512;1,76;2,80;N
82_2;SIMONET;JOÃ‹LLE;ECO;1909;2,14;3,51;N
83_1;ALFONSI;ROBERT;SOC;11094;15,07;27,75;O
83_2;LESAGE;OLIVIER;ECO;999;1,14;2,08;N
83_3;GUILMOTO;FRANÃ‡OISE;ECO;893;0,91;1,59;N
83_4;THOMAS;CHANTAL;ECO;755;0,76;1,34;N
83_5;BA;MOUSSA;ECO;373;0,41;0,72;N
83_6;VAN HOOREBEKE;DELPHINE;ECO;12990;12,01;20,65;N
83_7;CANTINOL;MICHEL;ECO;627;0,62;1,12;N
83_8;RÃ‰TALI;MARYSE;ECO;656;0,66;1,11;N
84_1;FOURNIER-ARMAND;MICHÃˆLE;SOC;11107;15,32;27,45;O
84_2;VIAC;MARIE-ODILE;ECO;427;0,53;0,87;N
84_3;HOFMANN;BERNARD;MODEM;712;1,00;1,63;N
84_4;TRITTO;SYLVIE;MODEM;724;0,84;1,39;N
84_5;CARVOU;BETTY;ECO;804;1,02;1,71;N
85_1;VALIN;ANNE;ECO;1903;1,86;3,23;N
85_2;BRIZAR LE BORGNE;MARIE-YANNICK;ECO;1488;1,52;2,53;N
85_3;GOICHON;CLAUDINE;ECO;7870;6,91;11,76;N
85_4;DENIS;YANN;ECO;422;0,45;0,76;N
85_5;MOINARD;BÃ‰ATRICE;MODEM-;1305;1,62;2,67;N
86_1;CLAEYS;ALAIN;SOC;20878;27,03;48,44;O
86_2;JOUBERT;MARIE-MADELEINE;ECO;1674;2,21;3,80;N
86_3;CHERON;MICHEL;ECO;1300;1,74;2,98;N
86_4;MASSONNEAU;VÃ‰RONIQUE;ECO;8404;11,07;19,98;O
87_1;RANC;JEAN-LOUIS;ECO;515;0,61;1,03;N
87_2;LECHEVALLIER;CHRISTOPHE;MODEM;1701;1,76;2,83;N
87_3;JEANNOT-PAGÃˆS;GHISLAINE;ECO;1187;1,42;2,33;N
88_1;BILOT;GILLES;ECO;6024;7,86;13,68;N
88_2;NIEZGODA;FABIEN;ECO;871;1,17;1,98;N
88_3;SCHAFF;CLAIRE;ECO;697;1,04;1,73;N
88_4;FRANQUEVILLE;CHRISTIAN;SOC;15311;22,55;36,99;O
89_1;NAVARRE;MAUD;ECO;2078;2,65;4,47;N
89_2;GUÃ‰RET;THOMAS;ECO;1293;1,66;2,80;N
89_3;SORET;NICOLAS;SOC;14393;16,14;28,05;O
90_1;PEDROCCHI;EVA;ECO;936;1,98;3,33;N
90_2;BUTZBACH;ETIENNE;DVG;8403;17,59;29,99;O
91_1;VALLS;MANUEL;SOC;16559;23,55;48,60;O
91_2;PERIE;BÃ‰ATRICE;SOC;14780;16,92;28,91;O
91_3;POUZOL;MICHEL;SOC;17325;18,80;32,18;O
91_4;BOURICHI;MOHAMED;DVG;296;0,32;0,52;N
91_5;OLIVIER;MAUD;SOC;15637;23,45;37,32;O
91_6;HORSFALL;DAWARI;DVG;680;0,89;1,53;N
91_7;SAS;EVA;ECO;8868;12,36;22,34;O
91_8;BRISTOT;AUDE;SOC;13331;17,69;30,20;O
91_9;LEBRUN;MARIE-CECILE;ECO;1457;1,91;3,39;N
91_10;SOUBRA;CHRISTIAN;ECO;1102;1,82;3,49;N
92_1;MUZEAU;ROLAND;FDG;8447;14,20;29,76;N
92_2;GUILLARD;LAURENT;ECO;1531;2,41;4,08;N
92_3;GOURDOL;AIMÃ‰E;DVG;382;0,50;0,85;N
92_4;FRAYSSE;JACQUELINE;FDG;11491;16,22;29,90;O
92_5;CATOIRE;GILLES;SOC;12570;18,26;31,33;O
92_6;PRUVOST;EMMANUEL;ECO;730;0,99;1,69;N
92_7;HOSTEINS;OLIVIER;MODEM;2039;2,43;4,04;N
92_8;CANDELIER;CATHERINE;ECO;1770;2,64;4,30;N
92_9;BOUCHET;CHRISTIAN;PRG;162;0,27;0,45;N
92_10;SCHMID;LUCILE;ECO;10288;14,34;23,71;O
92_11;AMIABLE;MARIE-HÃ‰LÃˆNE;FDG;11399;16,92;29,20;N
92_12;CHIVILO;ISABELLE;ECO;571;0,64;1,03;N
92_13;CADORET;MANNONE;DVG;410;0,47;0,76;N
93_1;KEITA;MAMADOU;ECO;1187;2,15;4,72;N
93_2;MARGUERITE-BARBEITO;FRANÃ‡OISE;DVG;141;0,27;0,64;N
93_3;PAJON;MICHEL;SOC;16245;22,97;44,19;O
93_4;AMZAL;NAJIA;SOC;7914;13,15;30,49;N
93_5;MATHIEU;MICHEL;DVG;879;1,41;2,97;N
93_6;GUIGOU;ELISABETH;SOC;10390;20,79;46,12;O
93_7;HAMMADI;RAZZY;SOC;13001;18,34;36,71;O
93_8;BERTHOU;AURELIEN;ECO;851;1,42;2,61;N
93_9;STOEBER;PIERRE;ECO;1743;2,62;5,35;N
93_10;GOLDBERG;DANIEL;SOC;12659;18,87;39,23;O
93_11;KPODE;DANIEL;DVG;113;0,18;0,38;N
93_12;POPELIN;PASCAL;SOC;12387;19,22;37,22;O
94_1;MELLOULI;AKLI;SOC;13400;16,20;27,86;O
94_2;CATHALA;LAURENT;SOC;15228;23,39;47,86;O
94_3;SCHWARTZENBERG;ROGER-GÃ‰RARD;PRG;10472;14,79;28,11;O
94_4;ANSAY;MICHÃˆLE;ECO;409;0,57;1,01;N
94_5;BADEL;MARC;DVG;569;0,66;1,21;N
94_6;DORNBUSCH;DAVID;DVG;4338;5,56;9,46;N
94_7;BRIDEY;JEAN-JACQUES;SOC;13101;20,58;36,14;O
94_8;RIEDACKER;ARTHUR;DVG;201;0,27;0,46;N
94_9;ROUQUET;RENÃ‰;SOC;12065;22,63;46,40;O
94_10;LAURENT;JEAN-LUC;DVG;10810;17,08;33,33;O
94_11;METAIRIE;CHRISTIAN;ECO;1642;2,74;5,25;N
95_1;LAPEYRE;ALBERT;ECO;704;0,89;1,54;N
95_2;VUILLETET;GUILLAUME;ECO;15209;20,70;36,21;O
95_3;BOSCAVERT;MAURICE;DVG;3124;3,55;6,46;N
95_4;DUPLAÃ€;JEAN-MARIE;DVG;373;0,51;0,91;N
95_5;BOUMEDIENE-THIERY;ALIMA;DVG;184;0,27;0,54;N
95_6;DELCOMBRE;FRANÃ‡OIS;ECO;1155;1,55;2,84;N
95_7;DEMORTIER;ANNE-MARIE;ECO;337;0,50;0,94;N
95_8;SNAOUI;BOUALEM;DVG;505;0,97;2,31;N
95_9;MERT;SEVINÃ‡;ECO;543;0,80;1,63;N
95_10;MORIN;BERNARD;ECO;2564;4,08;8,03;N
971_1;JACOBY-KOALY;FRANCILLONNE;DVG;440;0,60;2,15;N
971_2;DEHER-LESAINT;LÃ‰OPOLD-EDOUARD;ECO;2839;3,48;11,67;N
971_3;CHALUS;ARY;DVG;10382;13,49;40,81;O
971_4;HOUBLON;CHRISTINE;PRV;131;0,20;0,48;N
972_1;VERNEUIL;CHRISTIAN;DVG;804;1,05;3,50;N
972_2;CLÃ‰MENTÃ‰;LUC-LOUISON;DVG;5558;6,80;20,91;O
972_3;LETCHIMY;SERGE;DVG;11713;17,80;63,29;O
972_4;LARCHER;EUGÃˆNE;DVG;1696;2,15;6,52;N
973_1;DUBOUILLE;MICHEL;ECO;666;1,44;5,30;N
973_2;BERTRAND;LÃ‰ON;UMP;2957;9,60;30,51;O
974_1;ROBERT-MUCY;MARGARETTE;DVG;402;0,54;1,23;N
974_2;KOBÃ‰NA;GUILLAUME;DVG;85;0,10;0,22;N
974_3;DELORAS;FRANCK;ECO;402;0,48;1,01;N
974_4;HOARAU;ELIE;DVG;7365;7,76;15,47;N
974_5;CLAIN;GUYLÃˆNE;ECO;314;0,41;1,04;N
974_6;DUCHEMANN;YVETTE;ECO;847;1,25;3,07;N
974_7;ODOYEN;DANON-LUTCHMEE;ECO;1496;1,51;3,49;N
975_1;RODE;ROGER;FRN;116;2,35;4,54;N
979_1;JEFFRY;LOUIS;DVD;353;1,55;5,33;N
985_1;OMAR OILI;SAÃD;DVG;3337;9,37;21,57;O
985_2;KAMARDINE;MANSOUR;UMP;7416;17,66;34,85;O
986_1;ILALIO;ANTONIO;MODEM;858;9,55;12,37;N
987_1;DUPONT-TEIKIVAEOHO;TEAKI;PRV;1131;1,68;3,75;N
987_2;SOARES-PIRES;ANTONIO;DVD;302;0,51;1,17;N
987_3;TONG SANG;GASTON;UMP;4604;7,65;16,45;N
988_1;LAGARDE;SONIA;DVD;9405;12,30;26,76;O
988_2;DJAIWE;JEAN-PIERRE;DIV;15890;17,79;36,20;O
99_1;LEFEBVRE;FRÃ‰DÃ‰RIC;UMP;6977;4,45;22,08;O
99_2;DROUHAUD;PASCAL;UMP;2620;3,58;22,77;O
99_3;BERTIN;OLIVIER;ECO;1877;2,12;10,32;N
99_4;PAILLÃ‰;DOMINIQUE;PRV;645;0,67;2,79;N
99_5;ONSES;RICHARD;PRV;745;0,94;4,67;N
99_6;KAISER MORRIS;XIMENA;ECO;1280;1,20;5,52;N
99_7;PLUDERMACHER;BRUNO;ECO;805;0,90;3,86;N
99_8;HOFFENBERG;VALÃ‰RIE;UMP;3202;2,93;22,20;O
99_9;M'JATI;ZINE-EDDINE;ECO;637;0,66;3,76;N
99_10;BRUNEAU;LUCIEN;ECO;1388;1,52;6,61;N
99_11;MAGNE;JANNICK;ECO;1539;1,94;7,05;N
1_1;VAN DER VOSSEN;MURIEL;ECO;226;0,29;0,48;N
1_2;BEGUET;MARIE-JEANNE;MODEM;1418;1,63;2,75;N
1_3;BLANC;ETIENNE;UMP;15465;22,14;41,55;O
1_4;MAYER;LAURENCE;ECO;300;0,35;0,61;N
1_5;ROYER;PATRICK;ECO;301;0,41;0,72;N
2_1;PHILIPPOT;CAROLE;ECO;265;0,36;0,62;N
2_2;GLINATSIS;SYLVIE;ECO;225;0,31;0,50;N
2_3;MEURA;FRÃ‰DÃ‰RIC;UMP;13005;18,50;32,04;O
2_4;LEBEE;STÃ‰PHANIE;ECO;727;0,92;1,69;N
2_5;POIRET;JEAN-CLAUDE;DVD;466;0,58;0,98;N
3_1;PERISSOL;PIERRE-ANDRÃ‰;UMP;18312;20,27;33,36;O
3_2;COUVAL;MARIE;ECO;1069;1,23;2,07;N
3_3;SIRY;RENAUD;ECO;142;0,18;0,30;N
4_1;DE MEESTER;GÃ‰RARD;ECO;3014;4,98;8,11;N
4_2;GUEBLI;YAMINA;ECO;327;0,52;0,84;N
5_1;HADJI;GUY;ECO;154;0,27;0,45;N
5_2;EYMEOUD;CHANTAL;UMP;10438;20,55;33,59;O
6_1;ULLMANN;MARYSE;ECO;498;0,61;1,09;N
6_2;REYNARD;BRIGITTE;ECO;601;0,73;1,25;N
6_3;PICARD;JEAN-CHRISTOPHE;PRG;2032;2,33;4,29;N
6_4;GUIBAL;JEAN-CLAUDE;UMP;15763;18,57;32,70;O
6_5;BALLOUARD;BRIGITTE;ECO;615;0,72;1,25;N
6_6;WELDON;OONAGH;ECO;787;1,03;1,85;N
6_7;LEONETTI;JEAN;UMP;25912;28,88;51,10;N
6_8;BROCHAND;BERNARD;UMP;20350;25,25;47,78;O
6_9;TABAROT;MICHÃˆLE;UMP;20628;26,69;47,32;O
7_1;BAS;GILLES;ECO;388;0,51;0,86;N
7_2;TUSSAU;BRIGITTE;ECO;342;0,38;0,61;N
7_3;MARGOTTON;MAGALIE;ECO;2528;3,32;5,10;N
8_1;LAUBY HERBER-SUFFRIN;VIRGINIE;MODEM;773;1,05;1,85;N
8_2;PIERRARD;JEAN;ECO;158;0,24;0,45;N
8_3;WARSMANN;JEAN-LUC;UMP;18285;31,24;52,50;N
9_1;AOURA;PASCALE;ECO;1907;3,37;5,54;N
9_2;MANCEAU;LINDA;MODEM;549;0,92;1,51;N
10_1;MARZÃ‰;ELISABETH;DVD;529;0,82;1,38;N
10_2;OUADAH;KARIMA;MODEM;621;0,85;1,44;N
10_3;DEHARBE;DOMINIQUE;DVG;299;0,45;0,79;N
11_1;JOUFFROY;JEAN-MARC;ECO;158;0,17;0,28;N
11_2;CODORNIOU;DIDIER;DVG;11100;13,26;21,89;N
11_3;DHERSIN;PATRICK;ECO;212;0,24;0,38;N
12_1;FAIXA;MARIE-LINE;ECO;337;0,45;0,69;N
12_2;POURCEL;CHRISTOPHE;PRV;1654;2,34;3,66;N
12_3;DARGAGNON;PHILIPPE;ECO;483;0,67;1,04;N
13_1;KOULAYAN;EVE;ECO;157;0,21;0,37;N
13_2;SURRY;DOMINIQUE;ECO;531;0,69;1,17;N
13_3;AURIEMMA;GISÃˆLE;ECO;418;0,59;1,14;N
13_4;EL RHARBAYE;MOHAMED;DVG;604;1,03;1,98;N
13_5;BOEUF-SALOR;FRÃ‰DÃ‰RIC;PRG;0;0,00;0,00;N
13_6;SEMERIVA;PIERRE;ECO;11016;15,18;27,10;O
13_7;BONNET;PIERRE;DVG;96;0,15;0,32;N
13_8;CORTESI;CLAUDE;MODEM;1439;1,55;2,67;N
13_9;LESBROT;MICHÃˆLE;ECO;854;0,92;1,58;N
13_10;MALLIE;RICHARD;UMP;18679;18,64;31,45;O
13_11;KERT;CHRISTIAN;UMP;15696;18,39;32,59;O
13_12;RAVENET;JÃ‰RÃ”ME;ECO;439;0,49;0,88;N
13_13;COULOMB;VÃ‰RONIQUE;ECO;1062;1,17;1,99;N
13_14;MAUNIER;JOSÃ‰FA;ECO;480;0,51;0,87;N
13_15;MAURIN;DIDIER;MODEM;962;0,98;1,63;N
13_16;PIGNOLO;BERNARD;ECO;145;0,16;0,28;N
14_1;L'ORPHELIN;RUDY;ECO;2595;3,70;6,35;N
14_2;DUMONT;LAURENCE;SOC;17837;26,58;45,97;O
14_3;LETEURTRE;CLAUDE;NouvC;272;0,35;0,60;O
14_4;AMELINE;NICOLE;UMP;23194;23,73;41,04;O
14_5;ATTARD;ISABELLE;ECO;11074;12,81;21,47;O
14_6;DECKER;LAURENT;ECO;1875;2,06;3,41;N
15_1;SOULENQ-MOISSINAC;NICOLE;MODEM;786;1,22;1,97;N
15_2;TILMANT-TATISCHEFF;VLADIMIR;MODEM;570;1,01;1,62;N
16_1;VOUVET;ELISE;UMP;9964;11,82;21,69;N
16_2;SOURISSEAU;JÃ‰RÃ”ME;MODEM;3331;3,93;6,94;N
16_3;DE LUSTRAC;JEAN-MARC;UMP;12373;13,47;22,59;N
17_1;IGNACIMOUTTOU;ALAIN;DVG;18;0,02;0,03;N
17_2;DOMINGUES;VICTOR;DVG;472;0,48;0,84;N
17_3;DE CORTE;JOÃ‹LLE;ECO;373;0,46;0,80;N
17_4;BUSSEREAU;DOMINIQUE;UMP;20485;23,36;40,01;O
17_5;LEQUEUX;PASCALE;ECO;361;0,34;0,58;N
18_1;FROMION;YVES;UMP;14546;19,76;33,89;O
18_2;GUILLE;BERNADETTE;PRV;1037;1,48;2,74;N
18_3;COSYNS;LOUIS;UMP;15380;17,64;29,89;O
19_1;CRUZEL;ALAIN;ECO;338;0,36;0,52;N
19_2;DESCHAMPS;JEAN-CLAUDE;MODEM;1268;1,38;2,19;N
21_1;ESTEVE;CHRISTIANE;ECO;358;0,53;0,85;N
21_2;MULLER;PATRICK;ECO;278;0,42;0,70;N
21_3;MAURI;DOMINIQUE;ECO;355;0,51;0,90;N
21_4;ESSAYAN;ROLAND;ECO;257;0,37;0,58;N
21_5;KREMPP;EUGÃˆNE;ECO;300;0,36;0,60;N
22_1;GRONDIN;SYLVIE;UMP;13434;15,08;25,16;O
22_2;FORGET;MICHEL;ECO;2375;2,53;4,02;N
22_3;RIO;ISABELLE-ANNE;MODEM;580;0,67;1,00;N
22_4;SALLIOU;PIERRE;MODEM;4791;6,02;9,41;N
22_5;MARTIN;MARIE-PASCALE;ECO;3750;3,66;5,88;N
23_1;AÃTA;PATRICK;MODEM;1510;1,56;2,46;N
24_1;AGULLO;LIONEL;ECO;219;0,29;0,47;N
24_2;ALLAIN;BRIGITTE;ECO;8223;10,14;16,31;O
24_3;FAURE;JEAN-MICHEL;PRV;1508;2,19;3,31;N
24_4;FRESNE;EMMANUELLE;ECO;589;0,68;1,06;N
25_1;WAECHTER;CAMILLE;ECO;469;0,64;1,09;N
25_2;GONON;PHILIPPE;MODEM;830;1,09;1,78;N
25_3;ATTAL;CHANTAL;ECO;319;0,49;0,82;N
25_4;CIFTCI;ILKER;DVG;961;1,43;2,39;N
25_5;PIETOUKHOFF;JEAN-MARIE;ECO;329;0,43;0,69;N
26_1;KERDO;ROSALIE;MODEM;990;1,36;2,36;N
26_2;REYNIER;FRANCK;PRV;16753;19,08;32,38;O
26_3;VLAEMYNCK;EMÃ‰A;ECO;578;0,56;0,88;N
26_4;CHENU;CLAUDINE;ECO;592;0,66;1,10;N
27_1;LE MAIRE;BRUNO;UMP;19906;23,32;41,35;O
27_2;LESAGE;LUDOVIC;ECO;1016;1,32;2,26;N
27_3;ARMSTRONG;REBECCA;ECO;1421;1,74;2,91;N
27_4;TERLEZ;ANNE;MODEM;1292;1,49;2,63;N
27_5;BOURLET DE LA VALLEE;JÃ‰RÃ”ME;ECO;6439;7,38;12,90;N
28_1;GORGES;JEAN-PIERRE;UMP;19562;22,41;38,61;O
28_2;CHASSAING;CHRISTINE;ECO;419;0,58;1,09;N
28_3;BITTERLIN;ANNE;ECO;240;0,34;0,58;N
28_4;VIGIER;PHILIPPE;NouvC;20603;30,66;50,72;N
29_1;NICOLAS;CORINE;MODEM;1399;1,63;2,66;N
29_2;LE GOIC;JULIE;ECO;1959;2,51;4,68;N
29_3;DEVAL;MAGALI;ECO;10799;12,52;20,78;N
29_4;LE BRUN;AGNÃˆS;UMP;16830;20,49;32,59;O
29_5;LE GUEN;JACQUES;UMP;19534;21,44;35,54;O
29_6;LECLERC;JOCELYNE;ECO;2118;2,37;3,74;N
29_7;CANEVET;MICHEL;MODEM-;7589;9,50;15,06;N
29_8;DUFLEIT;ROLAND;ECO;168;0,20;0,34;N
2A_1;CRESP;JEAN-MARC;PRV;1301;2,72;4,83;N
2A_2;ANGELINI;BERNARD;FRN;3175;5,92;9,83;N
2B_1;GANDOLFI-SCHEIT;SAUVEUR;UMP;10241;18,73;31,19;O
2B_2;MASSONI;ESTELLE;FRN;3250;5,08;8,35;N
30_1;COILLET-MATILLON;LYSIANE;ECO;379;0,45;0,79;N
30_2;JOURDAN;CAROLE;ECO;167;0,20;0,32;N
30_3;ROUBAUD;JEAN-MARC;UMP;17266;19,42;31,45;O
30_4;VEILLERETTE;ODILE;ECO;641;0,73;1,17;N
30_5;DOULCIER;ERIC;ECO;4383;4,69;7,63;N
30_6;CECCCHINATO;MÃ‰LINDA;ECO;355;0,46;0,80;N
31_1;BAUD;ROBERT;ECO;138;0,18;0,32;N
31_2;ESCUDIE;JACQUELINE;ECO;540;0,57;0,99;N
31_3;CANZIAN;NICOLAS;ECO;537;0,73;1,19;N
31_4;GODEC;RÃ‰GIS;ECO;2764;4,18;7,92;N
31_5;RAYNAL;MICHEL;ECO;283;0,31;0,52;N
31_6;GUIN;FABRICE;ECO;484;0,47;0,78;N
31_7;STROBEL;ROGER;ECO;597;0,65;1,07;N
31_8;MOTSCHWILLER;NICOLAS;ECO;368;0,43;0,72;N
31_9;ARRIGHI;CHRISTINE;ECO;2651;3,47;6,24;N
31_10;RUFFAT;DANIEL;DVG;1167;1,32;1,99;N
32_1;PREVOT;ANNIE-CLAUDE;ECO;334;0,45;0,74;N
32_2;GABAS;MICHEL;PRV;5824;8,30;13,03;N
33_1;MARSAT;ALEXANDRE;ECO;2125;2,47;4,29;N
33_2;NOEL;MARIE-CLAUDE;ECO;2206;3,55;6,24;N
33_3;MAMERE;NOÃ‹L;ECO;21840;29,42;51,98;N
33_4;RITTLING;MICHEL;ECO;408;0,47;0,88;N
33_5;DA CUNHA;GÃ‰RALDINE;ECO;288;0,28;0,48;N
33_6;FERRARI;SYLVIE;ECO;350;0,37;0,62;N
33_7;CURVALE;LAURE;ECO;2109;2,90;4,82;N
33_8;BAUDE;VITAL;ECO;2133;2,18;3,65;N
33_9;BESSET;GUILLAUME;ECO;420;0,49;0,81;N
33_10;BOURGOIS;PASCAL;ECO;1519;1,93;3,24;N
33_11;BECHET;MICHÃˆLE;ECO;1191;1,35;2,40;N
33_12;FOUGERET;MARIE-PIERRE;ECO;382;0,49;0,79;N
34_1;ROUMEGAS;JEAN-LOUIS;ECO;12096;15,29;26,55;O
34_2;JACOT;NICOLAS;PRG;0;0,00;0,00;N
34_3;SIBIEUDE;MARIE-NOÃ‹LLE;ECO;2142;2,77;4,46;N
34_4;FLANK;NADJA;ECO;2872;2,78;4,63;N
34_5;GAVALAND;JEAN-YVES;ECO;435;0,48;0,80;N
34_6;FULLEDA;ANTONIO;DVG;1209;1,40;2,41;N
34_7;JENE;SERGE;MODEM-;411;0,43;0,70;N
34_8;BARAIZE;FRANÃ‡OIS;ECO;1972;2,44;4,21;N
34_9;DEHAYE;AGNÃˆS;ECO;241;0,32;0,55;N
35_1;KALALA;ETCH;DVG;638;0,73;1,31;N
35_2;PLOUVIER;BERTRAND;UMP;16158;18,58;30,46;O
35_3;SAUVAGE;YVES;ECO;2610;3,20;5,35;N
35_4;WESTER-OUISSE;VÃ‰RONIQUE;DVD;1905;2,24;3,93;N
35_5;LE CALLENNEC;ISABELLE;UMP;24640;25,27;43,33;O
35_6;BENOIT;THIERRY;MODEM-;20522;24,06;40,33;O
35_7;LE BECHEC;CAROLE;ECO;1681;1,77;2,98;N
35_8;ROGEMONT;MARCEL;SOC;21484;27,21;47,85;O
36_1;GAUTHIER;CAROLINE;ECO;935;1,14;1,97;N
36_2;TILLIE;RAPHAÃ‹L;ECO;1231;1,34;2,21;N
37_1;LARPENT;CAROLINE;ECO;1679;2,56;4,72;N
37_2;GAUDRON;ISABELLE;DVG;7406;8,77;14,72;N
37_3;GRALEPOIS;MATHILDE;ECO;1208;1,28;2,09;N
37_4;DESCROIX;GILLES;ECO;1314;1,49;2,52;N
37_5;LACROIX;PHILIPPE;MODEM;1280;1,59;2,63;N
38_1;NAUCHE;NIELS;ECO;314;0,39;0,64;N
38_2;OUDJAOUDI;MARYSE;ECO;1680;2,24;3,97;N
38_3;PERRIER;ELÃ‰ONORE;DVG;318;0,54;0,98;N
38_4;DODINOT;OLIVIER;ECO;353;0,40;0,69;N
38_5;TOURNON;JEAN-JACQUES;ECO;511;0,52;0,88;N
38_6;SADESKI;ISABELLE;ECO;508;0,66;1,18;N
38_7;EYNARD;VALÃ‰RIE;ECO;338;0,39;0,65;N
38_8;VILLARD COURCHET;BRIGITTE;ECO;351;0,47;0,80;N
38_9;GRINDLER;HUGUETTE;ECO;642;0,69;1,21;N
38_10;GLAUME;ERIC;DVG;327;0,37;0,68;N
39_1;BAU;PATRICE;ECO;1640;2,52;4,01;N
39_2;GODIN;FRANÃ‡OIS;PRV;2989;5,45;9,06;N
39_3;HAMDAOUI;AKO;ECO;1530;2,24;3,56;N
40_1;CARLIER;CAROLE;ECO;404;0,41;0,70;N
40_2;BOSQUET;MÃ‰LANIE;ECO;254;0,24;0,41;N
40_3;DREISTADT;EDITH;ECO;331;0,35;0,55;N
41_1;LAURENT;SARAH;ECO;355;0,44;0,77;N
41_2;COUPPE;JEAN-LUC;ECO;278;0,35;0,58;N
41_3;CONFINO;GÃ‰RARD;ECO;270;0,33;0,52;N
42_1;BARGE;EVELYNE;ECO;126;0,19;0,34;N
42_2;BUISSON-DESCOMBES;NOÃ‰LIE;ECO;1346;2,35;4,56;N
42_3;ROCHEBLOINE;FRANÃ‡OIS;NouvC;11442;14,22;24,71;O
42_4;PEREZ;MICHÃˆLE;MODEM-;2;0,00;0,00;N
42_5;VIAL;JEAN-FRANÃ‡OIS;MODEM-;1030;1,02;1,68;N
42_6;MARTIN;LAURÃˆNE;ECO;609;0,59;0,99;N
43_1;COCHET;PHILIPPE;ECO;262;0,27;0,42;N
43_2;VIGIER;JEAN-PIERRE;UMP;18351;22,85;38,19;O
44_1;GIREL;NICOLE;ECO;529;0,73;1,22;N
44_2;SOUVERVILLE;JEAN-PIERRE;ECO;297;0,36;0,63;N
44_3;TALLIO;JEAN-FRANÃ‡OIS;ECO;3144;3,54;6,18;N
44_4;QUERAUD;DIDIER;ECO;1626;1,96;3,26;N
44_5;LEBOUTEUX;GENEVIÃˆVE;ECO;4034;3,82;6,23;N
44_6;LAVIELLE;ANNE;ECO;532;0,50;0,83;N
44_7;PRIOU;CHRISTOPHE;UMP;25638;25,12;41,41;O
44_8;BOUILLE;MARIE-ODILE;SOC;23475;28,94;51,70;N
44_9;CHAIFFRE;SYLVIE;ECO;391;0,36;0,59;N
44_10;CORAUD;ALAN;MODEM;2157;2,02;3,23;N
45_1;GIRAULT;ANNIE;ECO;620;0,85;1,44;N
45_2;GASCOIN;GÃ‰RARD;ECO;288;0,35;0,60;N
45_3;SORET;FRANÃ‡OISE;ECO;343;0,48;0,80;N
45_4;DOOR;JEAN-PIERRE;UMP;16824;22,43;38,54;O
45_5;DE FREITAS;PIERRE;ECO;128;0,18;0,30;N
45_6;DUVAL;LAURENCE;MODEM;1363;1,97;3,38;N
46_1;TESTA;FRANCESCO;ECO;1982;2,82;4,44;N
46_2;GARCIA;CYRILLE;ECO;333;0,51;0,81;N
47_1;COMBRES;MARYSE;ECO;1390;1,60;2,63;N
47_2;DIEFENBACHER;MICHEL;UMP;14982;19,29;31,33;O
47_3;TICHANE;BRIGITTE;ECO;312;0,41;0,65;N
48_1;TOLEDANO;FRANCOISE;ECO;202;0,34;0,50;N
