Dept_circo;Nom;Prenom;nuance;voix;%Voix/inscrit;%Voix/exprimes;Acces
23_1;GORIZZUTTI;ROGER;EXG;329;0,34;0,54;N
24_1;TORRES;JOSEFA;EXG;206;0,27;0,44;N
24_2;RUCHOT;SANDRINE;EXG;145;0,18;0,29;N
24_3;DECOUPY;JACQUES;EXG;217;0,31;0,48;N
24_4;MERCIER;SERGE;EXG;251;0,29;0,45;N
25_1;FRIESS;NICOLE;EXG;319;0,44;0,74;N
25_2;VUITTON;BRIGITTE;EXG;195;0,26;0,42;N
25_3;DRIANO;CHRISTIAN;EXG;406;0,62;1,04;N
25_4;JEANNIN;DANIEL;EXG;230;0,34;0,57;N
25_5;HUMBERT;ODILE;EXG;249;0,32;0,52;N
26_1;KOPFF;ADÃˆLE;EXG;152;0,21;0,36;N
26_2;CILLA;MARIO;EXG;188;0,21;0,36;N
26_3;SPREUX;THOMAS;EXG;255;0,25;0,39;N
26_4;BERNARD;MONIQUE;EXG;305;0,34;0,57;N
27_1;ROETHLISBERGER;CORINNE;EXG;348;0,41;0,72;N
27_2;PASADOVIC;SÃ‰BASTIEN;EXG;188;0,24;0,42;N
27_3;GHARET;YASMINA;EXG;231;0,28;0,47;N
27_4;SOLAL;CHRISTOPHE;EXG;253;0,29;0,52;N
27_5;LUGUET;ALAIN;EXG;247;0,28;0,49;N
28_1;AUBERT;MARIE-JOSÃ‰;EXG;287;0,33;0,57;N
28_2;MAILLOT;DOMINIQUE;EXG;299;0,42;0,78;N
28_3;MAS;NICOLE;EXG;193;0,27;0,47;N
28_4;ASSAYAG;ANNE-LAURE;EXG;241;0,36;0,59;N
29_1;HARDY;SERGE;EXG;248;0,29;0,47;N
29_2;CONTIGNON;LYDIE;EXG;184;0,24;0,44;N
29_3;MERLIN;FABRICE;EXG;251;0,29;0,48;N
29_4;BLOSSE;PATRICIA;EXG;268;0,33;0,52;N
29_5;CHAUVEAU;FRANÃ‡OISE;EXG;289;0,32;0,53;N
29_6;PIRO;ELISABETH;EXG;188;0,21;0,33;N
29_7;DEFRANCE;SERGE;EXG;221;0,28;0,44;N
29_8;MENVIELLE;ANNIE;EXG;217;0,26;0,44;N
2A_1;DAIEN;YVES;EXG;74;0,15;0,27;N
2A_2;RODINSON;CLAUDINE;EXG;74;0,14;0,23;N
2B_1;JOSUE;OLIVIER;EXG;94;0,17;0,29;N
2B_2;GOVI MATTEI;PIERRETTE;EXG;191;0,30;0,49;N
30_1;LECLERC;ISABELLE;EXG;119;0,14;0,25;N
30_2;MANSON;STÃ‰PHANE;EXG;164;0,20;0,32;N
30_3;EGEA;JEAN;EXG;209;0,24;0,38;N
