link2;nom;departement;circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixModele1;%_voix/ins;%_voix/exp;prediction;modele2Voix;modele2rounded
Alix PENLOUP-ARBONA_36_1;Alix PENLOUP-ARBONA;36;1;F;PENLOUP-ARBONA;Alix;31;LR-UMP;3;Non;Non;Non;9.75;45.8117035111;4;1449;1.8;3.18;-0.17310805843;972.6583670230056;973
Jean-Paul CHANTEGUET_36_1;Jean-Paul CHANTEGUET;36;1;M;CHANTEGUET;Jean-Paul;67;PS;3;Oui;Oui;Oui;9.75;45.8117035111;4;10887;13.56;23.87;0.0559128597604;12621.131420255999;12621
Muriel BEFFARA_36_1;Muriel BEFFARA;36;1;F;BEFFARA;Muriel;59;EELV;7;Non;Non;Non;9.75;45.8117035111;4;1084;1.35;2.38;-0.210119589641;668.2049562071519;668
Mylène WUNSCH_36_1;Mylène WUNSCH;36;1;F;WUNSCH;Mylène;58;FN;2;Non;Non;Non;9.75;45.8117035111;4;10120;12.6;22.19;-0.131248067188;7480.531314903226;7481
Michel FRADET_36_1;Michel FRADET;36;1;M;FRADET;Michel;61;EXG;7;Non;Non;Non;9.75;45.8117035111;4;933;1.16;2.05;0.00784635839215;950.3254805630393;950
Paulette PICARD_36_1;Paulette PICARD;36;1;F;PICARD;Paulette;68;LR-UMP;2;Non;Non;Oui;9.75;45.8117035111;4;13695;17.05;30.02;-0.172133789245;9213.576525862742;9214
Isabelle BRUNEAU_36_2;Isabelle BRUNEAU;36;2;F;BRUNEAU;Isabelle;51;PS;4;Oui;Oui;Oui;9.75;45.8117035111;4;4043;4.49;7.74;0.0712309931885;4919.882978641644;4920
Dominique LANYI_36_2;Dominique LANYI;36;2;M;LANYI;Dominique;53;FN;2;Non;Non;Non;9.75;45.8117035111;4;12649;14.04;24.21;-0.122572672934;9538.575457137153;9539
Michel SALLANDRE_36_2;Michel SALLANDRE;36;2;M;SALLANDRE;Michel;70;EXG;7;Non;Non;Non;9.75;45.8117035111;4;1047;1.16;2.0;0.00126395127969;1050.0605006339633;1050
Raphaël TILLIE_36_2;Raphaël TILLIE;36;2;M;TILLIE;Raphaël;47;EELV;5;Non;Non;Non;9.75;45.8117035111;4;1246;1.38;2.38;-0.210550495018;767.3041503467575;767
Nicolas FORISSIER_36_2;Nicolas FORISSIER;36;2;M;FORISSIER;Nicolas;56;LR-UMP;2;Non;Non;Oui;9.75;45.8117035111;4;12363;13.72;23.66;-0.128144886828;9204.050278810722;9204
Sophie GUERIN_36_2;Sophie GUERIN;36;2;F;GUERIN;Sophie;52;EM-MODEM;2;Non;Non;Non;9.75;45.8117035111;4;12552;13.93;24.02;-0.02048486863;11973.691431459765;11974
Lionel THURA_36_2;Lionel THURA;36;2;M;THURA;Lionel;61;FG-FI;7;Non;Non;Non;9.75;45.8117035111;4;8353;9.27;15.99;-0.112705158317;6443.729828171047;6444
Emmanuel LAKIERE_37_1;Emmanuel LAKIERE;37;1;M;LAKIERE;Emmanuel;45;LR-UMP;3;Non;Non;Non;9.1;41.6122160371;4;764;1.11;1.96;-0.0966277604271;611.5973544582256;612
Jean-Patrick GILLE_37_1;Jean-Patrick GILLE;37;1;M;GILLE;Jean-Patrick;55;PS;3;Oui;Oui;Oui;9.1;41.6122160371;4;4085;5.95;10.46;0.0563539110813;4742.03078538567;4742
Léonard LEMA_37_1;Léonard LEMA;37;1;M;LEMA;Léonard;22;EXG;8;Non;Non;Non;9.1;41.6122160371;4;988;1.44;2.53;0.0103513443793;1012.4207752543418;1012
Céline BALLESTEROS_37_1;Céline BALLESTEROS;37;1;F;BALLESTEROS;Céline;46;LR-UMP;2;Oui;Non;Oui;9.1;41.6122160371;4;8494;12.37;21.74;-0.00860935459948;8327.274904424336;8327
Laurence LECARDONNEL_37_1;Laurence LECARDONNEL;37;1;F;LECARDONNEL;Laurence;55;FN;5;Non;Non;Non;9.1;41.6122160371;4;4247;6.19;10.87;-0.110042037874;3296.4024110296536;3296
Claude BOURDIN_37_1;Claude BOURDIN;37;1;M;BOURDIN;Claude;52;FG-FI;3;Non;Non;Non;9.1;41.6122160371;4;7441;10.84;19.04;-0.0819487418661;6161.444809279977;6161
Christophe DUPIN_37_1;Christophe DUPIN;37;1;M;DUPIN;Christophe;47;EELV;4;Non;Non;Non;9.1;41.6122160371;4;1265;1.84;3.24;-0.15209417592;891.2434468665006;891
Philippe CHALUMEAU_37_1;Philippe CHALUMEAU;37;1;M;CHALUMEAU;Philippe;53;EM-MODEM;3;Non;Non;Non;9.1;41.6122160371;4;11787;17.17;30.17;0.066683422073;14132.405271929902;14132
Fabien COSTE_37_2;Fabien COSTE;37;2;M;COSTE;Fabien;34;EXG;4;Non;Non;Non;9.1;41.6122160371;4;1071;1.21;1.95;0.012387154739;1102.9106673971992;1103
Stanislas DE LA RUFFIE_37_2;Stanislas DE LA RUFFIE;37;2;M;DE LA RUFFIE;Stanislas;48;FN;3;Non;Non;Non;9.1;41.6122160371;4;11115;12.54;20.27;-0.122127706246;8390.382517993685;8390
Frédéric NOBILEAU_37_2;Frédéric NOBILEAU;37;2;M;NOBILEAU;Frédéric;47;FG-FI;2;Non;Non;Non;9.1;41.6122160371;4;8448;9.53;15.4;-0.109369392261;6567.264573375281;6567
Daniel LABARONNE_37_2;Daniel LABARONNE;37;2;M;LABARONNE;Daniel;61;EM-MODEM;3;Oui;Non;Non;9.1;41.6122160371;4;14581;16.45;26.59;0.120616356727;21446.714205832683;21447
Virginie BERGERARD_37_2;Virginie BERGERARD;37;2;F;BERGERARD;Virginie;47;LR-UMP;3;Non;Non;Non;9.1;41.6122160371;4;1933;2.18;3.52;-0.144279878685;1386.6024887008525;1387
Claude GREFF_37_2;Claude GREFF;37;2;F;GREFF;Claude;63;LR-UMP;5;Oui;Oui;Oui;9.1;41.6122160371;4;11952;13.48;21.79;-0.0188499831105;11444.336036125977;11444
Isabelle GAUDRON_37_2;Isabelle GAUDRON;37;2;F;GAUDRON;Isabelle;56;PS;8;Oui;Non;Non;9.1;41.6122160371;4;4385;4.95;8.0;0.0519801588096;5023.749447139719;5024
Eva KUKULSKI_37_3;Eva KUKULSKI;37;3;F;KUKULSKI;Eva;51;FN;8;Non;Non;Non;9.1;41.6122160371;4;11131;11.42;20.35;-0.112833661724;8584.213707426896;8584
Sylvie ADOLPHE_37_3;Sylvie ADOLPHE;37;3;F;ADOLPHE;Sylvie;51;FG-FI;4;Non;Non;Non;9.1;41.6122160371;4;9297;9.54;16.99;-0.16010871519;6430.342653344041;6430
François-Xavier DECROP_37_3;François-Xavier DECROP;37;3;M;DECROP;François-Xavier;59;LR-UMP;3;Non;Non;Non;9.1;41.6122160371;4;1993;2.04;3.64;-0.110429757956;1545.5303603292396;1546
Ronan LEBERT_37_3;Ronan LEBERT;37;3;M;LEBERT;Ronan;41;EXG;5;Non;Non;Non;9.1;41.6122160371;4;1185;1.22;2.17;0.0105507902739;1214.8757359524143;1215
Sophie AUCONIE_37_3;Sophie AUCONIE;37;3;F;AUCONIE;Sophie;53;LR-UMP;2;Non;Non;Non;9.1;41.6122160371;4;14053;14.41;25.69;-0.15955765014;9732.20831093831;9732
Marisol TOURAINE_37_3;Marisol TOURAINE;37;3;F;TOURAINE;Marisol;58;PS;3;Oui;Oui;Oui;9.1;41.6122160371;4;15532;15.93;28.39;0.0510134093462;17743.550814767048;17744
Véronique VALIN_37_4;Véronique VALIN;37;4;F;VALIN;Véronique;57;LR-UMP;3;Non;Non;Non;9.1;41.6122160371;4;1712;1.9;3.15;-0.15314184047;1203.2667608340246;1203
Sophie HERVÉ_37_4;Sophie HERVÉ;37;4;F;HERVÉ;Sophie;42;EXG;5;Non;Non;Non;9.1;41.6122160371;4;1130;1.25;2.08;0.0192100363266;1183.5256528120412;1184
Véronique PÉAN_37_4;Véronique PÉAN;37;4;F;PÉAN;Véronique;64;FN;7;Non;Non;Non;9.1;41.6122160371;4;10383;11.51;19.1;-0.142871699214;7472.245889437895;7472
Michel GENDRON_37_4;Michel GENDRON;37;4;M;GENDRON;Michel;61;EELV;7;Non;Non;Non;9.1;41.6122160371;4;1423;1.58;2.62;-0.208877046987;879.6863499508515;880
Fabienne COLBOC_37_4;Fabienne COLBOC;37;4;F;COLBOC;Fabienne;45;EM-MODEM;2;Non;Non;Non;9.1;41.6122160371;4;14557;16.14;26.78;-0.0193195113478;13923.626685855133;13924
Nadia VEZIN_37_4;Nadia VEZIN;37;4;F;VEZIN;Nadia;48;FG-FI;5;Non;Non;Non;9.1;41.6122160371;4;8830;9.79;16.24;-0.157182164484;6148.6325394789355;6149
Laurent BAUMEL_37_4;Laurent BAUMEL;37;4;M;BAUMEL;Laurent;51;PS;3;Oui;Oui;Oui;9.1;41.6122160371;4;4598;5.1;8.46;0.0570617846892;5349.074308275729;5349
Hervé NOVELLI_37_4;Hervé NOVELLI;37;4;M;NOVELLI;Hervé;68;LR-UMP;2;Non;Non;Oui;9.1;41.6122160371;4;11726;13.0;21.57;-0.129077138081;8711.095035033779;8711
Erwan DELIZ_37_5;Erwan DELIZ;37;5;M;DELIZ;Erwan;52;EELV;3;Non;Non;Non;9.1;41.6122160371;4;2020;2.41;4.03;-0.139251830163;1465.8837796039763;1466
Françoise ROUX_37_5;Françoise ROUX;37;5;F;ROUX;Françoise;62;EXG;7;Non;Non;Non;9.1;41.6122160371;4;1325;1.58;2.64;0.0115498415604;1361.6995490748352;1362
Sabine THILLAYE_37_5;Sabine THILLAYE;37;5;F;THILLAYE;Sabine;58;EM-MODEM;2;Non;Non;Non;9.1;41.6122160371;4;15343;18.28;30.59;-0.0163422663727;14776.378892979728;14776
Daniel FRACZAK_37_5;Daniel FRACZAK;37;5;M;FRACZAK;Daniel;62;FN;3;Non;Non;Non;9.1;41.6122160371;4;9996;11.91;19.93;-0.103605262697;7874.463689963877;7874
Fabrice BOIGARD_37_5;Fabrice BOIGARD;37;5;M;BOIGARD;Fabrice;60;LR-UMP;3;Non;Non;Oui;9.1;41.6122160371;4;11043;13.16;22.02;-0.122079483673;8336.95751784641;8337
Constance ASCAR_37_5;Constance ASCAR;37;5;F;ASCAR;Constance;32;FG-FI;3;Non;Non;Non;9.1;41.6122160371;4;8708;10.38;17.36;-0.177040617589;5792.656858001775;5793
Jean DE FOUQUIÈRES_37_5;Jean DE FOUQUIÈRES;37;5;M;DE FOUQUIÈRES;Jean;69;LR-UMP;7;Non;Non;Non;9.1;41.6122160371;4;1715;2.04;3.42;-0.138987593359;1245.307291618201;1245
Olivier VERAN_38_1;Olivier VERAN;38;1;M;VERAN;Olivier;37;EM-MODEM;3;Non;Non;Non;8.35;39.7581532234;7;19331;23.28;48.52;0.0319282744056;20927.50597050016;20928
Nicolas KADA_38_1;Nicolas KADA;38;1;M;KADA;Nicolas;44;EELV;3;Non;Non;Non;8.35;39.7581532234;7;2716;3.27;6.82;0.0248578328449;2886.006054250273;2886
Nathalie VEYRET_38_1;Nathalie VEYRET;38;1;F;VEYRET;Nathalie;52;EXG;4;Non;Non;Non;8.35;39.7581532234;7;1639;1.97;4.11;0.018964075785;1715.5725298296265;1716
Marie DE KERVÉRÉGUIN_38_1;Marie DE KERVÉRÉGUIN;38;1;F;DE KERVÉRÉGUIN;Marie;35;FN;3;Non;Non;Non;8.35;39.7581532234;7;4526;5.45;11.36;-0.0666395264549;3882.1742367862635;3882
Jean-Damien MERMILLOD-BLONDIN_38_1;Jean-Damien MERMILLOD-BLONDIN;38;1;M;MERMILLOD-BLONDIN;Jean-Damien;44;LR-UMP;3;Non;Non;Non;8.35;39.7581532234;7;1526;1.84;3.83;-0.0738425728252;1287.395423056857;1287
Elsa RÉGIS_38_1;Elsa RÉGIS;38;1;F;RÉGIS;Elsa;18;FG-FI;8;Non;Non;Non;8.35;39.7581532234;7;10107;12.17;25.37;-0.231407868872;5932.1810447371545;5932
Alexis JOLLY_38_2;Alexis JOLLY;38;2;M;JOLLY;Alexis;26;FN;5;Non;Non;Non;8.35;39.7581532234;7;8095;10.46;18.17;-0.133236101993;5956.357430344866;5956
Pierre VERRI_38_2;Pierre VERRI;38;2;M;VERRI;Pierre;58;PS;3;Non;Non;Oui;8.35;39.7581532234;7;4252;5.5;9.55;0.0081060657316;4333.64670254621;4334
Jean-Charles COLAS-ROY_38_2;Jean-Charles COLAS-ROY;38;2;M;COLAS-ROY;Jean-Charles;39;EM-MODEM;3;Non;Non;Non;8.35;39.7581532234;7;12326;15.93;27.67;0.030384135453;13289.022048944242;13289
Bruno LAFEUILLE_38_2;Bruno LAFEUILLE;38;2;M;LAFEUILLE;Bruno;71;LR-UMP;7;Non;Non;Non;8.35;39.7581532234;7;1100;1.42;2.47;-0.104768025414;864.2206907062472;864
Magalie VICENTE_38_2;Magalie VICENTE;38;2;F;VICENTE;Magalie;40;LR-UMP;3;Non;Non;Oui;8.35;39.7581532234;7;7023;9.08;15.77;-0.127811212361;5232.526735730759;5233
Taha BOUHAFS_38_2;Taha BOUHAFS;38;2;M;BOUHAFS;Taha;20;FG-FI;8;Non;Non;Non;8.35;39.7581532234;7;9263;11.97;20.8;-0.210281602749;5707.817271787939;5708
David QUEIROS_38_2;David QUEIROS;38;2;M;QUEIROS;David;42;EXG;3;Non;Non;Non;8.35;39.7581532234;7;1181;1.53;2.65;-0.00719290735325;1161.6010348466107;1162
Elodie LEGER_38_3;Elodie LEGER;38;3;F;LEGER;Elodie;24;LR-UMP;8;Non;Non;Oui;8.35;39.7581532234;7;4913;8.24;14.57;-0.204798583783;3065.830781864506;3066
Emilie CHALAS_38_3;Emilie CHALAS;38;3;F;CHALAS;Emilie;39;EM-MODEM;3;Non;Non;Non;8.35;39.7581532234;7;9651;16.18;28.62;0.00949870012591;9869.233437619177;9869
Raphaël BRIOT_38_3;Raphaël BRIOT;38;3;M;BRIOT;Raphaël;51;FG-FI;3;Non;Non;Non;8.35;39.7581532234;7;7676;12.87;22.76;-0.0763602183153;6438.352457173739;6438
Michel DESTOT_38_3;Michel DESTOT;38;3;M;DESTOT;Michel;70;PS;3;Oui;Oui;Oui;8.35;39.7581532234;7;3696;6.2;10.96;0.00989648384716;3783.1993964465078;3783
Béatrix BOLVIN_38_3;Béatrix BOLVIN;38;3;F;BOLVIN;Béatrix;62;FN;7;Non;Non;Non;8.35;39.7581532234;7;4916;8.24;14.58;-0.115460934276;3768.3474591641225;3768
Alain BONNET_38_3;Alain BONNET;38;3;M;BONNET;Alain;52;LR-UMP;3;Non;Non;Non;8.35;39.7581532234;7;737;1.24;2.19;-0.0611251383511;640.2393301531587;640
Soukaïna LARABI_38_3;Soukaïna LARABI;38;3;F;LARABI;Soukaïna;23;EELV;5;Non;Non;Non;8.35;39.7581532234;7;1135;1.9;3.37;-0.177624281247;754.0004069749447;754
Jean-Paul TROVERO_38_3;Jean-Paul TROVERO;38;3;M;TROVERO;Jean-Paul;65;EXG;7;Non;Non;Non;8.35;39.7581532234;7;1000;1.68;2.97;-0.0303299930966;932.5454488163152;933
Myriam MARTIN_38_4;Myriam MARTIN;38;4;F;MARTIN;Myriam;40;EXG;5;Non;Non;Non;8.35;39.7581532234;7;1193;1.33;2.22;-0.0114693416255;1161.9062880522313;1162
Sandrine MARTIN-GRAND_38_4;Sandrine MARTIN-GRAND;38;4;F;MARTIN-GRAND;Sandrine;46;LR-UMP;3;Non;Non;Oui;8.35;39.7581532234;7;10307;11.48;19.21;-0.126843654529;7696.417554974055;7696
Laurent VIALLARD_38_4;Laurent VIALLARD;38;4;M;VIALLARD;Laurent;46;FG-FI;3;Non;Non;Non;8.35;39.7581532234;7;9351;10.41;17.43;-0.091898150559;7567.63028311594;7568
Henry TIDY_38_4;Henry TIDY;38;4;M;TIDY;Henry;41;EELV;4;Non;Non;Non;8.35;39.7581532234;7;1462;1.63;2.72;-0.012317072781;1421.1185220802122;1421
Sandrine PIMONT_38_4;Sandrine PIMONT;38;4;F;PIMONT;Sandrine;48;FN;2;Non;Non;Non;8.35;39.7581532234;7;10225;11.39;19.05;-0.0975452200211;8168.044528407029;8168
Sara SEYS_38_4;Sara SEYS;38;4;F;SEYS;Sara;26;LR-UMP;8;Non;Non;Non;8.35;39.7581532234;7;1566;1.74;2.92;-0.169768421634;1059.3106439345374;1059
Marie-Noëlle BATTISTEL_38_4;Marie-Noëlle BATTISTEL;38;4;F;BATTISTEL;Marie-Noëlle;60;PS;3;Oui;Oui;Oui;8.35;39.7581532234;7;4733;5.27;8.82;0.00941539457952;4839.054956599409;4839
Fabrice HUGELÉ_38_4;Fabrice HUGELÉ;38;4;M;HUGELÉ;Fabrice;47;EM-MODEM;3;Non;Non;Non;8.35;39.7581532234;7;14825;16.51;27.63;0.0542997905774;17102.789165037746;17103
Sylvie GUINAND_38_5;Sylvie GUINAND;38;5;F;GUINAND;Sylvie;43;EXG;5;Non;Non;Non;8.35;39.7581532234;7;1399;1.37;2.27;-0.00588993754843;1380.15472615417;1380
Eliane GIRAUD_38_5;Eliane GIRAUD;38;5;F;GIRAUD;Eliane;65;PS;3;Oui;Non;Oui;8.35;39.7581532234;7;5738;5.61;9.3;0.00814696432887;5848.752775297452;5849
Ludovic BLANCO_38_5;Ludovic BLANCO;38;5;M;BLANCO;Ludovic;23;LR-UMP;8;Non;Non;Non;8.35;39.7581532234;7;1806;1.76;2.93;-0.186196077443;1176.3096735972817;1176
Philippe LANGENIEUX-VILLARD_38_5;Philippe LANGENIEUX-VILLARD;38;5;M;LANGENIEUX-VILLARD;Philippe;62;LR-UMP;3;Non;Non;Oui;8.35;39.7581532234;7;11139;10.89;18.05;-0.0993955630566;8860.34516966119;8860
Patrice BRUN_38_5;Patrice BRUN;38;5;M;BRUN;Patrice;51;FG-FI;5;Non;Non;Non;8.35;39.7581532234;7;10874;10.63;17.62;-0.100994004617;8617.778434216525;8618
Muriel BURGAZ_38_5;Muriel BURGAZ;38;5;F;BURGAZ;Muriel;55;FN;2;Non;Non;Non;8.35;39.7581532234;7;11262;11.01;18.25;-0.105003418782;8843.254102285822;8843
Catherine KAMOWSKI_38_5;Catherine KAMOWSKI;38;5;F;KAMOWSKI;Catherine;59;EM-MODEM;4;Non;Non;Non;8.35;39.7581532234;7;17707;17.3;28.7;0.00175580524472;17779.024151215097;17779
Alexandre BOLLEAU_38_6;Alexandre BOLLEAU;38;6;M;BOLLEAU;Alexandre;47;PS;3;Non;Non;Oui;8.35;39.7581532234;7;3184;3.83;6.63;0.0197844349742;3339.6578720652205;3340
Cécile VIALLON_38_6;Cécile VIALLON;38;6;F;VIALLON;Cécile;69;EELV;7;Non;Non;Non;8.35;39.7581532234;7;983;1.18;2.05;-0.104198939177;773.311695846838;773
Gérard DÉZEMPTE_38_6;Gérard DÉZEMPTE;38;6;M;DÉZEMPTE;Gérard;65;FN;8;Non;Non;Non;8.35;39.7581532234;7;14044;16.88;29.24;-0.105471562766;11015.88156453679;11016
Alain MOYNE-BRESSAND_38_6;Alain MOYNE-BRESSAND;38;6;M;MOYNE-BRESSAND;Alain;71;LR-UMP;2;Oui;Oui;Oui;8.35;39.7581532234;7;10921;13.12;22.74;-0.0800593052228;9082.451802396534;9082
Cendra MOTIN_38_6;Cendra MOTIN;38;6;F;MOTIN;Cendra;42;EM-MODEM;3;Non;Non;Non;8.35;39.7581532234;7;11369;13.66;23.67;0.012840568491;11720.71438094173;11721
Michael AYDIN_38_6;Michael AYDIN;38;6;M;AYDIN;Michael;49;FG-FI;5;Non;Non;Non;8.35;39.7581532234;7;6720;8.08;13.99;-0.0992361497957;5347.282432591571;5347
Frédérique PENAVAIRE_38_6;Frédérique PENAVAIRE;38;6;F;PENAVAIRE;Frédérique;56;EXG;3;Non;Non;Non;8.35;39.7581532234;7;810;0.97;1.69;6.17092669787E-4;811.153393896309;811
Nadine NICOLAS_38_7;Nadine NICOLAS;38;7;F;NICOLAS;Nadine;66;LR-UMP;7;Non;Non;Non;8.35;39.7581532234;7;2108;2.31;3.88;-0.100687106607;1671.7968397429681;1672
Nadine REUX_38_7;Nadine REUX;38;7;F;REUX;Nadine;61;EELV;7;Non;Non;Non;8.35;39.7581532234;7;3077;3.37;5.66;-0.0999377272561;2444.4984655774206;2444
Monique LIMON_38_7;Monique LIMON;38;7;F;LIMON;Monique;63;EM-MODEM;7;Non;Non;Non;8.35;39.7581532234;7;14053;15.37;25.85;8.20116803928E-4;14079.612902131968;14080
Yannick NEUDER_38_7;Yannick NEUDER;38;7;M;NEUDER;Yannick;48;LR-UMP;3;Non;Non;Oui;8.35;39.7581532234;7;9486;10.37;17.45;-0.100802064606;7521.094677247787;7521
Valérie BONO_38_7;Valérie BONO;38;7;F;BONO;Valérie;49;FG-FI;5;Non;Non;Non;8.35;39.7581532234;7;10736;11.74;19.75;-0.154797114922;7517.0144986240075;7517
Pierre DELACROIX_38_7;Pierre DELACROIX;38;7;M;DELACROIX;Pierre;68;FN;3;Non;Non;Non;8.35;39.7581532234;7;14895;16.29;27.4;-0.0960755933282;11938.916484646139;11939
Thibaut MONNIER_38_8;Thibaut MONNIER;38;8;M;MONNIER;Thibaut;30;FN;3;Non;Non;Non;8.35;39.7581532234;7;11412;14.52;25.52;-0.122649512943;8604.234735639155;8604
Caroline ABADIE_38_8;Caroline ABADIE;38;8;F;ABADIE;Caroline;40;EM-MODEM;2;Non;Non;Non;8.35;39.7581532234;7;11852;15.08;26.5;0.0165294081278;12330.342591365974;12330
Michèle DURIEUX_38_8;Michèle DURIEUX;38;8;F;DURIEUX;Michèle;55;EELV;4;Non;Non;Non;8.35;39.7581532234;7;1921;2.44;4.3;-0.108853197333;1495.1135158323254;1495
Erwann BINET_38_8;Erwann BINET;38;8;M;BINET;Erwann;44;PS;3;Oui;Oui;Oui;8.35;39.7581532234;7;3456;4.4;7.73;0.0347356694276;3769.910615739931;3770
Myriam THIEULENT_38_8;Myriam THIEULENT;38;8;F;THIEULENT;Myriam;42;FG-FI;5;Non;Non;Non;8.35;39.7581532234;7;7729;9.83;17.28;-0.132028465054;5702.887996838053;5703
Maryline SILVESTRE_38_8;Maryline SILVESTRE;38;8;F;SILVESTRE;Maryline;43;LR-UMP;8;Non;Non;Oui;8.35;39.7581532234;7;8352;10.63;18.68;-0.127058993495;6233.493230329023;6233
Elodie JACQUIER-LAFORGE_38_9;Elodie JACQUIER-LAFORGE;38;9;F;JACQUIER-LAFORGE;Elodie;39;EM-MODEM;3;Non;Non;Non;8.35;39.7581532234;7;17517;18.01;30.31;0.00949870012591;17913.103525725324;17913
Marie-Pierre MICOUD_38_9;Marie-Pierre MICOUD;38;9;F;MICOUD;Marie-Pierre;52;FG-FI;3;Non;Non;Non;8.35;39.7581532234;7;12965;13.33;22.43;-0.159791012154;8973.905852973032;8974
Bruno DESIES_38_9;Bruno DESIES;38;9;M;DESIES;Bruno;63;FN;2;Non;Non;Non;8.35;39.7581532234;7;11622;11.95;20.11;-0.114259639612;8933.491561065815;8933
Mickaël JULIAN_38_9;Mickaël JULIAN;38;9;M;JULIAN;Mickaël;32;LR-UMP;2;Non;Non;Non;8.35;39.7581532234;7;1855;1.91;3.21;-0.104731063595;1457.5143870675427;1458
Bruno GATTAZ_38_9;Bruno GATTAZ;38;9;M;GATTAZ;Bruno;64;LR-UMP;3;Non;Non;Oui;8.35;39.7581532234;7;9833;10.11;17.02;-0.0979009040131;7848.472396039666;7848
Patrick CHOLAT_38_9;Patrick CHOLAT;38;9;M;CHOLAT;Patrick;59;EELV;3;Non;Non;Oui;8.35;39.7581532234;7;3998;4.11;6.92;-0.023672026739;3785.914162512888;3786
Marjolaine MEYNIER-MILLEFERT_38_10;Marjolaine MEYNIER-MILLEFERT;38;10;F;MEYNIER-MILLEFERT;Marjolaine;34;EM-MODEM;2;Non;Non;Non;8.35;39.7581532234;7;13073;13.96;24.06;0.0190754450978;13687.59666701607;13688
Alain BREUIL_38_10;Alain BREUIL;38;10;M;BREUIL;Alain;58;FN;3;Non;Non;Non;8.35;39.7581532234;7;14194;15.16;26.12;-0.0982508821657;11320.195279376276;11320
Vincent CHRIQUI_38_10;Vincent CHRIQUI;38;10;M;CHRIQUI;Vincent;45;LR-UMP;3;Non;Non;Oui;8.35;39.7581532234;7;9944;10.62;18.3;-0.102766882061;7848.636822430387;7849
Thierry MONCHATRE-JACQUOT_38_10;Thierry MONCHATRE-JACQUOT;38;10;M;MONCHATRE-JACQUOT;Thierry;56;FG-FI;8;Non;Non;Non;8.35;39.7581532234;7;8788;9.38;16.17;-0.0898115979377;7146.254032894402;7146
Joëlle HUILLIER_38_10;Joëlle HUILLIER;38;10;F;HUILLIER;Joëlle;68;PS;7;Oui;Oui;Oui;8.35;39.7581532234;7;4055;4.33;7.46;0.00955796189373;4147.285324558739;4147
Mehdi SAHRAOUI_38_10;Mehdi SAHRAOUI;38;10;M;SAHRAOUI;Mehdi;22;EXG;8;Non;Non;Non;8.35;39.7581532234;7;1083;1.16;1.99;-0.00476382065124;1071.1853784412995;1071
Nicolas MONIN-VEYRET_38_10;Nicolas MONIN-VEYRET;38;10;M;MONIN-VEYRET;Nicolas;51;LR-UMP;2;Non;Non;Non;8.35;39.7581532234;7;1962;2.1;3.61;-0.0887843119399;1599.2438567016495;1599
Marc-Henri DUVERNET_39_1;Marc-Henri DUVERNET;39;1;M;DUVERNET;Marc-Henri;30;PS;2;Non;Non;Oui;7.45;42.9248434639;5;2981;4.55;7.65;-0.0230784729546;2826.7246302259136;2827
Gabriel AMARD_39_1;Gabriel AMARD;39;1;M;AMARD;Gabriel;50;FG-FI;3;Non;Non;Non;7.45;42.9248434639;5;7545;11.51;19.37;-0.117110908851;5761.669400964394;5762
Gérard DOBELLI_39_1;Gérard DOBELLI;39;1;M;DOBELLI;Gérard;70;EELV;7;Non;Non;Non;7.45;42.9248434639;5;1748;2.67;4.49;-0.154019584761;1226.0885692177962;1226
Gilles MORICONI_39_1;Gilles MORICONI;39;1;M;MORICONI;Gilles;62;LR-UMP;2;Non;Non;Non;7.45;42.9248434639;5;1302;1.99;3.34;-0.113800569879;1001.8677901598278;1002
Jean-Paul ECARD_39_1;Jean-Paul ECARD;39;1;M;ECARD;Jean-Paul;54;FN;2;Non;Non;Non;7.45;42.9248434639;5;8489;12.95;21.8;-0.164031243631;5818.69093616188;5819
Danielle BRULEBOIS_39_1;Danielle BRULEBOIS;39;1;F;BRULEBOIS;Danielle;69;EM-MODEM;7;Non;Non;Non;7.45;42.9248434639;5;9834;15.0;25.25;-0.03119196509;9152.468416058975;9152
Cyrille BRERO_39_1;Cyrille BRERO;39;1;M;BRERO;Cyrille;45;LR-UMP;8;Non;Non;Oui;7.45;42.9248434639;5;7043;10.74;18.09;-0.118415301545;5362.192326751433;5362
Christophe MASSON_39_2;Christophe MASSON;39;2;M;MASSON;Christophe;48;EELV;2;Non;Non;Non;7.45;42.9248434639;5;1945;3.52;6.23;-0.0997058524564;1546.015177705037;1546
Julie LANÇON_39_2;Julie LANÇON;39;2;F;LANÇON;Julie;39;FG-FI;8;Non;Non;Non;7.45;42.9248434639;5;6894;12.47;22.08;-0.136443837278;5035.324245190755;5035
Anne PROST-GROSJEAN_39_2;Anne PROST-GROSJEAN;39;2;F;PROST-GROSJEAN;Anne;59;EM-MODEM;3;Non;Non;Non;7.45;42.9248434639;5;8765;15.86;28.08;-0.0171822499978;8424.995361413146;8425
Nathalie DESSEIGNE_39_2;Nathalie DESSEIGNE;39;2;F;DESSEIGNE;Nathalie;43;FN;3;Non;Non;Non;7.45;42.9248434639;5;7103;12.85;22.75;-0.163763598531;4871.6739710934;4872
