link2;nom;departement;circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixModele1;%_voix/ins;%_voix/exp;prediction;modele2Voix;modele2rounded
Muriel LUGA GIRAUD_1_4;Muriel LUGA GIRAUD;1;4;F;LUGA GIRAUD;Muriel;56;LR-UMP;8;Non;Non;Non;7.35;39.7816052467;7;1416;1.59;2.6;-0.103450031591;1115.869023549007;1116
Catherine LATTARD_1_4;Catherine LATTARD;1;4;F;LATTARD;Catherine;45;EXG;4;Non;Non;Non;7.35;39.7816052467;7;1133;1.27;2.08;-0.0361539102956;1042.4998461843043;1042
Elodie SCHWANDER_1_5;Elodie SCHWANDER;1;5;F;SCHWANDER;Elodie;34;PS;4;Non;Non;Oui;7.35;39.7816052467;7;3004;3.99;6.94;0.00981853732888;3074.295348766558;3074
Claude JUILLET_1_5;Claude JUILLET;1;5;M;JUILLET;Claude;64;LR-UMP;7;Non;Non;Non;7.35;39.7816052467;7;1560;2.07;3.61;-0.109530684927;1212.2548028467716;1212
Pénélope CHALON_1_5;Pénélope CHALON;1;5;F;CHALON;Pénélope;31;FN;5;Non;Non;Non;7.35;39.7816052467;7;10990;14.61;25.4;-0.0969115379378;8791.969128876082;8792
Bertrand JACQUIER_1_5;Bertrand JACQUIER;1;5;M;JACQUIER;Bertrand;42;FG-FI;3;Non;Non;Non;7.35;39.7816052467;7;6601;8.78;15.26;-0.132206970749;4868.585059442914;4869
Damien ABAD_1_5;Damien ABAD;1;5;M;ABAD;Damien;37;LR-UMP;8;Oui;Oui;Oui;7.35;39.7816052467;7;9216;12.25;21.3;-0.0132123204398;8939.84822404372;8940
Mylène FERRI_1_5;Mylène FERRI;1;5;F;FERRI;Mylène;56;EXG;7;Non;Non;Non;7.35;39.7816052467;7;810;1.08;1.87;-0.0608858306888;704.043005427944;704
Carole PONTIER_1_5;Carole PONTIER;1;5;F;PONTIER;Carole;33;EELV;5;Non;Non;Non;7.35;39.7816052467;7;923;1.23;2.13;-0.0350501344194;851.4351329687465;851
Hélène DE MEIRE_1_5;Hélène DE MEIRE;1;5;F;DE MEIRE;Hélène;40;EM-MODEM;3;Non;Non;Non;7.35;39.7816052467;7;10156;13.5;23.48;0.00224899674355;10209.004518658803;10209
Christophe COULON_2_1;Christophe COULON;2;1;M;COULON;Christophe;44;LR-UMP;3;Non;Non;Non;13.75;41.072730146;4;7088;9.8;16.62;-0.0765972718197;5941.915030045029;5942
Brigitte FOURNIÉ TURQUIN_2_1;Brigitte FOURNIÉ TURQUIN;2;1;F;FOURNIÉ TURQUIN;Brigitte;58;EELV;7;Non;Non;Non;13.75;41.072730146;4;1563;2.16;3.66;-0.263261208912;852.5066376415151;853
Aude BONO-VANDORME_2_1;Aude BONO-VANDORME;2;1;F;BONO-VANDORME;Aude;54;EM-MODEM;4;Non;Non;Oui;13.75;41.072730146;4;8980;12.42;21.06;-0.0224079795447;8528.4156241425;8528
Damien PHILIPPOT_2_1;Damien PHILIPPOT;2;1;M;PHILIPPOT;Damien;39;FN;3;Non;Non;Non;13.75;41.072730146;4;14009;19.38;32.85;-0.0514998076239;12442.490781809956;12442
Jacques FERRAND_2_1;Jacques FERRAND;2;1;M;FERRAND;Jacques;21;LR-UMP;8;Non;Non;Non;13.75;41.072730146;4;1461;2.02;3.43;-0.161387745002;1007.5404036721849;1008
Fawaz KARIMET_2_1;Fawaz KARIMET;2;1;M;KARIMET;Fawaz;59;PS;3;Non;Non;Oui;13.75;41.072730146;4;2718;3.76;6.37;-0.0163701726209;2617.4553367215635;2617
Jean-Marc CHAMBLAY_2_1;Jean-Marc CHAMBLAY;2;1;M;CHAMBLAY;Jean-Marc;47;FG-FI;4;Non;Non;Non;13.75;41.072730146;4;6830;9.45;16.01;-0.0470706975959;6128.440953305194;6128
Julien DIVE_2_2;Julien DIVE;2;2;M;DIVE;Julien;32;LR-UMP;3;Oui;Oui;Oui;13.75;41.072730146;4;11765;15.91;27.4;-0.00371486954243;11664.793688511696;11665
Karl PINCHERELLE_2_2;Karl PINCHERELLE;2;2;M;PINCHERELLE;Karl;29;PS;3;Non;Non;Oui;13.75;41.072730146;4;8860;11.98;20.63;-0.028162875604;8303.684625481783;8304
Corinne BECOURT_2_2;Corinne BECOURT;2;2;F;BECOURT;Corinne;54;EXG;5;Non;Non;Non;13.75;41.072730146;4;778;1.05;1.81;0.0818337292227;981.5195622848354;982
Sarah LEMPEREUR_2_2;Sarah LEMPEREUR;2;2;F;LEMPEREUR;Sarah;30;FG-FI;8;Non;Non;Non;13.75;41.072730146;4;6488;8.77;15.11;-0.167767604649;4409.031854633943;4409
Sylvie SAILLARD-MEUNIER_2_2;Sylvie SAILLARD-MEUNIER;2;2;F;SAILLARD-MEUNIER;Sylvie;56;FN;3;Non;Non;Non;13.75;41.072730146;4;12815;17.33;29.84;-0.101182910657;10151.628115289686;10152
Michel MAGNIEZ_2_2;Michel MAGNIEZ;2;2;M;MAGNIEZ;Michel;34;EELV;4;Non;Non;Non;13.75;41.072730146;4;841;1.14;1.96;-0.115279290298;644.9361273976878;645
Jean-Christophe SEUBE_2_2;Jean-Christophe SEUBE;2;2;M;SEUBE;Jean-Christophe;58;LR-UMP;3;Non;Non;Non;13.75;41.072730146;4;1393;1.88;3.24;-0.0956010219381;1117.76393918507;1118
Alexandra MORTET_2_3;Alexandra MORTET;2;3;F;MORTET;Alexandra;36;FG-FI;5;Non;Non;Non;13.75;41.072730146;4;5348;7.85;13.51;-0.134923817785;3919.833144500917;3920
Christophe PARENT_2_3;Christophe PARENT;2;3;M;PARENT;Christophe;45;EELV;3;Non;Non;Non;13.75;41.072730146;4;673;0.99;1.7;-0.0963423267895;539.104227475558;539
Jean-Louis BRICOUT_2_3;Jean-Louis BRICOUT;2;3;M;BRICOUT;Jean-Louis;59;PS;3;Oui;Oui;Oui;13.75;41.072730146;4;2200;3.23;5.56;0.0434696032055;2458.8508715847606;2459
Alain HUSILLOS-CRESPO_2_3;Alain HUSILLOS-CRESPO;2;3;M;HUSILLOS-CRESPO;Alain;42;EM-MODEM;4;Non;Non;Non;13.75;41.072730146;4;7180;10.54;18.13;0.0369008881081;7878.695418603872;7879
Philippe TORRE_2_3;Philippe TORRE;2;3;M;TORRE;Philippe;52;LR-UMP;3;Non;Non;Non;13.75;41.072730146;4;1389;2.04;3.51;-0.0854692960838;1140.8615661003307;1141
Aurélien GALL_2_3;Aurélien GALL;2;3;M;GALL;Aurélien;34;EXG;5;Non;Non;Non;13.75;41.072730146;4;622;0.91;1.57;0.0631822716401;737.4889735370846;737
Laurent MARLOT_2_3;Laurent MARLOT;2;3;M;MARLOT;Laurent;49;LR-UMP;2;Non;Non;Oui;13.75;41.072730146;4;7707;11.31;19.47;-0.107312627429;6019.670662436767;6020
Paul-Henry HANSEN-CATTA_2_3;Paul-Henry HANSEN-CATTA;2;3;M;HANSEN-CATTA;Paul-Henry;60;FN;7;Non;Non;Non;13.75;41.072730146;4;14473;21.24;36.56;-0.0751180975067;12174.200909797448;12174
Jean MESSIHA_2_4;Jean MESSIHA;2;4;M;MESSIHA;Jean;46;FN;3;Non;Non;Non;13.75;41.072730146;4;14554;18.39;34.2;-0.068527580829;12429.532371394625;12430
Michel CARREAU_2_4;Michel CARREAU;2;4;M;CARREAU;Michel;69;EXG;7;Non;Non;Non;13.75;41.072730146;4;1111;1.4;2.61;0.0401998335778;1230.3199184922946;1230
Francis MEULEY_2_4;Francis MEULEY;2;4;M;MEULEY;Francis;62;EELV;8;Non;Non;Non;13.75;41.072730146;4;1430;1.81;3.36;-0.150886842754;1010.297305499112;1010
Sylvie HEYVAERTS_2_4;Sylvie HEYVAERTS;2;4;F;HEYVAERTS;Sylvie;53;FG-FI;4;Non;Non;Non;13.75;41.072730146;4;7946;10.04;18.67;-0.146422992606;5671.860856863108;5672
Marc DELATTE_2_4;Marc DELATTE;2;4;M;DELATTE;Marc;56;EM-MODEM;3;Non;Non;Non;13.75;41.072730146;4;10238;12.93;24.06;0.0448394465491;11487.42833274609;11487
Isabelle LÉTRILLART_2_4;Isabelle LÉTRILLART;2;4;F;LÉTRILLART;Isabelle;46;LR-UMP;8;Non;Non;Non;13.75;41.072730146;4;7280;9.2;17.11;-0.188817839082;4713.174726899514;4713
Dominique JOURDAIN_2_5;Dominique JOURDAIN;2;5;M;JOURDAIN;Dominique;68;EELV;7;Non;Non;Non;13.75;41.072730146;4;2491;3.03;6.05;-0.180838248345;1642.6138456548722;1643
Omar FENARDJI_2_5;Omar FENARDJI;2;5;M;FENARDJI;Omar;65;FG-FI;7;Non;Non;Non;13.75;41.072730146;4;9229;11.22;22.43;-0.0320812456854;8571.827058149167;8572
Jacques KRABAL_2_5;Jacques KRABAL;2;5;M;KRABAL;Jacques;69;EM-MODEM;7;Oui;Oui;Non;13.75;41.072730146;4;11119;13.52;27.02;0.122152015674;16467.83946934323;16468
Dominique MOYSE_2_5;Dominique MOYSE;2;5;M;MOYSE;Dominique;50;LR-UMP;3;Non;Non;Non;13.75;41.072730146;4;983;1.2;2.39;-0.0839747533469;810.1748632334375;810
Michelle SAPORI_2_5;Michelle SAPORI;2;5;F;SAPORI;Michelle;61;LR-UMP;2;Non;Non;Non;13.75;41.072730146;4;1743;2.12;4.24;-0.191804948563;1120.7079134457272;1121
François DE VOYER_2_5;François DE VOYER;2;5;M;DE VOYER;François;34;FN;2;Non;Non;Oui;13.75;41.072730146;4;15586;18.95;37.88;-0.0565989346506;13681.563713653868;13682
Luderce POINAMBALOM_3_1;Luderce POINAMBALOM;3;1;M;POINAMBALOM;Luderce;19;EELV;8;Non;Non;Non;10.5;45.1561753824;7;1283;1.43;2.95;-0.198563909757;812.1995538995616;812
Pierre-André PÉRISSOL_3_1;Pierre-André PÉRISSOL;3;1;M;PÉRISSOL;Pierre-André;70;LR-UMP;7;Non;Non;Oui;10.5;45.1561753824;7;10685;11.91;24.54;-0.147271142244;7612.080707251343;7612
Pauline RIVIERE_3_1;Pauline RIVIERE;3;1;F;RIVIERE;Pauline;33;EM-MODEM;4;Non;Non;Non;10.5;45.1561753824;7;13760;15.34;31.6;-0.026888067255;12933.925844934498;12934
Magali ALEXANDRE_3_1;Magali ALEXANDRE;3;1;F;ALEXANDRE;Magali;33;PS;4;Non;Non;Oui;10.5;45.1561753824;7;4168;4.65;9.57;-0.00305761064132;4138.758632981537;4139
Michèle CIUCH_3_1;Michèle CIUCH;3;1;F;CIUCH;Michèle;53;FN;5;Non;Non;Non;10.5;45.1561753824;7;10933;12.19;25.11;-0.110972642943;8467.724217049734;8468
Jean-Paul DUFRÈGNE_3_1;Jean-Paul DUFRÈGNE;3;1;M;DUFRÈGNE;Jean-Paul;59;EXG;4;Non;Non;Non;10.5;45.1561753824;7;1101;1.23;2.53;0.0580065599663;1284.5576307632139;1285
Corentin BLACHE_3_1;Corentin BLACHE;3;1;M;BLACHE;Corentin;19;LR-UMP;8;Non;Non;Non;10.5;45.1561753824;7;1611;1.8;3.7;-0.172030269956;1084.0898305016215;1084
Nicolas BRIEN_3_2;Nicolas BRIEN;3;2;M;BRIEN;Nicolas;28;PS;3;Non;Non;Oui;10.5;45.1561753824;7;3884;4.59;8.17;-0.014184523463;3759.1936444969065;3759
Daniel DUGLÉRY_3_2;Daniel DUGLÉRY;3;2;M;DUGLÉRY;Daniel;70;LR-UMP;7;Non;Non;Oui;10.5;45.1561753824;7;8058;9.52;16.95;-0.147271142244;5740.584589520948;5741
Sylvain BOURDIER_3_2;Sylvain BOURDIER;3;2;M;BOURDIER;Sylvain;48;FG-FI;5;Non;Non;Non;10.5;45.1561753824;7;9814;11.59;20.65;-0.085982851585;8051.2479588152155;8051
Elisabeth CAMUS_3_2;Elisabeth CAMUS;3;2;F;CAMUS;Elisabeth;61;FN;3;Non;Non;Non;10.5;45.1561753824;7;9728;11.49;20.46;-0.108641301921;7574.993421430615;7575
