Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp,qualifie
1_1;82694;48.29;MDM;Laurent MALLET;13534;16.37;33.89;oui
1_1;82694;48.29;LR;Xavier BRETON;10693;12.93;26.78;oui
1_1;82694;48.29;FN;Jérôme BUISSON;6174;7.47;15.46;non
1_1;82694;48.29;FI;Fabrine MARTIN ZEMLIK;3874;4.68;9.7;non
1_1;82694;48.29;SOC;Florence BLATRIX-CONTAT;3687;4.46;9.23;non
1_1;82694;48.29;COM;Jacques FONTAINE;656;0.79;1.64;non
1_1;82694;48.29;ECO;Laurane RAIMONDO;562;0.68;1.41;non
1_1;82694;48.29;EXG;Maude LÉPAGNOT;293;0.35;0.73;non
1_1;82694;48.29;DIV;Marie CARLIER;247;0.3;0.62;non
1_1;82694;48.29;DIV;Gilbert BONNOT;211;0.26;0.53;non
2_4;79116;43.61;REM;Marc DELATTE;9683;12.24;28.07;oui
2_4;79116;43.61;FN;Jean MESSIHA;8010;10.12;23.22;oui
2_4;79116;43.61;LR;Isabelle LÉTRILLART;6969;8.81;20.2;non
2_4;79116;43.61;FI;Sylvie HEYVAERTS;2995;3.79;8.68;non
2_4;79116;43.61;DVG;Marie-Françoise BECHTEL;2747;3.47;7.96;non
2_4;79116;43.61;COM;Michel CARREAU;2427;3.07;7.03;non
2_4;79116;43.61;ECO;Francis MEULEY;611;0.77;1.77;non
2_4;79116;43.61;EXG;Jean-Pierre VITU;463;0.59;1.34;non
2_4;79116;43.61;EXD;Caroline MARIOTTI;327;0.41;0.95;non
2_4;79116;43.61;DIV;Natacha ROSELET;268;0.34;0.78;non
2_5;82223;48.04;REM;Jacques KRABAL;14206;17.28;35.97;oui
2_5;82223;48.04;FN;François DE VOYER;10111;12.3;25.6;oui
2_5;82223;48.04;FI;Omar FENARDJI;3939;4.79;9.97;non
2_5;82223;48.04;UDI;Dominique MOYSE;3351;4.08;8.48;non
2_5;82223;48.04;DVD;Sébastien MANSCOURT;3227;3.92;8.17;non
2_5;82223;48.04;ECO;Dominique JOURDAIN;2426;2.95;6.14;non
2_5;82223;48.04;DLF;Michelle SAPORI;764;0.93;1.93;non
2_5;82223;48.04;DIV;Françoise VACCA;727;0.88;1.84;non
2_5;82223;48.04;EXG;Sylvie GÉRET;480;0.58;1.22;non
2_5;82223;48.04;DIV;Annick LECLERC;268;0.33;0.68;non
3_1;89654;50.95;REM;Pauline RIVIERE;13267;14.8;29.04;oui
3_1;89654;50.95;COM;Jean-Paul DUFRÈGNE;10351;11.55;22.66;oui
3_1;89654;50.95;LR;Pierre-André PÉRISSOL;9248;10.32;20.25;non
3_1;89654;50.95;FN;Michèle CIUCH;4706;5.25;10.3;non
3_1;89654;50.95;SOC;Magali ALEXANDRE;3079;3.43;6.74;non
3_1;89654;50.95;DVG;Jean MALLOT;2026;2.26;4.44;non
3_1;89654;50.95;DLF;Corentin BLACHE;896;1.0;1.96;non
3_1;89654;50.95;ECO;Luderce POINAMBALOM;894;1.0;1.96;non
3_1;89654;50.95;EXG;Jean-Marc COLLOT;460;0.51;1.01;non
3_1;89654;50.95;DIV;Albino AMATO;302;0.34;0.66;non
3_1;89654;50.95;DVG;Fabienne MOTTET;293;0.33;0.64;non
3_1;89654;50.95;DIV;Hasna DOMECK;157;0.18;0.34;non
3_2;84584;49.03;REM;Laurence VANCEUNEBROCK-MIALON;10827;12.8;26.11;oui
3_2;84584;49.03;LR;Daniel DUGLÉRY;9511;11.24;22.93;oui
3_2;84584;49.03;FI;Sylvain BOURDIER;7510;8.88;18.11;non
3_2;84584;49.03;SOC;Nicolas BRIEN;4725;5.59;11.39;non
3_2;84584;49.03;FN;Elisabeth CAMUS;4145;4.9;9.99;non
3_2;84584;49.03;ECO;Philippe BUVAT;1325;1.57;3.19;non
3_2;84584;49.03;ECO;Jean-Marie GUILLAUMIN;786;0.93;1.9;non
3_2;84584;49.03;DLF;Jean DEMASSE;707;0.84;1.7;non
3_2;84584;49.03;DIV;Philippe CHATEL;495;0.59;1.19;non
3_2;84584;49.03;EXG;Gilles ROCHE;396;0.47;0.95;non
3_2;84584;49.03;DVD;Dominique SÉGUIER;289;0.34;0.7;non
3_2;84584;49.03;DVD;Jean-Pierre FOURNIER;281;0.33;0.68;non
3_2;84584;49.03;EXD;Franck PICARD;207;0.24;0.5;non
3_2;84584;49.03;DIV;Céline DOMMANGET;199;0.24;0.48;non
3_2;84584;49.03;DIV;Thierry RICHARD;70;0.08;0.17;non
3_3;79177;49.73;REM;Bénédicte PEYROL;13562;17.13;34.44;oui
3_3;79177;49.73;LR;Gabriel MAQUIN;7784;9.83;19.77;oui
3_3;79177;49.73;RDG;Jacques DE CHABANNES;5526;6.98;14.03;non
3_3;79177;49.73;FN;Jean-Pierre SIGAUD;5226;6.6;13.27;non
3_3;79177;49.73;FI;Marie-Thérèse DUPUIS;3311;4.18;8.41;non
3_3;79177;49.73;ECO;Pascal DEVOS;1982;2.5;5.03;non
3_3;79177;49.73;DLF;Marie-Laure BECOUZE;909;1.15;2.31;non
3_3;79177;49.73;EXG;Bernard LEBEL;391;0.49;0.99;non
3_3;79177;49.73;DIV;Annie DEMMEL;304;0.38;0.77;non
3_3;79177;49.73;DIV;Ahmed GHLAMALLAH;202;0.26;0.51;non
3_3;79177;49.73;EXD;Guillaume DE LONGEVILLE;176;0.22;0.45;non
4_1;61143;50.85;REM;Delphine BAGARRY;10640;17.4;34.22;oui
4_1;61143;50.85;FN;Odile BRUN;5502;9.0;17.7;oui
4_1;61143;50.85;FI;Emmanuelle GAZIELLO;4736;7.75;15.23;non
4_1;61143;50.85;UDI;Brigitte BEAUMEYER;2295;3.75;7.38;non
4_1;61143;50.85;ECO;Colette CHARRIAU;1621;2.65;5.21;non
4_1;61143;50.85;COM;Gérard ESMIOL;1580;2.58;5.08;non
4_1;61143;50.85;DLF;Marie-Anne BAUDOUI MAUREL;1299;2.12;4.18;non
4_1;61143;50.85;DVD;Bruno BOURJAC;1225;2.0;3.94;non
4_1;61143;50.85;RDG;Florence VITI-BERTIN;861;1.41;2.77;non
4_1;61143;50.85;DIV;Bruno POTIE;568;0.93;1.83;non
4_1;61143;50.85;ECO;Jonathan BARBARIN;401;0.66;1.29;non
4_1;61143;50.85;DIV;Claire BOUVIER;227;0.37;0.73;non
4_1;61143;50.85;EXG;Catherine ZAPARTY;137;0.22;0.44;non
4_2;65326;51.99;REM;Christophe CASTANER;14957;22.9;44.04;oui
4_2;65326;51.99;FI;Léo WALTER;5622;8.61;16.55;oui
4_2;65326;51.99;FN;Christian GIRARD;4611;7.06;13.58;non
4_2;65326;51.99;DVD;Jean-Claude CASTEL;3861;5.91;11.37;non
4_2;65326;51.99;LR;Sébastien GINET;1565;2.4;4.61;non
4_2;65326;51.99;COM;Isabelle THIBAULT;877;1.34;2.58;non
4_2;65326;51.99;ECO;Claudine RAZEAU;786;1.2;2.31;non
4_2;65326;51.99;DLF;Noël CHUISANO;534;0.82;1.57;non
4_2;65326;51.99;DVG;Christine CYPRIANI-MOUTON;378;0.58;1.11;non
4_2;65326;51.99;DIV;Nathalie HUE-COURTIN;316;0.48;0.93;non
4_2;65326;51.99;DIV;Christophe BRAVARD;236;0.36;0.69;non
4_2;65326;51.99;EXG;Henri CYVOCT;218;0.33;0.64;non
5_1;57757;50.2;REM;Pascale BOYER;9258;16.03;31.93;oui
5_1;57757;50.2;LR;Catherine ASSO;4084;7.07;14.09;oui
5_1;57757;50.2;FN;Patrick DEROIN;3938;6.82;13.58;non
5_1;57757;50.2;FI;Éléonore FLANDIN;3548;6.14;12.24;non
5_1;57757;50.2;SOC;Karine BERGER;3320;5.75;11.45;non
5_1;57757;50.2;DIV;Jean-Marc PASSERON;2317;4.01;7.99;non
5_1;57757;50.2;COM;Pierre VILLARD;884;1.53;3.05;non
5_1;57757;50.2;DVD;Jean-Pierre COYRET;547;0.95;1.89;non
5_1;57757;50.2;ECO;Chantal SARRUT;427;0.74;1.47;non
5_1;57757;50.2;ECO;Marcelle BUCHLIN-SCHWENDEMANN;314;0.54;1.08;non
5_1;57757;50.2;DIV;Brigitte BOURG;197;0.34;0.68;non
5_1;57757;50.2;EXG;Boris GUIGNARD;160;0.28;0.55;non
5_2;52160;54.43;REM;Joël GIRAUD;12566;24.09;44.26;oui
5_2;52160;54.43;DVD;Arnaud MURGIA;3683;7.06;12.97;oui
5_2;52160;54.43;FI;Christophe TASSAUX;3357;6.44;11.82;non
5_2;52160;54.43;FN;Laurence LEGUEM;3034;5.82;10.69;non
5_2;52160;54.43;UDI;Chantal EYMEOUD;3029;5.81;10.67;non
5_2;52160;54.43;ECO;Agnès ANTOINE;2224;4.26;7.83;non
5_2;52160;54.43;DIV;Florian DEMMEL;204;0.39;0.72;non
5_2;52160;54.43;EXG;Véronique BUISSON;148;0.28;0.52;non
5_2;52160;54.43;DIV;Yann ESPINOSA;146;0.28;0.51;non
6_1;80466;48.4;LR;Eric CIOTTI;13630;16.94;35.0;oui
6_1;80466;48.4;REM;Caroline REVERSO-MEINIETTI;12599;15.66;32.35;oui
6_1;80466;48.4;FN;Jean-Pierre DAUGREILH;4865;6.05;12.49;non
6_1;80466;48.4;FI;Robert INJEY;4116;5.12;10.57;non
6_1;80466;48.4;SOC;Yann LIBRATI;1229;1.53;3.16;non
6_1;80466;48.4;ECO;Christian RAZEAU;912;1.13;2.34;non
6_1;80466;48.4;ECO;Moussa BA;388;0.48;1.0;non
6_1;80466;48.4;DLF;Thomas CALVIFIORI;300;0.37;0.77;non
6_1;80466;48.4;DIV;Sophie TAAM;217;0.27;0.56;non
6_1;80466;48.4;DIV;Eric BOIZET;216;0.27;0.55;non
6_1;80466;48.4;EXG;Agnès BENKEMOUN;200;0.25;0.51;non
6_1;80466;48.4;DVD;Michel COTTA;197;0.24;0.51;non
6_1;80466;48.4;DVG;Diane MÉDUS;75;0.09;0.19;non
6_2;85504;47.53;REM;Loîc DOMBREVAL;14364;16.8;35.34;oui
6_2;85504;47.53;FN;Jérôme COCHET;9166;10.72;22.55;oui
6_2;85504;47.53;UDI;Anne SATTONNET;8546;9.99;21.03;non
6_2;85504;47.53;FI;Sonia NAFFATI;3942;4.61;9.7;non
6_2;85504;47.53;COM;Jean-Louis FIORI;1545;1.81;3.8;non
6_2;85504;47.53;ECO;Brigitte REYNARD;1511;1.77;3.72;non
6_2;85504;47.53;DLF;Eliette TROUCHE;771;0.9;1.9;non
6_2;85504;47.53;DIV;Axel THOMAS;338;0.4;0.83;non
6_2;85504;47.53;EXG;Alain BOUILLEAUX;270;0.32;0.66;non
6_2;85504;47.53;DVD;Pierre VALET;183;0.21;0.45;non
6_2;85504;47.53;DVD;Stéphane CASSARINI;8;0.01;0.02;non
6_3;89137;44.75;REM;Cédric ROUSSEL;12727;14.28;31.91;oui
6_3;89137;44.75;FN;Philippe VARDON;8476;9.51;21.25;oui
6_3;89137;44.75;UDI;Rudy SALLES;8176;9.17;20.5;non
6_3;89137;44.75;FI;Bruno COULET;4459;5.0;11.18;non
6_3;89137;44.75;SOC;Raphaël GALMICHE;1284;1.44;3.22;non
6_3;89137;44.75;ECO;Juliette CHESNEL-LE ROUX;1061;1.19;2.66;non
6_3;89137;44.75;DVD;Stanislas ANDRE;838;0.94;2.1;non
6_3;89137;44.75;DLF;Muriel LOUBET;739;0.83;1.85;non
6_3;89137;44.75;DVD;Chantal FONTANESI;707;0.79;1.77;non
6_3;89137;44.75;DIV;Eric GILLI;452;0.51;1.13;non
6_3;89137;44.75;DIV;Isabelle DI MASCIO;395;0.44;0.99;non
6_3;89137;44.75;DIV;Geneviève BLACHE;235;0.26;0.59;non
6_3;89137;44.75;EXG;Marie-José PEREIRA;197;0.22;0.49;non
6_3;89137;44.75;DIV;Karim AKASBI;116;0.13;0.29;non
6_3;89137;44.75;DIV;Renaud DECONDE;28;0.03;0.07;non
6_3;89137;44.75;DVD;Didier ASIN;0;0.0;0.0;non
6_4;85585;45.71;REM;Alexandra VALETTA ARDISSON;11045;12.91;28.23;oui
6_4;85585;45.71;FN;Olivier BETTATI;9139;10.68;23.36;oui
6_4;85585;45.71;LR;Xavier BECK;8075;9.44;20.64;non
6_4;85585;45.71;FI;Zohra BRIAND;2637;3.08;6.74;non
6_4;85585;45.71;COM;Michaël ALBIN;2310;2.7;5.9;non
6_4;85585;45.71;DIV;Anthony MALVAULT;1991;2.33;5.09;non
6_4;85585;45.71;ECO;Laurent LANQUAR-CASTIEL;933;1.09;2.38;non
6_4;85585;45.71;EXD;Nicolas ZAHAR;703;0.82;1.8;non
6_4;85585;45.71;ECO;Jean-Philippe SECORDEL-MARTIN;684;0.8;1.75;non
6_4;85585;45.71;DLF;Jean-Marc CHIPOT;616;0.72;1.57;non
6_4;85585;45.71;DIV;Jennifer VARIN;407;0.48;1.04;non
6_4;85585;45.71;DIV;René MAIOLINO;258;0.3;0.66;non
6_4;85585;45.71;EXG;Joseph MARKIEL;169;0.2;0.43;non
6_4;85585;45.71;DIV;Géraldine HOCHET;157;0.18;0.4;non
6_5;87903;43.55;LR;Marine BRENIER;11090;12.62;28.97;oui
6_5;87903;43.55;FN;Chantal AGNELY;8948;10.18;23.37;oui
6_5;87903;43.55;DIV;Daniel BRUN;7192;8.18;18.79;non
6_5;87903;43.55;FI;Philippe PELLEGRINI;3978;4.53;10.39;non
6_5;87903;43.55;DVD;Benoit KANDEL;1773;2.02;4.63;non
6_5;87903;43.55;SOC;Jacqueline DEVIER;1472;1.67;3.84;non
6_5;87903;43.55;DLF;Thibault DELHEZ;868;0.99;2.27;non
6_5;87903;43.55;ECO;Maryse ULLMANN;807;0.92;2.11;non
6_5;87903;43.55;ECO;Christine BEYL;611;0.7;1.6;non
6_5;87903;43.55;DIV;Feïza BEN MOHAMED;397;0.45;1.04;non
6_5;87903;43.55;DIV;Richard ZANCA;350;0.4;0.91;non
6_5;87903;43.55;DVD;Romain ICART;286;0.33;0.75;non
6_5;87903;43.55;DIV;Patricia NEY;259;0.29;0.68;non
6_5;87903;43.55;EXG;Jean-Marie ALEXANDRE;182;0.21;0.48;non
6_5;87903;43.55;DVD;Jean-Philippe LEFEVRE;72;0.08;0.19;non
6_6;78005;46.75;MDM;Nathalie AUDIN;12047;15.44;33.04;oui
6_6;78005;46.75;LR;Laurence TRASTOUR-ISNART;10010;12.83;27.45;oui
6_6;78005;46.75;FN;Yoann SALIBA;7526;9.65;20.64;non
6_6;78005;46.75;FI;Prune HELFTER-NOAH;2416;3.1;6.63;non
6_6;78005;46.75;DLF;Lionel DOLCIANI;920;1.18;2.52;non
6_6;78005;46.75;ECO;Antoine MARCHESE;686;0.88;1.88;non
6_6;78005;46.75;COM;Jean-François TÉALDI;590;0.76;1.62;non
6_6;78005;46.75;SOC;Michel GAILLARD;568;0.73;1.56;non
6_6;78005;46.75;ECO;Jérôme PARISE;561;0.72;1.54;non
6_6;78005;46.75;DIV;Frédérique SAJAN;464;0.59;1.27;non
6_6;78005;46.75;DIV;Gilles MARCEAU;243;0.31;0.67;non
6_6;78005;46.75;DIV;Cyril COUSINIÉ;175;0.22;0.48;non
6_6;78005;46.75;DIV;Valérie SACHÉ GROUÈS;120;0.15;0.33;non
6_6;78005;46.75;EXG;Danièle BARTOLI;114;0.15;0.31;non
6_6;78005;46.75;DIV;Patrick ROBBE;25;0.03;0.07;non
1_5;75359;48.31;LR;Damien ABAD;12743;16.91;35.0;oui
1_5;75359;48.31;REM;Hélène DE MEIRE;9149;12.14;25.13;oui
1_5;75359;48.31;FN;Pénélope CHALON;5599;7.43;15.38;non
1_5;75359;48.31;FI;Bertrand JACQUIER;3759;4.99;10.32;non
1_5;75359;48.31;ECO;Carole PONTIER;1051;1.39;2.89;non
1_5;75359;48.31;SOC;Elodie SCHWANDER;1032;1.37;2.83;non
1_5;75359;48.31;COM;Mylène FERRI;809;1.07;2.22;non
1_5;75359;48.31;DIV;Ahmet CETIN;721;0.96;1.98;non
1_5;75359;48.31;DLF;Claude JUILLET;637;0.85;1.75;non
1_5;75359;48.31;DIV;Monique MEUDAN;398;0.53;1.09;non
1_5;75359;48.31;DIV;Jean-Philippe ARCHENY;231;0.31;0.63;non
1_5;75359;48.31;EXG;Guy LARGERON;158;0.21;0.43;non
1_5;75359;48.31;EXG;Jean-Michel BOULMÉ;121;0.16;0.33;non
2_2;73981;44.83;LR;Julien DIVE;12099;16.35;36.48;oui
2_2;73981;44.83;FN;Sylvie SAILLARD-MEUNIER;8349;11.29;25.17;oui
2_2;73981;44.83;DIV;Paul GIRONDE;4005;5.41;12.07;non
2_2;73981;44.83;FI;Sarah LEMPEREUR;3457;4.67;10.42;non
2_2;73981;44.83;SOC;Karl PINCHERELLE;2309;3.12;6.96;non
2_2;73981;44.83;ECO;Michel MAGNIEZ;721;0.97;2.17;non
2_2;73981;44.83;COM;Corinne BECOURT;694;0.94;2.09;non
2_2;73981;44.83;DLF;Jean-Christophe SEUBE;607;0.82;1.83;non
2_2;73981;44.83;EXG;Anne ZANDITÉNAS;297;0.4;0.9;non
2_2;73981;44.83;DVG;Antonio RIBEIRO;191;0.26;0.58;non
2_2;73981;44.83;DIV;Antoine CID;174;0.24;0.52;non
2_2;73981;44.83;ECO;Nora DAUBIN;163;0.22;0.49;non
2_2;73981;44.83;DIV;Belaïdi LOGRADA;103;0.14;0.31;non
1_4;89390;48.14;REM;Stéphane TROMPILLE;15492;17.33;36.0;oui
1_4;89390;48.14;FN;Blanche CHAUSSAT;7964;8.91;18.51;oui
1_4;89390;48.14;LR;Guy BILLOUDET;7178;8.03;16.68;non
1_4;89390;48.14;FI;Line HUGUET;3426;3.83;7.96;non
1_4;89390;48.14;UDI;Muriel LUGA GIRAUD;3164;3.54;7.35;non
1_4;89390;48.14;RDG;Sylviane CHÊNE;2025;2.27;4.71;non
1_4;89390;48.14;ECO;Anne PARTENSKY-LEIBMAN;1391;1.56;3.23;non
1_4;89390;48.14;DLF;Annick VEILLEROT;860;0.96;2.0;non
1_4;89390;48.14;DIV;Olivia SYMNIACOS;459;0.51;1.07;non
1_4;89390;48.14;COM;Catherine LATTARD;348;0.39;0.81;non
1_4;89390;48.14;DIV;Yves ANTOINETTE;232;0.26;0.54;non
1_4;89390;48.14;DIV;Thierry LOUBIGNES;199;0.22;0.46;non
1_4;89390;48.14;EXG;Electre DRACOS;198;0.22;0.46;non
1_4;89390;48.14;DIV;Xavier ADAM;97;0.11;0.23;non
6_8;81989;43.77;REM;Philippe BUERCH;11199;13.66;31.21;oui
6_8;81989;43.77;LR;Bernard BROCHAND;10919;13.32;30.43;oui
6_8;81989;43.77;FN;Anne KESSLER;7363;8.98;20.52;non
6_8;81989;43.77;FI;Maddy VARD;2264;2.76;6.31;non
6_8;81989;43.77;ECO;Fabien TORRES;675;0.82;1.88;non
6_8;81989;43.77;SOC;Antoine BABU;664;0.81;1.85;non
6_8;81989;43.77;ECO;Daniel KAHN;539;0.66;1.5;non
6_8;81989;43.77;DLF;Pamela BIATOUR;530;0.65;1.48;non
6_8;81989;43.77;DVD;David BAYLE;414;0.5;1.15;non
6_8;81989;43.77;COM;Christine SCHOUVER;388;0.47;1.08;non
6_8;81989;43.77;ECO;Virginie DESPEGHEL;374;0.46;1.04;non
6_8;81989;43.77;ECO;Jean-Pierre VILLON;228;0.28;0.64;non
6_8;81989;43.77;DIV;Denise GRISON;163;0.2;0.45;non
6_8;81989;43.77;EXG;Liliane PECOUT;119;0.15;0.33;non
6_8;81989;43.77;DIV;Anne LEMPEREUR;47;0.06;0.13;non
1_3;75614;44.98;REM;Olga GIVERNET;15405;20.37;45.3;oui
1_3;75614;44.98;LR;Stéphanie PERNOD BEAUDON;7281;9.63;21.41;oui
1_3;75614;44.98;FN;Gaëtan NOBLET;3808;5.04;11.2;non
1_3;75614;44.98;FI;Christian JOLIE;3064;4.05;9.01;non
1_3;75614;44.98;ECO;Jean MERCIER;1496;1.98;4.4;non
1_3;75614;44.98;SOC;Géraldine SACCHI-HASSANEIN;1468;1.94;4.32;non
1_3;75614;44.98;DIV;Thierry BORNE;488;0.65;1.43;non
1_3;75614;44.98;COM;Jean Sébastien BLOCH;431;0.57;1.27;non
1_3;75614;44.98;DIV;Frédéric MOZER;361;0.48;1.06;non
1_3;75614;44.98;EXG;Éric LAHY;147;0.19;0.43;non
1_3;75614;44.98;DVG;Fabrice GENTILE;59;0.08;0.17;non
2_1;72345;48.22;REM;Aude BONO-VANDORME;10043;13.88;28.79;oui
2_1;72345;48.22;FN;Damien PHILIPPOT;9114;12.6;26.13;oui
2_1;72345;48.22;LR;Christophe COULON;5653;7.81;16.2;non
2_1;72345;48.22;SOC;Fawaz KARIMET;4856;6.71;13.92;non
2_1;72345;48.22;FI;Jean-Marc CHAMBLAY;2479;3.43;7.11;non
2_1;72345;48.22;ECO;Brigitte FOURNIÉ TURQUIN;1306;1.81;3.74;non
2_1;72345;48.22;DLF;Jacques FERRAND;491;0.68;1.41;non
2_1;72345;48.22;EXG;Jean-Loup PERNELLE;424;0.59;1.22;non
2_1;72345;48.22;DIV;Antoine GOBLET;260;0.36;0.75;non
2_1;72345;48.22;DIV;Eric BOULAY;259;0.36;0.74;non
6_7;92905;47.73;LR;Eric PAUGET;14279;15.37;32.2;oui
6_7;92905;47.73;REM;Khaled BEN ABDERRAHMANE;14225;15.31;32.08;oui
6_7;92905;47.73;FN;Lionel TIVOLI;6718;7.23;15.15;non
6_7;92905;47.73;FI;Philippe CARENZO;3182;3.43;7.18;non
6_7;92905;47.73;ECO;Elisabeth DEBORDE;1535;1.65;3.46;non
6_7;92905;47.73;COM;Cécile DUMAS;1138;1.22;2.57;non
6_7;92905;47.73;DLF;Sophie MORI;964;1.04;2.17;non
6_7;92905;47.73;ECO;Marie-José VALLADE;780;0.84;1.76;non
6_7;92905;47.73;DVD;Stéphane NEDONSEL;529;0.57;1.19;non
6_7;92905;47.73;ECO;Maurice GILLARD;335;0.36;0.76;non
6_7;92905;47.73;DIV;Virginie PACOREL;294;0.32;0.66;non
6_7;92905;47.73;DVG;Thierry BITOUZÉ;227;0.24;0.51;non
6_7;92905;47.73;EXG;Christian PETARD;136;0.15;0.31;non
6_9;79934;46.66;REM;Dominique FILLEBEEN;12869;16.1;34.5;oui
6_9;79934;46.66;LR;Michèle TABAROT;10912;13.65;29.25;oui
6_9;79934;46.66;FN;Nathalie PAVARD;6815;8.53;18.27;non
6_9;79934;46.66;FI;Denis LEBLANC;2580;3.23;6.92;non
6_9;79934;46.66;ECO;Didier CHÉREL;1060;1.33;2.84;non
6_9;79934;46.66;SOC;Louis ACACIO;761;0.95;2.04;non
6_9;79934;46.66;ECO;Pascal DUCREUX;703;0.88;1.88;non
6_9;79934;46.66;DLF;Jean-Luc BURGAUD;623;0.78;1.67;non
6_9;79934;46.66;COM;Odile CLEMENTE;489;0.61;1.31;non
6_9;79934;46.66;DIV;David PAUCHET;227;0.28;0.61;non
6_9;79934;46.66;DIV;Ludovic BROSSY;144;0.18;0.39;non
6_9;79934;46.66;EXG;Véronique FRESSIGNAUD;117;0.15;0.31;non
2_3;68099;46.7;FN;Paul-Henry HANSEN-CATTA;8113;11.91;25.51;oui
2_3;68099;46.7;SOC;Jean-Louis BRICOUT;7556;11.1;23.76;oui
2_3;68099;46.7;MDM;Alain HUSILLOS-CRESPO;5755;8.45;18.1;non
2_3;68099;46.7;LR;Laurent MARLOT;4841;7.11;15.22;non
2_3;68099;46.7;FI;Alexandra MORTET;2352;3.45;7.4;non
2_3;68099;46.7;DLF;Philippe TORRE;1242;1.82;3.91;non
2_3;68099;46.7;ECO;Christophe PARENT;767;1.13;2.41;non
2_3;68099;46.7;COM;Aurélien GALL;613;0.9;1.93;non
2_3;68099;46.7;EXG;Laetitia VOISIN;358;0.53;1.13;non
2_3;68099;46.7;DIV;Clémence THÉRY-HERMAIN;207;0.3;0.65;non
9_1;56735;53.29;REM;Jérôme AZEMA;9478;16.71;31.35;oui
9_1;56735;53.29;FI;Bénédicte TAURINE;6125;10.8;20.26;oui
9_1;56735;53.29;SOC;Martine ESTEBAN;4093;7.21;13.54;non
9_1;56735;53.29;FN;Laurence LEFORT;3618;6.38;11.97;non
9_1;56735;53.29;DIV;Eric DONZÉ;2197;3.87;7.27;non
9_1;56735;53.29;LR;Marie-Noëlle SAMARCQ;1616;2.85;5.34;non
9_1;56735;53.29;ECO;Florence CORTÈS;1275;2.25;4.22;non
9_1;56735;53.29;COM;José NAVARRO;929;1.64;3.07;non
9_1;56735;53.29;ECO;Jean-François ASTIER;416;0.73;1.38;non
9_1;56735;53.29;DIV;Robin CASSAN;258;0.45;0.85;non
9_1;56735;53.29;EXG;Gisèle LAPEYRE;231;0.41;0.76;non
9_2;60698;52.29;REM;Huguette BERTRAND-VINZERICH;8161;13.45;25.71;oui
9_2;60698;52.29;FI;Michel LARIVE;5977;9.85;18.83;oui
9_2;60698;52.29;SOC;Alain FAURÉ;5602;9.23;17.65;non
9_2;60698;52.29;LR;Philippe CALLEJA;4636;7.64;14.61;non
9_2;60698;52.29;FN;Bernard GONDRAN;4437;7.31;13.98;non
9_2;60698;52.29;ECO;Jérôme BROSSERON;1272;2.1;4.01;non
9_2;60698;52.29;COM;Vincent HEREDIA;671;1.11;2.11;non
9_2;60698;52.29;UDI;Bernadette DEDIEU-COUMENAY;327;0.54;1.03;non
9_2;60698;52.29;DLF;Guy DJEDAINI;259;0.43;0.82;non
9_2;60698;52.29;EXG;Berthe RATSIMBA;201;0.33;0.63;non
9_2;60698;52.29;DIV;Dominique ALLEMAND;194;0.32;0.61;non
10_1;64357;50.63;REM;Grégory BESSON-MOREAU;9730;15.12;29.86;oui
10_1;64357;50.63;LR;Nicolas DHUICQ;8369;13.0;25.69;oui
10_1;64357;50.63;FN;Bruno SUBTIL;8109;12.6;24.89;oui
10_1;64357;50.63;FI;Michel BACH;2500;3.88;7.67;non
10_1;64357;50.63;ECO;Michel GUÉRITTE;875;1.36;2.69;non
10_1;64357;50.63;DIV;Emmanuel PROVIN;852;1.32;2.61;non
10_1;64357;50.63;COM;Marie GATARD-LAFOND;558;0.87;1.71;non
10_1;64357;50.63;ECO;Ghislain WYSOCINSKI;353;0.55;1.08;non
10_1;64357;50.63;DVD;Yves SAMONATI;333;0.52;1.02;non
10_1;64357;50.63;DIV;Claude HECQUET;274;0.43;0.84;non
10_1;64357;50.63;EXG;Lionel PAILLARD;220;0.34;0.68;non
10_1;64357;50.63;DIV;Emmanuel CHATHUANT;216;0.34;0.66;non
10_1;64357;50.63;DIV;Annie DARDE;194;0.3;0.6;non
8_2;63882;43.65;LR;Pierre CORDIER;7212;11.29;25.86;oui
8_2;63882;43.65;REM;Mario IGLESIAS;6269;9.81;22.48;oui
8_2;63882;43.65;FN;Guillaume LUCZKA;5424;8.49;19.45;non
8_2;63882;43.65;SOC;Christophe LEONARD;4612;7.22;16.54;non
8_2;63882;43.65;FI;Michel CARTIAUX;2971;4.65;10.65;non
8_2;63882;43.65;COM;Igor NIVELET;609;0.95;2.18;non
8_2;63882;43.65;ECO;Jean PIERRARD;397;0.62;1.42;non
8_2;63882;43.65;EXG;Mink TAKAWÉ;237;0.37;0.85;non
8_2;63882;43.65;DIV;Laurence CAHAGNE;154;0.24;0.55;non
7_3;78267;54.68;REM;Matthieu PEYRAUD;10748;13.73;25.11;oui
7_3;78267;54.68;LR;Fabrice BRUN;8365;10.69;19.55;oui
7_3;78267;54.68;SOC;Sabine BUIS;7741;9.89;18.09;non
7_3;78267;54.68;FI;Alain JOFFRE;5970;7.63;13.95;non
7_3;78267;54.68;FN;Thierry ARSAC;5064;6.47;11.83;non
7_3;78267;54.68;ECO;Guillaume VERMOREL;1881;2.4;4.4;non
7_3;78267;54.68;COM;Carole DAUDAN;1114;1.42;2.6;non
