CORNET;FN
NGUYEN DEROSIER;SOC
ARIES;ECO
SAVIGNAT;LR
SALLANTIN;ECO
GAUCHER;REG
FANOUNI;DIV
SAIB;FI
BOISNAULT;DVD
LEBAILLIF;DIV
HALBIN;EXG
LAPEYRE;ECO
FRANCOIS;EXD
VUILLEMIN;DVD
GILIBERT;EXD
CARVAJAL DELGADO;DIV
VINET;DLF
HADIZADEH;SOC
VUILLETET;REM
MAMLOUK;DVG
DENIS;ECO
RUIZ;COM
PONIATOWSKI;LR
GEOFFROY-MARTIN;FI
OZDEMIR;DIV
ABBASSI;ECO
HAYES;DIV
CAPDET;FN
NEFTIA;EXG
MOULINES;EXD
