Circo;Inscrits;%_Exp/Ins;Couleur;Nom;Voix;%_Voix/Ins;%_Voix/Exp;qualifie
59_9;91618;38.33;REM;Valérie PETIT;18281;19.95;52.06;elu
59_9;91618;38.33;LR;Bernard GERARD;16837;18.38;47.94;non
59_10;82008;28.71;LR;Vincent LEDOUX;13168;16.06;55.93;elu
59_10;82008;28.71;REM;Sophie TAÏEB;10374;12.65;44.07;non
59_12;93580;37.75;REM;Anne Laure CATTELOT;19089;20.4;54.04;elu
59_12;93580;37.75;FN;Gérard PHILIPPE;16236;17.35;45.96;non
59_5;99876;38.38;LR;Sébastien HUYGHE;21284;21.31;55.52;elu
59_5;99876;38.38;REM;Guillaume DEKONINCK;17053;17.07;44.48;non
59_13;89284;38.1;DVG;Christian HUTIN;21538;24.12;63.32;elu
59_13;89284;38.1;FN;Philippe EYMERY;12478;13.98;36.68;non
59_11;92067;36.62;REM;Laurent PIETRASZEWSKI;22645;24.6;67.17;elu
59_11;92067;36.62;FN;Nathalie ACS;11067;12.02;32.83;non
59_15;95872;42.14;REM;Jennifer DE TEMMERMAN;24529;25.59;60.72;elu
59_15;95872;42.14;FN;Pascal PRINCE;15871;16.55;39.28;non
59_17;73599;36.87;REM;Dimitri HOUBRON;14442;19.62;53.21;elu
59_17;73599;36.87;FN;Thibaut FRANCOIS;12697;17.25;46.79;non
59_18;91572;37.16;UDI;Guy BRICOUT;21669;23.66;63.67;elu
59_18;91572;37.16;REM;Claire POMMEYROL-BURLET;12363;13.5;36.33;non
59_20;81103;35.97;COM;Fabien ROUSSEL;18633;22.97;63.88;elu
59_20;81103;35.97;FN;Ludovic DE DANNE;10538;12.99;36.12;non
59_14;98782;39.88;LR;Paul CHRISTOPHE;25162;25.47;63.88;elu
59_14;98782;39.88;REM;Julien LEMAITTE;14229;14.4;36.12;non
60_1;82958;41.13;LR;Olivier DASSAULT;22885;27.59;67.07;elu
60_1;82958;41.13;REM;Denis FLOUR;11237;13.55;32.93;non
60_2;88736;39.48;REM;Agnès THILL;19158;21.59;54.68;elu
60_2;88736;39.48;FN;Gaëtan DUSSAUSAYE;15877;17.89;45.32;non
60_3;73889;33.55;REM;Pascal BOIS;14300;19.35;57.68;elu
60_3;73889;33.55;FN;Philippe MURER;10493;14.2;42.32;non
59_21;82589;34.99;UDI;Béatrice DESCAMPS;18126;21.95;62.72;elu
59_21;82589;34.99;FN;Valérie CAUDRON;10774;13.05;37.28;non
60_6;75229;40.1;REM;Carole BUREAU-BONNARD;17619;23.42;58.4;elu
60_6;75229;40.1;FN;Michel GUINIOT;12548;16.68;41.6;non
59_16;83023;36.78;COM;Alain BRUNEEL;17057;20.54;55.86;elu
59_16;83023;36.78;FN;Hortense DE MEREUIL;13478;16.23;44.14;non
60_4;92500;40.34;LR;Eric WOERTH;19396;20.97;51.98;elu
60_4;92500;40.34;REM;Stéphanie LOZANO;17916;19.37;48.02;non
59_19;79087;36.58;FN;Sébastien CHENU;16013;20.25;55.35;elu
59_19;79087;36.58;MDM;Sabine HEBBAR;12920;16.34;44.65;non
60_5;72842;37.65;LR;Pierre VATIN;15347;21.07;55.96;elu
60_5;72842;37.65;REM;Emmanuelle BOUR;12076;16.58;44.04;non
60_7;76096;37.42;LR;Maxime MINOT;17235;22.65;60.52;elu
60_7;76096;37.42;REM;Jean-François DARDENNE;11242;14.77;39.48;non
61_1;69513;41.63;SOC;Joaquim PUEYO;15192;21.85;52.5;elu
61_1;69513;41.63;DVD;Christine ROIMIER;13746;19.77;47.5;non
61_3;71645;45.79;LR;Jérôme NURY;18397;25.68;56.08;elu
61_3;71645;45.79;REM;Isabelle BOSCHER;14407;20.11;43.92;non
62_1;104385;43.94;MDM;Bruno DUVERGÉ;24770;23.73;54.01;elu
62_1;104385;43.94;FN;Agnès CAUDRON;21093;20.21;45.99;non
62_2;85128;40.97;REM;Jacqueline MAQUET;22847;26.84;65.51;elu
62_2;85128;40.97;FN;Alban HEUSELE;12028;14.13;34.49;non
62_3;85611;35.96;FN;José EVRARD;16298;19.04;52.94;elu
62_3;85611;35.96;MDM;Patrick DEBRUYNE;14485;16.92;47.06;non
62_4;88520;50.1;LR;Daniel FASQUELLE;23147;26.15;52.19;elu
62_4;88520;50.1;REM;Thibaut GUILLUY;21204;23.95;47.81;non
62_5;90116;37.3;REM;Jean-Pierre PONT;20514;22.76;61.03;elu
62_5;90116;37.3;FN;Antoine GOLLIOT;13101;14.54;38.97;non
62_6;91198;45.01;REM;Brigitte BOURGUIGNON;24970;27.38;60.84;elu
62_6;91198;45.01;FN;Marie-Christine BOURGEOIS;16074;17.63;39.16;non
61_2;67447;43.84;LR;Véronique LOUWAGIE;16182;23.99;54.73;elu
61_2;67447;43.84;REM;Ophélie LEROUGE;13386;19.85;45.27;non
62_7;93283;37.51;LR;Pierre-Henri DUMONT;21284;22.82;60.83;elu
62_7;93283;37.51;FN;Philippe OLIVIER;13707;14.69;39.17;non
62_8;93014;40.58;REM;Benoit POTTERIE;21431;23.04;56.78;elu
