code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_m1_reel;prediction;voixT2_modele2
2;2;Aisne;1;Aude BONO-VANDORME_2_1;1ère circonscription;F;BONO-VANDORME;Aude;54;EM-MODEM;4;Non;Non;Oui;13.75;41.072730146;4;8980;12.42;21.06;-0.0224079795447;8528.41562414;8528;10043;-0.425211665099;-0.425211665099;degrade;oui;;;41745;0.0440392981251;16727;0.0106399513648;17152
2;2;Aisne;1;Damien PHILIPPOT_2_1;1ère circonscription;M;PHILIPPOT;Damien;39;FN;3;Non;Non;Non;13.75;41.072730146;4;14009;19.38;32.85;-0.0514998076239;12442.4907818;12442;9114;0.320122574055;0.320122574055;améliore;oui;;;60621;0.040893260993;9410;0.0506147320685;10737
2;2;Aisne;2;Sarah LEMPEREUR_2_2;2ème circonscription;F;LEMPEREUR;Sarah;30;FG-FI;8;Non;Non;Non;13.75;41.072730146;4;6488;8.77;15.11;-0.167767604649;4409.03185463;4409;3457;0.685912240185;0.685912240185;améliore;non;;;71423;0.0576651973747;7086;-0.0110914087417;6907
2;2;Aisne;2;Sylvie SAILLARD-MEUNIER_2_2;2ème circonscription;F;SAILLARD-MEUNIER;Sylvie;56;FN;3;Non;Non;Non;13.75;41.072730146;4;12815;17.33;29.84;-0.101182910657;10151.6281153;10152;8349;0.596283027318;0.596283027318;améliore;oui;;;60621;0.040893260993;8561;0.0509559735123;9778
2;2;Aisne;3;Jean-Louis BRICOUT_2_3;3ème circonscription;M;BRICOUT;Jean-Louis;59;PS;3;Oui;Oui;Oui;13.75;41.072730146;4;2200;3.23;5.56;0.0434696032055;2458.85087158;2459;7556;0.048356982823;0.048356982823;améliore;oui;;;16996;0.0266309411454;15568;0.00990711438033;15936
2;2;Aisne;3;Paul-Henry HANSEN-CATTA_2_3;3ème circonscription;M;HANSEN-CATTA;Paul-Henry;60;FN;7;Non;Non;Non;13.75;41.072730146;4;14473;21.24;36.56;-0.0751180975067;12174.2009098;12174;8113;0.361477987421;0.361477987421;améliore;oui;;;60621;0.040893260993;9807;0.0425658372018;10933
2;2;Aisne;4;Jean MESSIHA_2_4;4ème circonscription;M;MESSIHA;Jean;46;FN;3;Non;Non;Non;13.75;41.072730146;4;14554;18.39;34.2;-0.068527580829;12429.5323714;12430;8010;0.324572127139;0.324572127139;améliore;oui;;;60621;0.040893260993;10720;0.0442883841935;12009
2;2;Aisne;4;Marc DELATTE_2_4;4ème circonscription;M;DELATTE;Marc;56;EM-MODEM;3;Non;Non;Non;13.75;41.072730146;4;10238;12.93;24.06;0.0448394465491;11487.4283327;11487;9683;-2.25045045045;-1.042;degrade;oui;;;41745;0.0440392981251;15964;0.0146457851474;16531
2;2;Aisne;5;Jacques KRABAL_2_5;5ème circonscription;M;KRABAL;Jacques;69;EM-MODEM;7;Oui;Oui;Non;13.75;41.072730146;4;11119;13.52;27.02;0.122152015674;16467.8394693;16468;14206;1.73275024295;1.715;ameliore/surestime;oui;;;41745;0.0440392981251;18188;0.0369603449738;19961
2;2;Aisne;5;François DE VOYER_2_5;5ème circonscription;M;DE VOYER;François;34;FN;2;Non;Non;Oui;13.75;41.072730146;4;15586;18.95;37.88;-0.0565989346506;13681.5637137;13682;10111;0.347762557078;0.347762557078;améliore;oui;;;60621;0.040893260993;10575;0.0476451236545;11962
3;3;Allier;1;Pauline RIVIERE_3_1;1ère circonscription;F;RIVIERE;Pauline;33;EM-MODEM;4;Non;Non;Non;10.5;45.1561753824;7;13760;15.34;31.6;-0.026888067255;12933.9258449;12934;13267;1.67545638945;1.67545638945;ameliore/surestime;oui;;;41745;0.0440392981251;15195;0.0177276656049;15856
3;3;Allier;1;Jean-Paul DUFRÈGNE_3_1;1ère circonscription;M;DUFRÈGNE;Jean-Paul;59;EXG;4;Non;Non;Non;10.5;45.1561753824;7;1101;1.23;2.53;0.0580065599663;1284.55763076;1285;10351;0.0198918918919;0.0198918918919;améliore;oui;;;3482;0.0438962888007;12970;0.00998931805959;13279
3;3;Allier;2;Sylvain BOURDIER_3_2;2ème circonscription;M;BOURDIER;Sylvain;48;FG-FI;5;Non;Non;Non;10.5;45.1561753824;7;9814;11.59;20.65;-0.085982851585;8051.24795882;8051;7510;0.765190972222;0.765190972222;améliore;non;;;71423;0.0576651973747;11347;-0.00239196646277;11285
3;3;Allier;2;Laurence VANCEUNEBROCK-MIALON_3_2;2ème circonscription;F;VANCEUNEBROCK-MIALON;Laurence;47;EM-MODEM;4;Non;Non;Non;10.5;45.1561753824;7;12373;14.62;26.03;-0.0244068769431;11696.8288688;11697;10827;0.437257438551;0.437257438551;améliore;oui;;;41745;0.0440392981251;13369;0.00315650815124;13467
3;3;Allier;3;Bénédicte PEYROL_3_3;3ème circonscription;F;PEYROL;Bénédicte;26;EM-MODEM;3;Non;Non;Non;10.5;45.1561753824;7;13557;17.13;29.69;-0.0211737150381;12911.8918878;12912;13562;-129.0;-1.042;degrade;oui;;;41745;0.0440392981251;17005;0.0294597924001;18289
3;3;Allier;3;Jean-Pierre SIGAUD_3_3;3ème circonscription;M;SIGAUD;Jean-Pierre;69;FN;7;Non;Non;Non;10.5;45.1561753824;7;10029;12.67;21.96;-0.121444527086;7582.51196392;7583;5226;0.509265042682;0.509265042682;améliore;non;;;60621;0.040893260993;5710;0.037104443389;6269
4;4;Alpes-de-Haute-Provence;1;Delphine BAGARRY_4_1;1ère circonscription;F;BAGARRY;Delphine;47;EM-MODEM;3;Non;Non;Non;11.6;44.6698681255;8;9272;15.15;30.6;-0.0396908045465;8462.18700264;8462;10640;-0.592105263158;-0.592105263158;degrade;oui;;;41745;0.0440392981251;15024;0.0170135951202;15649
4;4;Alpes-de-Haute-Provence;1;Odile BRUN_4_1;1ère circonscription;F;BRUN;Odile;59;FN;2;Non;Non;Non;11.6;44.6698681255;8;9027;14.75;29.79;-0.0537379164216;7976.37430951;7976;5502;0.298156028369;0.298156028369;améliore;oui;;;60621;0.040893260993;6272;0.0503514313547;7151
4;4;Alpes-de-Haute-Provence;2;Léo WALTER_4_2;2ème circonscription;M;WALTER;Léo;45;FG-FI;3;Non;Non;Non;11.6;44.6698681255;8;8235;12.6;21.83;-0.0176829574546;7906.43392892;7906;5622;0.125908916954;0.125908916954;améliore;oui;;;71423;0.0576651973747;7157;0.0109346751232;7344
4;4;Alpes-de-Haute-Provence;2;Christophe CASTANER_4_2;2ème circonscription;M;CASTANER;Christophe;51;EM-MODEM;4;Oui;Oui;Non;11.6;44.6698681255;8;10161;15.55;26.94;0.126998639703;15387.8187204;15388;14957;1.08986655546;1.08986655546;ameliore/surestime;oui;;;41745;0.0440392981251;15553;0.0454304873186;17481
5;5;Hautes-Alpes;1;Catherine ASSO_5_1;1ère circonscription;F;ASSO;Catherine;47;LR-UMP;4;Non;Non;Oui;9.15;43.4663956196;8;7605;13.17;22.36;-0.166448421895;5183.83054638;5184;4084;0.687588753195;0.687588753195;améliore;oui;;;15078;0.0310684164536;5659;0.0126654577433;5832
5;5;Hautes-Alpes;1;Pascale BOYER_5_1;1ère circonscription;F;BOYER;Pascale;51;EM-MODEM;4;Non;Non;Non;9.15;43.4663956196;8;8741;15.14;25.69;-0.0301340549415;8155.05820918;8155;9258;-1.1334622824;-1.042;degrade;oui;;;41745;0.0440392981251;11728;0.00804069394726;11951
5;5;Hautes-Alpes;2;Joël GIRAUD_5_2;2ème circonscription;M;GIRAUD;Joël;57;EM-MODEM;3;Oui;Oui;Non;9.15;43.4663956196;8;8598;16.48;34.47;0.131436217813;13297.890971;13298;12566;1.18447580645;1.18447580645;ameliore/surestime;oui;;;41745;0.0440392981251;15162;0.0301893637216;16338
5;5;Hautes-Alpes;2;Christophe TASSAUX_5_2;2ème circonscription;M;TASSAUX;Christophe;46;FG-FI;5;Non;Non;Non;9.15;43.4663956196;8;7556;14.49;30.3;-0.0973858601868;6038.18046898;6038;3357;0.361514646344;0.361514646344;améliore;non;;;71423;0.0576651973747;4843;0.0189338955159;5069
6;6;Alpes-Maritimes;1;Caroline REVERSO-MEINIETTI_6_1;1ère circonscription;F;REVERSO-MEINIETTI;Caroline;31;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;11232;13.96;24.74;-0.0281302079192;10527.5396762;10528;12599;-0.514996342356;-0.514996342356;degrade;oui;;;41745;0.0440392981251;13775;0.00909636009824;14073
