code du département;numéro département;libellé du département;code circonscription;link2;libellé circonscription;sexe;nom candidat;prénom candidat;age_candidat;nuance_politique;csp;personnalité_bool;candidat_sortant;parti_predecesseur2007;chomage_moyen_2012;age_moy_2012;region_uda_8_wcorse;voixmodele1;%_voix/ins;%_voix/exp;predictiont1;modele2voix;modele2rounded;voixt1;convergence_modele2;convergence_modele2_cut;convergence_modele_2_tag;passe_t2_2017;tweet_tag_count;tweet_tag_avg;tweet_nuance_count;tweet_nuance_avg;voix_t2_modele1_depuism2;prediction;voixT2_modele2
4;4;Alpes-de-Haute-Provence;1;Delphine BAGARRY_4_1;1ère circonscription;F;BAGARRY;Delphine;47;EM-MODEM;3;Non;Non;Non;11.6;44.6698681255;8;9272;15.15;30.6;-0.0396908045465;8462.18700264;8462;10640;-0.592105263158;-0.592105263158;degrade;oui;;;41745;0.0440392981251;12050;0.0170135951202;12551
4;4;Alpes-de-Haute-Provence;1;Odile BRUN_4_1;1ère circonscription;F;BRUN;Odile;59;FN;2;Non;Non;Non;11.6;44.6698681255;8;9027;14.75;29.79;-0.0537379164216;7976.37430951;7976;5502;0.298156028369;0.298156028369;améliore;oui;;;60621;0.040893260993;8590;0.0503514313547;9794
4;4;Alpes-de-Haute-Provence;2;Léo WALTER_4_2;2ème circonscription;M;WALTER;Léo;45;FG-FI;3;Non;Non;Non;11.6;44.6698681255;8;8235;12.6;21.83;-0.0176829574546;7906.43392892;7906;5622;0.125908916954;0.125908916954;améliore;oui;;;71423;0.0576651973747;9618;0.0109346751232;9870
4;4;Alpes-de-Haute-Provence;2;Christophe CASTANER_4_2;2ème circonscription;M;CASTANER;Christophe;51;EM-MODEM;4;Oui;Oui;Non;11.6;44.6698681255;8;10161;15.55;26.94;0.126998639703;15387.8187204;15388;14957;1.08986655546;1.08986655546;ameliore/surestime;oui;;;41745;0.0440392981251;16223;0.0454304873186;18234
5;5;Hautes-Alpes;1;Patrick DEROIN_5_1;1ère circonscription;M;DEROIN;Patrick;64;FN;7;Non;Non;Non;9.15;43.4663956196;8;7354;12.74;21.62;-0.0891913709635;5988.69581679;5989;3938;0.399590163934;0.399590163934;améliore;non;;;60621;0.040893260993;8034;0.033585736456;8736
5;5;Hautes-Alpes;1;Pascale BOYER_5_1;1ère circonscription;F;BOYER;Pascale;51;EM-MODEM;4;Non;Non;Non;9.15;43.4663956196;8;8741;15.14;25.69;-0.0301340549415;8155.05820918;8155;9258;-1.1334622824;-1.042;degrade;oui;;;41745;0.0440392981251;16096;0.00804069394726;16403
5;5;Hautes-Alpes;2;Joël GIRAUD_5_2;2ème circonscription;M;GIRAUD;Joël;57;EM-MODEM;3;Oui;Oui;Non;9.15;43.4663956196;8;8598;16.48;34.47;0.131436217813;13297.890971;13298;12566;1.18447580645;1.18447580645;ameliore/surestime;oui;;;41745;0.0440392981251;14096;0.0301893637216;15189
5;5;Hautes-Alpes;2;Christophe TASSAUX_5_2;2ème circonscription;M;TASSAUX;Christophe;46;FG-FI;5;Non;Non;Non;9.15;43.4663956196;8;7556;14.49;30.3;-0.0973858601868;6038.18046898;6038;3357;0.361514646344;0.361514646344;améliore;non;;;71423;0.0576651973747;7110;0.0189338955159;7442
6;6;Alpes-Maritimes;1;Caroline REVERSO-MEINIETTI_6_1;1ère circonscription;F;REVERSO-MEINIETTI;Caroline;31;EM-MODEM;3;Non;Non;Non;10.55;43.6876489503;8;11232;13.96;24.74;-0.0281302079192;10527.5396762;10528;12599;-0.514996342356;-0.514996342356;degrade;oui;;;41745;0.0440392981251;13592;0.00909636009824;13886
6;6;Alpes-Maritimes;1;Eric CIOTTI_6_1;1ère circonscription;M;CIOTTI;Eric;51;LR-UMP;4;Oui;Oui;Oui;10.55;43.6876489503;8;10674;13.27;23.51;-0.0728442860272;9025.74194485;9026;13630;-0.55751014885;-0.55751014885;degrade;oui;;;15078;0.0310684164536;12369;0.0551328670668;14305
