circo;EM;FN;LR;LFI;PS;EELV;UDI;PCF;DLF
13_1;Pascal CHAMASSIAN;Franck ALLISIO;Valérie BOYER;Bernard BORGIALLI;Gérard OREGGIA;Anne-Marie Danièle;;Christine DIDON;Paul ROUDIER
13_2;Claire PITOLLAT;Caroline SICARD;Dominique TIAN;Ariane GIL;Annie LEVY-MOZZICONACCI;Christine Juste;;Audrey GARINO;Bernadette MONETTO
13_3;Alexandra LOUIS;Stéphane RAVIER;Richard MIRON;Sarah SOILIHI;Anne DI MARINO;Karim Mouaci;;;Simone CHARIN
13_4;Corinne VERSINI;Jeanne MARTI;Solange BIAGGI;Jean-Luc MÉLENCHON;Patrick MENNUCCI;Lydie GANDON;;;Gabriel DUPLAIX
13_5;Cathy RACON-BOUZON;Jean-François LUC;Yves MORAINE;Hendrik DAVI;;Daniel Vanetti;;Isabelle PASQUET;Mathilde GOUIN
13_6;Eléonore LEPRETTRE;Eléonore BEZ;Guy TEISSIER;Annie GAL;;Hervé Menchon;;Anthony GONÇALVES;Véronique PUCCINI
13_7;Saïd AHAMADA;Sophie GRECH;;Ouali BRINIS;Henri JIBRAYEL;Lydia Frentzel;Arlette FRUCTUS;Jean-Marc COPPOLA;Jean-Marc CORTEGGIANI
13_8;Jean-Marc ZULESI;Antoine BAUDINO;Sandra DALBIN;Nadia GRAINDORGE;Clément ACAR;Mathieu Saintagne;;Michel FRATE;Christiane PUJOL
13_9;Sylvie BRUNET;Hervé ITRAC;Bernard DEFLESSELLES;Sylvie PILLE-LESOU;Stéphanie HARKANE;Boualam AKSIL;;;Colette GEREUX
13_10;François-Michel LAMBERT;Laurent JACOBELLI;;Jacques CHARTON;Vincent COULOMB;Rémy Carrodano;Bruno GENZANA;Eric SORDET;Bastien BEAUDOIN
13_11;Mohamed LAQHILA;Maximilien FUSONE;Christian KERT;Claudie HUBERT;;Dorian Hispa;;André MOLINO;Gérald UBAUD
13_12;Camille BAL;Jean-Lin LACAPELLE;Eric DIARD;Damien MERONO;Isabelle ROVARINO;Nathalie Sirben;;Laurence JOUANAUD;Gérard FAISSAL
13_13;Magali SIREROLS;Emmanuel FOUQUART;Jean-Luc DI MARIA;;Lionel JAREMA;Eveline Lelieur;Fabienne BONTEMPS;Pierre DHARRÉVILLE;Audrey CORRAL
13_14;Anne-Laurence PETEL;Nathalie CHEVILLARD;Stéphane PAOLI;Hélène LE CACHEUX;Jean-David CIOT;Olivia FRANZI-LABIAD;;Josiane DURRIEU;Pierre CAYOL
13_15;Nathalie FARRO;Jean-Alexandre MOUSSET-SEISSON;Bernard REYNÈS;Michèle JUNG;;Hélène Haensler;;Florence CASTANET;Lucas GARCIA MATEO
13_16;Monica MICHEL;Valérie LAUPIES;Marie-Pierre CALLET;Gérard GERON;Nora MEBAREK;Alice GREETHAM;;;Laura TAMBORINI
14_1;Fabrice LE VIGOUREUX;Chantal HENRY;;Karinne GUALBERT;Eric VÈVE;Rudy L'Orphelin;Sonia DE LA PROVÔTÉ;Marie-Jeanne GOBERT;Annie PELLUET
14_2;Eric HALPHEN;Sabrina JORET;Aminthe RENOUF;Etienne BRASSELET;Laurence DUMONT;Noëlle Le Maulf;;Gérard LENEVEU;Christine BONNISSENT
14_3;Florence LEHERICY;Christelle LECHEVALIER-LETARD;Sébastien LECLERC;Didier CANU;Clotilde VALTER;Jacques BESSIN;;Serge LOISEAU;Steven MAFIODO
14_4;Christophe BLANCHET;Philippe FOUCHÉ-SAILLENFEST;Nicole AMELINE;Stéphane POUSSIER;Xavier MADELAINE;Sophie Börner;;Pierre MOURARET;Alain ASTRESSE
14_5;Bertrand BOUYX;Christine BISSON;Cédric NOUVELOT;;;Christophe SADY;;;Eric BEAUDOIN
14_6;Alain TOURRET;Jean-Philippe ROY;;Paul DEMEILLIERS;;Sibylle Corblet-Aznar;Hubert PICARD;Virginie POIRIER;Thomas GALLICE
15_1;François DANEMANS;Marie-Claire NATHER;Vincent DESCOEUR;Thierry BONHOURE;;Stéphane Frechou;;Jean-François BARRIER;
15_2;Patricia ROCHES;Gilles LACROIX;Jean-Yves BONY;;Marc PETITJEAN;Elise Brugiere;;François BOISSET;Jérôme DUMAS
16_1;Thomas MESNIER;Geoffray GOURRÉ;Elise VOUVET;Martine BOUTIN;Martine PINVILLE;Odile Achard;;Djillali MERIOUA;
16_2;Sandra MARSAUD;Isabelle LASSALLE;Daniel SAUVAITRE;Nathalie JABLI;Marianne REYNAUD-JEANDIDIER;Pascale Lacourarie;Pascaline BRISSET;Claudine PONCY;
16_3;Madeleine NGOMBET BITOO;Aurélie DE AZEVEDO;;Véronique GRÉGORI-BACHELIER;Jérôme LAMBERT;Anabelle Sicre;Brigitte FOURÉ;Christophe MAUVILLAIN;Annie BRAGG
17_1;Otilia FERREIRA;Jean Marc DE LACOSTE LAREYMONDIE;Bruno LEAL;Cedric RUFFIE;;Jean-Marc Soubeste;;Brahim JLALJI;
17_2;Fréderique TUFFNELL;Jean-Louis LEYGONIE;Sylvie MARCILLY;Maud ASSILA;;Brigitte Desveaux;;Michele GRENIER;Dominique DROIN
17_3;Jean-Philippe ARDOUIN;Rachel COINTET;Frederic NEVEU;Remy CATROU;Francoise MESNARD;Joelle DE CORTE;Henriette DIADIO-DASYLVA;Marie-France MOQUET;
17_4;Raphaël GÉRARD;Isabelle TEXIER;Loic GIRARD;Lucie KIRCHNER;Fabienne DUGAS-RAVENEAU;Laurence Marcillaud;;Pascal PELLERIN;Éric DEVISE
17_5;;Severine WERBROUCK;Didier QUENTIN;Geoffrey LEBRETON PEREZ;Mickael VALLET;Stéphanie Muzard;;Jacques GUIARD;Maurice MONTANGON
18_1;François CORMIER-BOULIGEON;Jean-René COUEILLE;Wladimir D'ORMESSON;Frédéric RENARD;Céline BEZOUI;Françoise Pouzet;Laurent SORCELLE;;
18_2;Nadia ESSAYAN;Martine RAIMBAULT;Sophie BERTRAND;;Agnès SINSOULIER-BIGOT;Marie Thérèse Petit;;Nicolas SANSU;
18_3;Loïc KERVRAN;Jordan LE GOÏC;Louis COSYNS;Jean RIFFET;Yann GALUT;Catherine Menguy;Olivier BEATRIX;Magali BESSARD;Éric THEVENIN
19_1;Christophe JERRETIE;Agnès TARRASO;Françoise BÉZIAT;Jean-Marc VAREILLE;Bernard COMBES;Mumine Ozsoy;;Jean MOUZAT;Antoine BEHR
19_2;Patricia BORDAS;Jean-Pierre MORET;Frédérique MEUNIER;Selin ERSOY;Philippe NAUCHE;Bruno Meura;;Philippe TILLET;Jean-Pierre FAURIE
2A_1;Maria GUIDICELLI;;Jean-Jacques FERRARA;Jacques CASAMARTA;;;;Anissa Flore AMZIANE;
2A_2;Jean-Charles ORSUCCI;;Camille DE ROCCA SERRA;Dylan CHAMPEAU;;;;Nicolas ALARIS;
2B_1;François ORLANDI;René CORDOLIANI;Sauveur GANDOLFI-SCHEIT;Catherine LAURENTI;;;;Michel STEFANI;
2B_2;Francis GIUDICI;Dadou JACOB DIT LUZIE-ALBERTINI;Stéphanie GRIMALDI;Jean MOGHRAOUI;;;;Marie Jeanne FEDI;
21_1;Didier MARTIN;Isabelle DELYON;Anne ERSCHENS;Arnaud GUVENATAM;Sladana ZIVKOVIC;Olivier Muller;;Marie POINSEL;Fatima ARJI
21_2;François DESEILLE;Franck GAILLARD;Rémi DELATTE;Patricia MARC;Pierre PRIBETICH;Catherine Hervieu;;Tata OUARAG;Fabrice GRUET
21_3;Fadila KHATTABI;Jean-François BATHELIER;Pascale CARAVEL;Boris OBAMA;Anne DILLENSEGER-SEBTI;Michel Procureur;;Isabelle DE ALMEIDA;
21_4;Yolaine DE COURSON;Sylvie BEAULIEU;Charles BARRIERE;Stéphane GUINOT;;Jean Baloutch;;Danielle GUTIERREZ;Sébastien ROUSSET
21_5;Didier PARIS;René LIORET;Hubert POULLOT;Elisabeth KREMER;Jérôme FLACHE;Carole Bernhard;;Jacques CARDOT;
22_1;Bruno JONCOUR;Pierre-Yves LOPIN;Sylvie GRONDIN;Marion GORGIARD;Michel LESAGE;Aurélien Danvert;;Jean-François PHILIPPE;
22_2;Hervé BERVILLE;Odile DE MELLON;Didier DÉRU;Didier GIFFRAIN;Viviane LE DISSEZ;Jocelyne Leclerc;;;
22_3;Olivier ALLAIN;Pierre-Marie LAUNAY;Marc LE FUR;Ronan GLAZIOU;;Nicolas Hervé;;Christelle SCHWEITZER;
22_4;Yannick KERLOGOT;Sandrine MADEC;Martine TISON;Murielle LEPVRAUD;Annie LE HOUÉROU;Sylvie Bourbigot;;Cinderella BERNARD;
22_5;Eric BOTHOREL;Annick LEBIEZ;;Marie-Amélie TROADEC;Eric ROBERT;Yves Nédélec;Jean-Yves DE CHAISEMARTIN;Benoît DUMONT;
23_1;Jean-Baptiste MOREAU;Martial MAUME;Jérémie SAUTY;Laurence PACHE;Michel VERGNIER;Pierrette Bidon;;Claude GUERRIER;Damien DEMARIGNY
24_1;Philippe CHASSAING;Marie Catherine HALLIDAY;Laurent MOSSION;Hélène REYS;Michel MOYRAND;Yann LAVALOU;;Vianney LE VACON;
24_2;Michel DELPON;Éric VILLEMAGNE;Gaëlle BLANC LAJONIE;Chrystel BOUTILLIER;;Brigitte Allain;;Armand ZACCARON;Robert RICHARD
24_3;Jean-Pierre CUBERTAFON;Michel BERGOUGNOUX;Isabelle HYVOZ;Philippe GUILLERME;Colette LANGLADE;;;Jean Paul SALON;Patrick VOLKER
24_4;Jacqueline DUBOIS;Florence JOUBERT;Jérôme PEYRAT;Émilie CHALARD;Benjamin DELRIEUX;François Coq;Edwige GORISSE;Joëlle MONTUPET;
25_1;Fannette CHARVIER;Anna ROMANO;Françoise BRANGET;Habiba DELACOUR;Barbara ROMAGNAN;Alain ROBERT;;;
25_2;;Julien ACARD;Ludovic FAGAUT;Claire ARNOUX;;Eric ALAUZET;;Christophe LIME;Jean-Claude CHOMETTE
25_3;Denis SOMMER;Loup VIALLET;Frédéric CARTIER;Christophe ESPOLIO;Sidonie MARCHAL;Odile Joannès;;;
25_4;Frédéric BARBIER;Sophie MONTEL;Valère NEDEY;Nadia BARZNICA;;Anna Maillard;;Corinne RIQUET;Christine BESANÇON
25_5;Sylvie LE HIR;Jérémy NAVION;Annie GENEVARD;Martine LUDI;;Anthony Poulin;;Evelyne TERNANT;
26_1;Mireille CLAPOT;Bernard SIRONNEAU;Bertrand RACT-MADOUX;Karine MESSINA-DAUTRY;Pierre-Jean VEYRET;Annie Roche;;Dominique LORMIER;Pascale AUDIN
26_2;Alice THOUROT;Laure PELLIER;;Rachel MAHÉ;Isabelle MALRIC;Danielle Persico;Franck REYNIER;Pierre TRAPIER;Christian CARACCHINI
26_3;Célia DE LAVERGNE;Rachel REYGNIER;Paul BERARD;Didier THEVENIEAU;Pascale ROCHAS;Martine Morvan;;Chantal BÉLÉZY;Norbert AGUERA
26_4;Latifa CHAY;Bruno DERLY;Emmanuelle ANTHOINE;Emma OULD AOUDIA;Pierre JOUVET;Dominique Reynaud;;Jean-Marc DURAND;
27_1;Bruno LE MAIRE;Fabienne DELACOUR;Coumba DIOUKHANÉ;Michaël DESPRÈS;;Laetitia Sanchez;;Maryata KONTÉ;Fataumata NIAKATE
27_2;Fabien GOUTTEFARDE;Emmanuel CAMOIN;Jean-Paul LEGENDRE;Nathalie PACOURET;;;;Valéry BEURIOT;
27_3;Marie TAMARELLE-VERHAEGUE;Timothée HOUSSIN;;Gwenhaël LAVERGNE;Marie-Claire HAKI;Christine Regentête;Pierre BIBET;;
27_4;Bruno QUESTEL;Doris PERREAUX;;Arnaud LEVITRE;Richard JACQUET;Alexis Fraisse;François-Xavier PRIOLLAUD;;Carole DEBOOS
27_5;Claire O'PETIT;Vincent TAILLIEU;Alexandre RASSAËRT;Pierre ZIMMERMANN;Martine SEGUELA;Joëlle FONTAINE;;Liliane BERNINI;Michael BARTON
28_1;Guillaume KASBARIAN;Sylvie ROUXEL;Franck MASSELUS;Julien MORAINNES;Stéphane CORDIER;Pierre MAZAHERI;;Hugues VILLEMADE;
28_2;Claire Tassadit HOUD;Aleksandar NIKOLIC;Olivier MARLEIX;Jean-Michel DEJENNE;Nadia FAVERIS;Youssef Lamrini;;;
28_3;;Guylaine BERCHER;Laure DE LA RAUDIERE;Pascale CERTAIN;;Françoise Réparat;;;
28_4;Fabien VERDIER;Vincent COLLO;;Sophie SINATTI;;Nachida Barre;Philippe VIGIER;Dominique GARCIA;
29_1;Annaïg LE MEUR;Christel HÉNAFF;;Jugdeep HARVINDER;Jean-Jacques URVOAS;Jean-Pierre Bigorgne;Claire LEVRY GERARD;Yvonne RAINERO;Jeannine LE DU
29_2;Jean-Charles LARSONNEUR;Karine LÉAL;Véronique BOURBIGOT;Pierre-Yves CADALEN;Patricia ADAM;Nathalie Chaline;;Eric GUELLEC;
29_3;Didier LE GAC;Guy LEAL;Marie-Catherine MOUCHOT;Christine PANAGET;;Patrick Appéré;;Jean-Paul CAM;Yves GUEGUEN
29_4;Sandrine LE FEUR;Edith ROUSSEL;Maël DE CALAN;Julien KERGUILLEC;Gwenegan BUI;Christine Prigent;;Ismaël DUPONT;Florian LE SAUX
29_5;Graziella MELCHIOR;Renée THOMAÏDIS;;Pascale MARCHAND;Chantal GUITTET;Rosalie Salaun;;Pierre-Yves LIZIAR;Jean-Paul BARRÉ
29_6;Richard FERRAND;Patrick LE FUR;Gaëlle NICOLAS;Jean-Michel LUCAS;;Nathanaël Legeard;;Maxime PAUL;Sophie ROSSIGNEUX
29_7;Liliane TANGUY;Agnès BELBÉOC'H;Didier GUILLON;Roland JAOUEN;Florence CROM;Jean Cathala;Christophe ROUMIER;;
29_8;Erwan BALANANT;Mikaël CARÉO;Laëtitia BOIDIN;Emmanuel MAGNAN;Michael QUERNEZ;Marie-Andrée Jérôme-Clovis;;Jacques RANNOU;Joseph PICHON
30_1;Françoise DUMAS;Yoann GILLET;;Yannick BATTEFORT;;Dominique Andrieu Bonnet;Thierry PROCIDA;Sylvette FAYET;Pascaline FOSTYK
30_2;Sara MARIE;Gilbert COLLARD;Pascale MOURRUT;Danielle FLOUTIER;;Béatrice Leccia;;;Geneviève BOURRELY
30_3;Anthony CELLIER;Monique TEZENAS DU MONTCEL;Muriel DHERBECOURT;Geneviève SABATHÉ;;Marie-Pierre Mercier;;Léa COMUSHIAN;Jean ISNARD
30_4;Annie CHAPELIER;Brigitte ROULLAUD;Valérie MEUNIER;Lucie ROUSSELOU;Fabrice VERDIER;Dirk Offringa;;Claude CERPEDES;
30_5;Olivier GAILLARD;Daniela DE VIDO;Léa BOYER;Guillaume ROIRON;Nelly FRONTANAU;Benjamin Deceuninck;;Jean-Michel SUAU;André BANIOL
30_6;Philippe BERTA;Laurence GARDET;Richard FLANDIN;Karine VOINCHET;;Sibylle Jannekeyn;;Philippe GASSER;Jacques ARMANDO
31_1;Pierre CABARE;Quentin LAMOTTE;François CHOLLET;Claire DUJARDIN;Catherine LEMORTON;Xavier Bigot;;Pierre LACAZE;
31_2;Jean-Luc LAGLEIZE;Nadine ALEX;Christine GENNARO-SAINT;Anne STAMBACK-TERRENOIR;Gérard BAPT;Salah Amokrane;;Serge NICOLO;Yves RIBES
31_3;Corinne VIGNON;Sonia DECAMPS;Laurence ARRIBAGE;Gilles NAUDY;Isabelle HARDY;Yannick Bourles;;Martine CROQUETTE;
31_4;Mickaël NOGAL;Maïthé CARSALADE;Bertrand SERP;Liem HOANG NGOC;Martine MARTINEL;Elisabeth Matak;;Luc RIPOLL;
31_5;Jean-François PORTARRIEU;Julien LEONARDELLI;;Sylvie ESPAGNOLLE-LABRUNE;Sandrine FLOUREUSSES;Clémentine Renaud;Jean-Marc DUMOULIN;Monique MARCONIS;
31_6;Monique IBORRA;Michèle PELLIZZON;Damien LABORDE;Patrick JIMENA;Camille POUPONNEAU;Stéphane Renaux;;Daniel FOURMY;Laurent CASBAS
31_7;Elisabeth TOUTUT-PICARD;Marie DOMBES;Françoise BORRET;Christophe BEX;Marie-Caroline TEMPESTA;Catherine Renaux;;Danielle TENSA;Damien JEANNE
31_8;Michel MONTSARRAT;Marie-Christine PAROLIN;;Philippe GIMENEZ;Joël AVIRAGNET;Sophie Handschutter;Jean-Luc RIVIERE;Corinne MARQUERIE;Laure GONZALEZ
31_9;Sandrine MÖRCH;Eloïse TERIITAUMIHAU;Simone PAUZIN-FOURNIÉ;Manuel BOMPARD;Christophe BORGEL;Christine Arrighi;;Véronique BLANSTIER;
31_10;Sébastien NADOT;Mathieu LACHURIES;Arnaud LAFON;Monique FABRE;Kader ARIF;Henri Arevalo;Dominique FAURE;Christian PICQUET;Jean-Pierre MAYER
32_1;Jean-René CAZENEUVE;Nathalie PIERREISNARD;;Pascal PÉNÉTRO;Francis DUPOUEY;Sylviane Baudois;Christophe TERRAIN;Annabelle SKOWRONEK;Vivien PEREZ
32_2;Christopher SOCCIO;Thomas GUASCH;Barbara NETO;Myriam RIMBERT;Gisèle BIÉMOURET;Jean-Paul Dugoujon;;Bruno GABRIEL;Bruno DIENOT
33_1;Dominique DAVID;Philippe DUBOIS;Nicolas FLORIAN;Evelyne CERVANTES-DESCUBES;Philippe DORTHE;Nelson Palis-Niermann;;Vincent MAURIN;Sophie BARAKAT
33_2;Catherine FABRE;Julie RECHAGNEUX;Anne WALRYCK;Aude DARCHY;Michèle DELAUNAY;Pierre Hurmic;;Servane CRUSSIÈRE;Christophe BUGEAU
33_3;Marik FETOUH;Bruno PALUTEAU;Alexandre GOURD;Loïc PRUD'HOMME;Naîma CHARAÏ;Cécile TEULON;;Isabelle TARIS;Dominique DUFOUR
33_4;Aziz S'KALLI-BOUAZIZA;Serge HADON;;Maud BESSON;Alain DAVID;Laure Desvalois;Hubert LAPORTE;Berivan BAL;Martine HOSTIER
33_5;Benoit SIMIAN;Grégoire DE FOURNAS;Florence LEGRAND;Martine CALVO;Pascale GOT;Stéphane Saubusse;;Stéphane LE BOT;Sonia COLEMYN
33_6;Eric POULLIAT;Marie-Mauricette MARTINEZ;;Marie DURET-PUJOL;Marie RÉCALDE;Ludovic Guitton;Rémi COCUELLE;Pierre CAZENAVE;Sandrine PENY
33_7;Bérangère COUILLARD;Marlène MIGNON;Karine ROUX-LABAT;Johanne SEBAUX;Bernard GARRIGOU;Jean-Yves Grandidier;;Didier SARRAT;Brigitte RYCKWAERT-ROUMÉGOUS
33_8;Sophie PANONACLE;Laurent LAMARA;Yves FOULON;Cécile COTI;Pierre PRADAYROL;Nicolas Dubot;;Danielle TRANNOY;Sophie LE PAGE
33_9;Sophie METTE;Sophie RIVIÈRE DURIVAULT;Michel DUFRANC;François PAPIAU;Gilles SAVARY;Dominique Baude;;Cristine GUERNÉ;Rémi BERTHONNEAU
33_10;Florent BOUDIÉ;Sandrine CHADOURNE;Jean-Paul GARRAUD;Eloïse BAJOU;Antoine GARANTO;Agnès Séjournet;Charles POUVREAU;;Julien DELAMORTE
33_11;Véronique HAMMERER;Edwige DIAZ;Mireille CONTE JAUBERT;Joêlle LOSSON;Michelle LACOSTE;Oliver Richard;;Sébastien LABORDE;Georges GIACOMOTTO
33_12;Christelle DUBOS;Patrick DUVAL-CAMPANA;Yves D'AMÉCOURT;Christophe MIQUEU;Catherine VEYSSY;Anne-Laure Fabre-Nadler;;;Alexis FEBBRARI
34_1;Patricia MIRALLÈS;France JAMET;;Julien COLET;;Jean-Louis Roumegas;Joseph FRANCIS;;Fabienne ALBARRAN
34_2;Stéphanie JANNIN;Pierre ALIOTTI;Nancy CANAUD;Muriel RESSIGUIER;Fatima BELLAREDJ;Coralie Mantion;;Isabel CABECA;Claudia DECHASSAT
34_3;Coralie DUBOST;Laurianne TROISE;Catherine DARDÉ;Stéphane VIDAL;Fanny DOMBRE COSTE;Laurent HOARAU;;Logan GIRARD;Joëlle COMTE
34_4;Jean-François ELIAOU;François GAUBERT;Laurence CRISTOL;Etienne HAYEM;Frédéric ROIG;Laurent Dupont;;Florian VIRE;Gilles PHOCAS
34_5;Philippe HUPPÉ;Gilles ARDINAT;Catherine ROUILLÉ;Pierre POLARD;Marie PASSIEUX;William ROUANET;;Michel CAPRON;
34_6;Isabelle VOYER;Emmanuelle MÉNARD;Elie ABOUD;David GARCIA;Antonio FULLEDA;Jeannick ROLLAND;;Nicolas COSSANGE;
34_7;Christophe EUZET;Myriam ROQUES;Laurence MAGNE;Marie-Hélène LECLERCQ;Sébastien DENAJA;;;Jean-Luc BOU;Virginie ANGEVIN
34_8;Nicolas DÉMOULIN;Gérard PRATO;Arnaud JULIEN;Marielle FENECH- MONFORT;Christian ASSAF;Sabria BOUALLAGA;;Max SAVY;Michel COLAS
34_9;Patrick VIGNAL;Guillaume VOUZELLAUD;Joëlle JENIN-VIGNAUD;Imane DIANI;;Bertrand Coisne;;Myriam HAMMOUD;Frederic DUMAY
35_1;Mostapha LAABID;Emeric SALMON;;Patrick BERGOGNÉ;Marie-Anne CHAPDELAINE;Didier Chapellon;Grégoire LE BLOND;Michel DEMOLDER;
35_2;Laurence MAILLART-MÉHAIGNERIE;Julien MASSON;Bertrand PLOUVIER;Louis FRICKER;Gaëlle ANDRO;Lucile Koch-Schlund;;Evelyne FORCIOLI;
35_3;;Justine DIEULAFAIT;Mélina PARMENTIER;Virginie ABAUTRET;François ANDRÉ;Gaëlle Rougier;;Yannick NADESAN;
35_4;Gaël LE BOHEC;Christian LECHEVALIER;Jean-Marc CARREAU;Marc MARTIN;Franck PICHOT;Sarah Trichet-Allaire;;;Nelly ROSAIS
35_5;Christine CLOAREC;Laurence PRIN;Isabelle LE CALLENNEC;Mickaël HUGONNET;Stéphane LENFANT;Bernard Martin;;;Jean-Pierre CHARRIER
35_6;Nolwenn VAHÉ;Gilles PENNELLE;;Hélène MOCQUARD;;Sylvie GALODE;Thierry BENOIT;Benoit MONTABONE;
35_7;Valérie FRIBOLLE;Philippe MIAILHES;Gilles LURTON;Nicolas CHEVALLIER;;Solenn Hallou (PCF);;;
35_8;Florian BACHELIER;Françoise GUILLERME;Amélie DHALLUIN;Enora LE PAPE;Emmanuel COUET;Matthieu Theurier;;Claire PAYEN;Sébastien PIROU
36_1;;Mylène WUNSCH;Paulette PICARD;Corinne KELLER;Jean-Paul CHANTEGUET;Muriel Beffara;;Michel FRADET;Alix PENLOUP-ARBONA
36_2;Sophie GUERIN;Dominique LANYI;Nicolas FORISSIER;Lionel THURA;Isabelle BRUNEAU;Raphaël Tillie;;Michel SALLANDRE;
37_1;Philippe CHALUMEAU;Laurence LECARDONNEL;Céline BALLESTEROS;Claude BOURDIN;Jean-Patrick GILLE;Christophe Dupin;;Léonard LEMA;Emmanuel LAKIERE
37_2;Daniel LABARONNE;Stanislas DE LA RUFFIE;Claude GREFF;Frédéric NOBILEAU;Isabelle GAUDRON;Eric Beaugendre;;Fabien COSTE;Virginie BERGERARD
37_3;;Eva KUKULSKI;;Sylvie ADOLPHE;Marisol TOURAINE;Marie Agnès Peltier;Sophie AUCONIE;Ronan LEBERT;François-Xavier DECROP
37_4;Fabienne COLBOC;Véronique PÉAN;Hervé NOVELLI;Nadia VEZIN;Laurent BAUMEL;Michel Gendron;;Sophie HERVÉ;Véronique VALIN
37_5;Sabine THILLAYE;Daniel FRACZAK;Fabrice BOIGARD;Constance ASCAR;;Erwan Deliz;;Françoise ROUX;Jean DE FOUQUIÈRES
38_1;Olivier VERAN;Marie DE KERVÉRÉGUIN;;Elsa RÉGIS;;Nicolas Kada;Jean-Damien MERMILLOD-BLONDIN;Nathalie VEYRET;
38_2;Jean-Charles COLAS-ROY;Alexis JOLLY;Magalie VICENTE;Taha BOUHAFS;Pierre VERRI;Elisabeh Letz;;David QUEIROS;Bruno LAFEUILLE
38_3;Emilie CHALAS;Béatrix BOLVIN;Elodie LEGER;Raphaël BRIOT;Michel DESTOT;Soukaïna Larabi;;Jean-Paul TROVERO;Alain BONNET
38_4;Fabrice HUGELÉ;Sandrine PIMONT;Sandrine MARTIN-GRAND;Laurent VIALLARD;Marie-Noëlle BATTISTEL;Henry Tidy;;Myriam MARTIN;Sara SEYS
38_5;Catherine KAMOWSKI;Muriel BURGAZ;Philippe LANGENIEUX-VILLARD;Patrice BRUN;Eliane GIRAUD;Gaël  Roustan;;Sylvie GUINAND;Ludovic BLANCO
38_6;Cendra MOTIN;Gérard DÉZEMPTE;Alain MOYNE-BRESSAND;Michael AYDIN;Alexandre BOLLEAU;Cécile Viallon;;Frédérique PENAVAIRE;
38_7;Monique LIMON;Pierre DELACROIX;Yannick NEUDER;Valérie BONO;;Nadine Reux;;;Nadine NICOLAS
38_8;Caroline ABADIE;Thibaut MONNIER;Maryline SILVESTRE;Myriam THIEULENT;Erwann BINET;Michèle DURIEUX;;;
38_9;Elodie JACQUIER-LAFORGE;Bruno DESIES;Bruno GATTAZ;Marie-Pierre MICOUD;;Patrick Cholat;;;Mickaël JULIAN
38_10;Marjolaine MEYNIER-MILLEFERT;Alain BREUIL;Vincent CHRIQUI;Thierry MONCHATRE-JACQUOT;Joëlle HUILLIER;Frédéric Espinosa;;Mehdi SAHRAOUI;Nicolas MONIN-VEYRET
39_1;Danielle BRULEBOIS;Jean-Paul ECARD;Cyrille BRERO;Gabriel AMARD;Marc-Henri DUVERNET;Gérard DOBELLI;;;Gilles MORICONI
39_2;Anne PROST-GROSJEAN;Nathalie DESSEIGNE;Marie-Christine DALLOZ;Julie LANÇON;;Christophe Masson;;;
39_3;Paul-Henri BARD;Stéphane MONTRELAY;Jean-Marie SERMIER;Jean-Bernard MARCUZZI;;;;Laurence BERNIER;Sylvie VIARD
40_1;Geneviève DARRIEUSSECQ;Christophe BARDIN;Marie-Françoise NADAU;Céline PIOT;Renaud LAGRAVE;Fanette Billard;;Thierry LE BRIS;Claude MOLLE
40_2;Lionel CAUSSE;Francis GARCIA;Sylviane PACOT;Caroline DACHARRY;Christine BASLY-LAPEGUE;Marie-Ange Delavenne;;Jean-Marc LESPADE;Jean-Pierre POURRUT
40_3;Jean-Pierre STEINER;Océane RAVIX;;Philippe DUBOURG;Boris VALLAUD;Richard Bidegaray;Marie Claire DUPRAT;Michèle BERTHOU;Nicole DE LETTER
41_1;Marc FESNEAU;Michel CHASSIER;Damien HENAULT;Kenza BELLIARD;Denys ROBILIARD;Nicolas Orgelet;;Camélia KHABÈCHE;
41_2;Jean-Luc BRAULT;Mathilde PARIS;Guillaume PELTIER;Yvon CHÉRY;Didier GUÉNIN;Marie Robin;;Jean-Claude DELANOUE;Marilyne CORBEAU
41_3;Marlène MARTIN;Jean-Yves NARQUIN;;Cécile RIVIERE;;Christian Guellier;Maurice LEROY;Patrick CALLU;
42_1;Magalie VIALLON;Philippe CLAUSE;;Corinne OUMAKHLOUF;Régis JUANICO;;Gilles ARTIGUES;Lucas WINIARSKI;
42_2;Jean-Michel MIS;Pascal ARRIGHI;Alexandra RIBEIRO CUSTODIO;Andrée TAURINYA;;Olivier Longeon;;Vanessa PECEL;
42_3;Valéria FAURE-MUNTIAN;Isabelle SURPLY;;Louis CAILLON;Philippe KIZIRIAN;Patricia Simonin-Chaillot;François ROCHEBLOINE;Céline VEAU;
42_4;David KAUFFER;Raphaëlle JEANSON;Dino CINIERI;Léo CHAVAS;;Pascal THOMAS;;Christophe FAVERJON;Patrick MIGNON
42_5;Nathalie SARLES;Sarah BROSSET;Clotilde ROBIN;Véronique RAKOSE-TRUCHET;Brigitte DUMOULIN;Alain Valentin;;Jean-Luc VILLEMAGNE;Karine MAURICE
42_6;Julien BOROWCZYK;Sophie ROBERT;Paul SALEN;Sadia Nadia SEGHIR;;Jean Duverger;;;Marie GONCALVES
43_1;Cécile GALLIEN;Fabien ALBERTINI;Isabelle VALENTIN;Martine DEJEAN;Fabrice FARISON;Anne Babian Lhermet;;;Gabriel CARDAIRE
