Depts-Circo	LFI	PCF	EELV	PS	EM	UDI	LR	DLF	FN
036-02	9.27	1.16	1.38	4.49	13.48	1.37	10.09	0.39	13.68
037-01	10.84	1.44	1.84	5.95	16.91	1.55	10.24	0.16	5.98
037-02	9.53	1.21	1.53	4.95	15.96	1.53	10.81	0.35	12.14
037-03	9.54	1.22	1.56	5.02	16.32	1.56	10.82	0.31	11.04
037-04	9.79	1.25	1.58	5.1	15.72	1.5	10.52	0.32	11.17
037-05	8.74	1.11	1.46	4.71	16.16	1.7	12.09	0.33	11.54
038-01	9.95	1.34	1.99	6.38	20.82	1.84	11.79	0.14	5.28
038-10	9.05	1.03	0.79	2.67	13.38	1.16	9.46	2.1	15.16
038-02	11.97	1.53	1.68	5.5	15.63	1.11	7.26	0.3	10.22
038-03	12.87	1.68	1.9	6.2	15.91	1.05	6.56	0.23	8.03
038-04	10.41	1.33	1.63	5.27	16.12	1.36	9.23	0.32	11.08
038-05	10.63	1.37	1.74	5.61	16.91	1.31	8.67	0.31	10.69
038-06	7.8	0.87	0.73	2.44	13.18	1.25	10.5	2.28	16.88
038-07	8.53	0.96	0.76	2.57	13.4	1.25	10.38	2.31	16.29
038-08	8.41	0.96	0.81	2.7	14.49	1.33	10.63	2.1	14.52
038-09	9.79	1.25	1.58	5.1	15.79	1.33	9.13	0.33	11.61
039-01	9.9	1.15	0.85	2.89	14.42	1.37	10.74	1.99	12.95
039-02	9.11	1.05	0.79	2.68	13.84	1.46	11.78	2.2	12.85
039-03	9.85	1.13	0.81	2.76	13.55	1.33	10.68	1.96	14.58
004-01	10.94	1.35	1.34	4.4	13.21	1.27	9.36	0.42	14.43
004-02	11.06	1.37	1.34	4.42	13.61	1.4	10.2	0.36	12.4
040-01	9.76	1.28	1.77	5.68	15.76	1.31	8.94	0.31	10.8
040-02	10.39	1.35	1.74	5.61	17.12	1.45	10.48	1.47	9.38
040-03	10.34	1.38	1.96	6.27	16.47	1.28	9.43	1.59	10.86
041-01	8.74	1.12	1.54	4.94	15.18	1.47	10.43	0.34	11.7
041-02	7.61	0.85	0.71	2.37	13.31	1.53	12.66	2.26	15.9
041-03	7.87	0.89	0.74	2.46	13.85	1.65	13.5	2.21	14.67
042-01	10.42	1.34	1.6	5.18	14.89	1.25	8.5	0.3	10.3
042-02	10.77	1.4	1.66	5.39	15.06	1.28	8.61	0.24	8.55
042-03	8.56	0.98	0.81	2.71	14.24	1.29	10.21	2.1	13.25
042-04	9.28	1.06	0.81	2.73	13.72	1.23	9.94	2.1	14.78
042-05	8.15	0.93	0.81	2.68	14.76	1.43	11.4	2.16	14.11
042-06	7.41	0.84	0.78	2.58	14.85	1.48	11.96	2.4	14.32
043-01	8.52	0.97	0.83	2.77	14.89	1.35	10.78	2.25	14.07
043-02	8.97	1.04	0.86	2.87	15.2	1.45	11.12	1.93	11.66
044-01	10.33	1.4	2.12	6.78	21.52	1.88	11.95	0.12	4.63
044-10	10.23	1.33	1.86	5.96	20.27	1.75	11.4	0.23	8.34
044-02	12.6	1.71	2.33	7.49	20.6	1.71	10.74	0.1	3.94
044-03	12.88	1.71	2.18	7.05	18.84	1.29	7.84	0.19	6.58
044-04	13.02	1.73	2.22	7.18	19.78	1.32	7.91	0.18	6.46
044-05	10.71	1.41	2.02	6.49	21.33	1.66	10.4	0.2	7.19
044-06	10.11	1.29	1.61	5.21	16.53	1.54	10.64	0.32	11.19
044-07	9.16	1.17	1.53	4.93	18.08	1.93	13.41	0.26	9.47
044-08	12.77	1.66	1.93	6.27	17.17	1.15	7.16	0.26	8.93
044-09	10.32	1.31	1.6	5.19	16.84	1.62	11.23	0.3	10.68
