Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Martine;MARTINEL;Haute-Garonne;31;4;;https://twitter.com/MartineMartinel;http://www.parti-socialiste.fr/personnalite/martine-martinel/
Isabelle;HARDY;Haute-Garonne;31;3;https://www.facebook.com/IsabelleHardy2017/?fref=nf&pnref=story;https://twitter.com/izahardy;http://www.parti-socialiste.fr/personnalite/isabelle-hardy/
Gérard;BAPT;Haute-Garonne;31;2;https://www.facebook.com/G%C3%A9rard-BAPT-2017-346900762348157/?fref=ts;;http://www.parti-socialiste.fr/personnalite/gerard-bapt/
Catherine;LEMORTON;Haute-Garonne;31;1;https://www.facebook.com/CatherineLemorton2017/?fref=ts;https://twitter.com/CathLEMORTON;http://www.parti-socialiste.fr/personnalite/lemorton-catherine/
Nelly;FRONTANAU;Gard;30;5;https://www.facebook.com/nelly.frontanau?fref=nf;https://twitter.com/FRONTANAUnelly;http://www.parti-socialiste.fr/personnalite/nelly-frontanau/
Catherine;EYSSERIC;Gard;30;3;https://www.facebook.com/Catherine-Eysseric-2017-417435038606276/?fref=ts;https://twitter.com/EYSSERIC_Ca;http://www.parti-socialiste.fr/personnalite/catherine-eysseric/
Fabrice;VERDIER;Gard;30;4;https://www.facebook.com/Fabrice-Verdier-209988482430809/?fref=ts;https://twitter.com/F_Verdier;http://www.parti-socialiste.fr/personnalite/fabrice-verdier/
Katy;GUYOT;Gard;30;2;https://www.facebook.com/Katy-Guyot-330119863674158/?fref=ts;https://twitter.com/KatyGuyot;http://www.parti-socialiste.fr/personnalite/katy-guyot/
Bertrand;CAVALERIE;Aveyron;12;2;https://www.facebook.com/BertrandCavalerie2017/?fref=ts;https://twitter.com/BCavalerie?lang=fr;http://www.parti-socialiste.fr/personnalite/bertrand-cavalerie/
Françoise;DUMAS;Gard;30;1;https://www.facebook.com/FD2014/?fref=ts;https://twitter.com/fdumasdeputee;http://www.parti-socialiste.fr/personnalite/francoise-dumas/
Sarah;VIDAL;Aveyron;12;1;https://www.facebook.com/Elections-l%C3%A9gislatives-2017-Sarah-Vidal-357658841287432/?fref=ts;https://twitter.com/Sarah_Vidal12?lang=fr;http://www.parti-socialiste.fr/personnalite/sarah-vidal-2/
Marie-Hélène;FABRE;Aude;11;2;https://www.facebook.com/Marie-H%C3%A9l%C3%A8ne-FABRE-221082634586645/?fref=ts;https://twitter.com/MHFabre;http://www.parti-socialiste.fr/personnalite/marie-helene-fabre/
André;VIOLA;Aude;11;3;;https://twitter.com/andreviola11;http://www.parti-socialiste.fr/personnalite/andre-viola-2/
Alain;FAURE;Ariège;09;2;;https://twitter.com/faurealain1;http://www.parti-socialiste.fr/personnalite/alain-faure/
Alain;GINIES;Aude;11;1;https://www.facebook.com/alain.ginies2017/?fref=ts;https://twitter.com/AlainGinies2017;http://www.parti-socialiste.fr/personnalite/alain-ginies/
Martine;ESTEBAN;Ariège;09;1;https://www.facebook.com/Martine-Esteban-L%C3%A9gislatives-2017-1251925984921083/?fref=ts;;http://www.parti-socialiste.fr/personnalite/martine-esteban/
Laurent;LAFAYE;Haute-Vienne;87;1;https://www.facebook.com/profile.php?id=100009818919322&fref=ts;https://twitter.com/laurentlafaye87;http://www.parti-socialiste.fr/personnalite/laurent-lafaye/
Catherine;BEAUBATIE;Haute-Vienne;87;3;https://www.facebook.com/catherine.beaubatie/?fref=ts;;http://www.parti-socialiste.fr/personnalite/catherine-beaubatie/
Annick;MORIZIO;Haute-Vienne;87;2;https://www.facebook.com/Annick-Morizio-L%C3%A9gislatives-2017-2%C3%A8me-circonscription-Haute-Vienne-1696040207354668/?fref=ts;https://twitter.com/a_morizio2017;http://www.parti-socialiste.fr/personnalite/annick-morizio/
Xavier;Moinier;;;;;https://twitter.com/XavierMoinier;http://www.parti-socialiste.fr/personnalite/xavier-moinier/
Marc;BONNEAU;Deux-Sèvres;79;3;https://www.facebook.com/marcbonneau79/?fref=ts;https://twitter.com/Marc_Bonneau;http://www.parti-socialiste.fr/personnalite/marc-bonneau/
Patricia;PERSICO;Vienne;86;2;https://www.facebook.com/patriciapersico2017/?fref=ts;https://twitter.com/PersicoPatricia;http://www.parti-socialiste.fr/personnalite/patricia-persico/
Jean-Michel;CLEMENT;Vienne;86;3;https://www.facebook.com/jeanmichel.clement.3;https://twitter.com/jmclement86;http://www.parti-socialiste.fr/personnalite/jean-michel-clement/
Sylviane;ALAUX;Pyrénées-Atlantiques;64;6;https://www.facebook.com/sylviane.alaux.1?fref=ts;https://twitter.com/alaux_2017;http://www.parti-socialiste.fr/personnalite/sylviane-alaux/
Elodie;TRUONG;Deux-Sèvres;79;1;https://www.facebook.com/profile.php?id=100006363104854&fref=ts;https://twitter.com/elodietruong;http://www.parti-socialiste.fr/personnalite/elodie-truong/
David;HABIB;Pyrénées-Atlantiques;64;3;https://www.facebook.com/profile.php?id=100010948578619&fref=ts;https://twitter.com/DavidDhabib;http://www.parti-socialiste.fr/personnalite/david-habib/
Delphine;BATHO;Deux-Sèvres;79;2;https://www.facebook.com/DelphineBatho/;https://twitter.com/delphinebatho;http://www.parti-socialiste.fr/personnalite/delphine-batho/
Colette;CAPDEVIELLE;Pyrénées-Atlantiques;64;5;https://www.facebook.com/colette.capdevielle.7;https://twitter.com/c_capdevielle;http://www.parti-socialiste.fr/personnalite/colette-capdevielle/
Jérôme;MARBOT;Pyrénées-Atlantiques;64;1;https://www.facebook.com/JeromeMarbotPau/?fref=ts;https://twitter.com/jeromemarbot?lang=fr;http://www.parti-socialiste.fr/personnalite/jerome-marbot/
Nathalie;CHABANNE;Pyrénées-Atlantiques;64;2;https://www.facebook.com/Chabanne.Nat/;https://twitter.com/SylvieMaisonnet;http://www.parti-socialiste.fr/personnalite/nathalie-chabanne/
Renaud;LAGRAVE;Landes;40;1;https://www.facebook.com/renaud.lagrave?fref=ts;https://twitter.com/renaudlagrave;http://www.parti-socialiste.fr/personnalite/renaud-lagrave/
Guillaume;MOLIERAC;Lot-et-Garonne;47;3;;https://twitter.com/gmolierac;http://www.parti-socialiste.fr/personnalite/guillaume-molierac/
Bernard;GARRIGOU;Gironde;33;7;https://www.facebook.com/garrigou2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/bernard-garrigou/
Lucette;LOUSTEAU;Lot-et-Garonne;47;1;;https://twitter.com/LucetteLousteau;http://www.parti-socialiste.fr/personnalite/lucette-lousteau/
Boris;VALLAUD;Landes;40;3;;;http://www.parti-socialiste.fr/personnalite/boris-vallaud/
Matthias;FEKL;Lot-et-Garonne;47;2;https://www.facebook.com/matthias.fekl/?fref=ts;https://twitter.com/MatthiasFekl;http://www.parti-socialiste.fr/personnalite/matthias-fekl/
Naima;CHARAI;Gironde;33;3;https://www.facebook.com/naima.charai.7?fref=ts;https://twitter.com/NaimaCharai;http://www.parti-socialiste.fr/personnalite/naima-charai/
Michèle;LACOSTE;Gironde;33;11;;;http://www.parti-socialiste.fr/personnalite/michele-lacoste/
Christine;BASLY LAPEGUE;Landes;40;2;https://www.facebook.com/ChristineBaslyLapegue/?fref=ts;;http://www.parti-socialiste.fr/personnalite/christine-basly-lapegue/
Gilles;SAVARY;Gironde;33;9;https://www.facebook.com/Savary2012/?ref=ts&fref=ts;https://twitter.com/GilleSavary;http://www.parti-socialiste.fr/personnalite/gilles-savary/
Marie;RECALDE;Gironde;33;6;https://www.facebook.com/marie.recalde.9;https://twitter.com/marierecalde?lang=fr;http://www.parti-socialiste.fr/personnalite/marie-recalde-2/
Alain;DAVID;Gironde;33;4;https://www.facebook.com/AlainDavid2014/?fref=ts;;http://www.parti-socialiste.fr/personnalite/alain-david/
Pascale;GOT;Gironde;33;10;https://www.facebook.com/pascale.got;https://twitter.com/Pascalegot;http://www.parti-socialiste.fr/personnalite/pascale-got/
Benjamin;DELRIEUX;Dordogne;24;4;https://www.facebook.com/benjamindelrieux2017/?fref=ts;https://twitter.com/BenjaminDelrieu;http://www.parti-socialiste.fr/personnalite/benjamin-delrieux/
Michèle;DELAUNAY;Gironde;33;2;https://www.facebook.com/michele.delaunay/;https://twitter.com/micheledelaunay?lang=fr;http://www.parti-socialiste.fr/personnalite/michele-delaunay/
Sandrine;DOUCET;Gironde;33;1;https://www.facebook.com/Sandrine-Doucet-448693545214458/?fref=ts;https://twitter.com/Doucet_Sandrine;http://www.parti-socialiste.fr/personnalite/sandrine-doucet-2/
Michel;VERGNIER;Creuse;23;1;https://www.facebook.com/michelvergnier/?fref=ts;https://twitter.com/MichelVERGNIER?lang=fr;http://www.parti-socialiste.fr/personnalite/michel-vergnier/
Colette;LANGLADE;Dordogne;24;3;https://www.facebook.com/langladecolette/?fref=ts;https://twitter.com/ColetteLanglade;http://www.parti-socialiste.fr/personnalite/colette-langlade/
Michel;MOYRAND;Dordogne;24;1;;https://twitter.com/MichelMoyrand?lang=fr;http://www.parti-socialiste.fr/personnalite/michel-moyrand/
Bernard;COMBES;Corrèze;19;1;https://www.facebook.com/BernardCombes2017/?fref=ts;https://twitter.com/BernardCombes;http://www.parti-socialiste.fr/personnalite/bernard-combes/
Mickaël;Vallet;Charente-Maritime;17;5;https://www.facebook.com/Micka%C3%ABl-Vallet-page-officielle-118544158211481/;https://twitter.com/mickaelvallet?lang=fr;http://www.parti-socialiste.fr/personnalite/mickael-vallet/
Jérôme;LAMBERT;Charente;16;3;;https://twitter.com/jeromelambert16;http://www.parti-socialiste.fr/personnalite/jerome-lambert/
Philippe;NAUCHE;Corrèze;19;2;https://www.facebook.com/PhilippeNaucheBrive/?fref=ts;https://twitter.com/PhilippeNauche;http://www.parti-socialiste.fr/personnalite/philippe-nauche/
Marianne;REYNAUD;Charente;16;2;https://www.facebook.com/reynaudmarianne?fref=ts;https://twitter.com/MarianneReynaud;http://www.parti-socialiste.fr/personnalite/marianne-reynaud/
Françoise;MESNARD;Charente-Maritime;17;3;https://www.facebook.com/saintonge2017/?fref=ts;https://twitter.com/fmesnard;http://www.parti-socialiste.fr/personnalite/francoise-mesnard/
Martine;PINVILLE;Charente;16;1;;https://twitter.com/MartinePinville;http://www.parti-socialiste.fr/personnalite/martine-pinville/
Fabienne;DUGAS RAVENEAU;Charente-Maritime;17;4;https://www.facebook.com/Fabienne-Dugas-Raveneau-2017-136885839707140/?fref=ts;https://twitter.com/fdugasraveneau?lang=fr;http://www.parti-socialiste.fr/personnalite/fabienne-dugas-raveneau/
Jean;Pierre THEVENOT;Seine-Maritime;76;10;https://www.facebook.com/Jean-Pierre-Th%C3%A9venot-2017-220437415106479/?fref=ts;https://twitter.com/JP_THEVENOT;http://www.parti-socialiste.fr/personnalite/jean-pierre-thevenot/
Matthieu;BRASSE;Seine-Maritime;76;7;https://www.facebook.com/MatthieuBrasseLH/?fref=ts;https://twitter.com/MattBrasseLH;http://www.parti-socialiste.fr/personnalite/matthieu-brasse/
Marie;LE VERN;Seine-Maritime;76;6;https://www.facebook.com/marie.levern/?fref=ts;https://twitter.com/Marie_LeVern;http://www.parti-socialiste.fr/personnalite/marie-le-vern/
Catherine;TROALLIC;Seine-Maritime;76;8;https://www.facebook.com/CaTroallic/?fref=ts;https://twitter.com/CaTroallic;http://www.parti-socialiste.fr/personnalite/catherine-troallic/
Christophe;BOUILLON;Seine-Maritime;76;5;https://www.facebook.com/cbouillon1?fref=ts;https://twitter.com/Chris_Bouillon;http://www.parti-socialiste.fr/personnalite/christophe-bouillon-2/
Estelle;GRELIER;Seine-Maritime;76;9;https://www.facebook.com/estelle.grelier/?fref=ts;https://twitter.com/estellegrelier;http://www.parti-socialiste.fr/personnalite/estelle-grelier-2/
Guillaume;BACHELAY;Seine-Maritime;76;4;https://www.facebook.com/guillaume.bachelay.7;https://twitter.com/GBachelay;http://www.parti-socialiste.fr/personnalite/guillaume-bachelay-2/
Luce;PANE;Seine-Maritime;76;3;https://www.facebook.com/luce.pane;;http://www.parti-socialiste.fr/personnalite/luce-pane/
Valérie;FOURNEYRON;Seine-Maritime;76;1;https://www.facebook.com/profile.php?id=100013789264334;https://twitter.com/vfourneyron;http://www.parti-socialiste.fr/personnalite/valerie-fourneyron/
Jacques;Antoine PHILIPPE;Seine-Maritime;76;2;https://www.facebook.com/Jacques-Antoine-Philippe-2017-209497132870454/?fref=ts;;http://www.parti-socialiste.fr/personnalite/jacques-antoine-philippe/
Serge;Delavallée;Orne;61;2;https://www.facebook.com/serge.delavallee;https://twitter.com/Delavalleeserge;http://www.parti-socialiste.fr/personnalite/serge-delavallee/
Isabelle;Boscher;Orne;61;3;https://www.facebook.com/profile.php?id=100012748090807;;http://www.parti-socialiste.fr/personnalite/isabelle-boscher/
Martine;SEGUELA;Eure;27;5;https://www.facebook.com/MartineSeguela2017/?fref=ts;https://twitter.com/martineseguela?lang=fr;http://www.parti-socialiste.fr/personnalite/martine-seguela/
Arnaud;CATHERINE;Manche;50;4;https://www.facebook.com/ACATHERINE2017/;https://twitter.com/arnaudccc?lang=fr;http://www.parti-socialiste.fr/personnalite/arnaud-catherine/
Richard;Jacquet;Eure;27;4;https://www.facebook.com/richardjacquet;https://twitter.com/richardjacquet1?lang=fr;http://www.parti-socialiste.fr/personnalite/richard-jacquet/
Clotilde;Valter;Calvados;14;3;https://www.facebook.com/clotilde.valter;https://twitter.com/clotildevalter?lang=fr;http://www.parti-socialiste.fr/personnalite/clotilde-valter/
Xavier;MADELAINE;Calvados;14;4;;;http://www.parti-socialiste.fr/personnalite/xavier-madelaine/
Laurence;DUMONT;Calvados;14;2;https://www.facebook.com/Laurence-Dumont-973941822650858/;;http://www.parti-socialiste.fr/personnalite/laurence-dumont/
Dominique;LEFEBVRE;Oise;95;10;https://www.facebook.com/Dominique-Lefebvre-281525295101/;https://twitter.com/LefebvrePS;http://www.parti-socialiste.fr/personnalite/dominique-lefebvre/
Eric;VEVE;Calvados;14;1;;https://twitter.com/EricVeve?lang=fr;http://www.parti-socialiste.fr/personnalite/eric-veve/
Guilaine;PESTIE;Oise;95;6;;https://twitter.com/gpaoa;http://www.parti-socialiste.fr/personnalite/guilaine-pestie/
Sandra;NGUYEN DEROSIER;Oise;95;1;https://www.facebook.com/nguyenderosier/?fref=ts;;http://www.parti-socialiste.fr/personnalite/sandra-nguyen-derosier/
Philippe;DOUCET;Oise;95;5;https://www.facebook.com/Philippe-Doucet-233465733388522/?fref=ts;https://twitter.com/pdoucet;http://www.parti-socialiste.fr/personnalite/philippe-doucet-2/
Luc;BROUSSY;Oise;95;9;https://www.facebook.com/LucBroussy2017/?fref=ts;https://twitter.com/LucBroussy;http://www.parti-socialiste.fr/personnalite/luc-broussy-2/
Marie-José;Beaulande;;;;;;http://www.parti-socialiste.fr/personnalite/marie-jose-beaulande/
Ayda;HADIZADEH;Oise;95;2;https://www.facebook.com/aydadeputee/?fref=ts;https://twitter.com/aydahadi;http://www.parti-socialiste.fr/personnalite/ayda-hadizadeh/
Luc;CARVOUNAS;Val-de-Marne;94;9;https://www.facebook.com/luccarvounas/?fref=ts;https://twitter.com/luccarvounas;http://www.parti-socialiste.fr/personnalite/luc-carvounas-2/
Nelly;LEON;Oise;95;3;;;http://www.parti-socialiste.fr/personnalite/nelly-leon/
Zakaria;ZAIDANE;Val-de-Marne;94;4;;https://twitter.com/zakariazaidane;http://www.parti-socialiste.fr/personnalite/zakaria-zaidane/
Elisabeth;POCHON;Seine-Saint-Denis;93;8;https://www.facebook.com/PochonElisabeth/?fref=ts;https://twitter.com/ElisabethPochon;http://www.parti-socialiste.fr/personnalite/elisabeth-pochon/
Razzy;HAMMADI;Seine-Saint-Denis;93;7;https://www.facebook.com/RHammadi/?fref=ts;https://twitter.com/RHammadi;http://www.parti-socialiste.fr/personnalite/razzy-hammadi-2/
Daniel;GOLDBERG;Seine-Saint-Denis;93;10;;https://twitter.com/GoldbergDaniel;http://www.parti-socialiste.fr/personnalite/daniel-goldberg/
Caroline;ADOMO;Val-de-Marne;94;5;https://www.facebook.com/caroline.adomo.2012;https://twitter.com/CarolineADOMO;http://www.parti-socialiste.fr/personnalite/caroline-adomo/
Valérie;MERY FRITZ;Seine-Saint-Denis;93;5;;https://twitter.com/ValFritzMery;http://www.parti-socialiste.fr/personnalite/valerie-mery-fritz/
Elisabeth;GUIGOU;Seine-Saint-Denis;93;6;https://www.facebook.com/elisabeth.guigou/?ref=ts&fref=ts&qsefr=1;https://twitter.com/elisabethguigou;http://www.parti-socialiste.fr/personnalite/elisabeth-guigou/
Jean-Marc;GERMAIN;Hauts-de-Seine;92;12;;https://twitter.com/jmgermain;http://www.parti-socialiste.fr/personnalite/jean-marc-germain-2/
Mathieu;HANOTIN;Seine-Saint-Denis;93;2;https://www.facebook.com/mathieu.hanotin/?fref=ts;https://twitter.com/MathieuHanotin;http://www.parti-socialiste.fr/personnalite/mathieu-hanotin/
Benjamin;LANIER;Hauts-de-Seine;92;13;;https://twitter.com/benjaminlanier;http://www.parti-socialiste.fr/personnalite/benjamin-lanier/
Thomas;PUIJALON;Hauts-de-Seine;92;10;;https://twitter.com/tpuijalon;http://www.parti-socialiste.fr/personnalite/thomas-puijalon/
Julie;SOMMARUGA;Hauts-de-Seine;92;11;https://www.facebook.com/julie.sommaruga;https://twitter.com/JulieSOMMARUGA;http://www.parti-socialiste.fr/personnalite/julie-sommaruga/
Marie;BRANNENS;Hauts-de-Seine;92;6;;;http://www.parti-socialiste.fr/personnalite/marie-brannens/
Catherine;LIME BIFFE;Hauts-de-Seine;92;8;;https://twitter.com/CatherineLime;http://www.parti-socialiste.fr/personnalite/catherine-lime-biffe/
Habiba;BIGDADE;Hauts-de-Seine;92;4;https://www.facebook.com/hbigdade/?fref=ts;https://twitter.com/HabibaBigdade;http://www.parti-socialiste.fr/personnalite/habiba-bigdade/
Isabelle;DAHAN;Hauts-de-Seine;92;3;https://www.facebook.com/IsabelleDahan92/?fref=ts;https://twitter.com/isabelledahan92;http://www.parti-socialiste.fr/personnalite/isabelle-dahan/
Lies;MESSATFA;Hauts-de-Seine;92;5;https://www.facebook.com/LMessatfa/?fref=ts;https://twitter.com/LiesMessatfa;http://www.parti-socialiste.fr/personnalite/lies-messatfa/
Alexis;BACHELAY;Hauts-de-Seine;92;1;https://www.facebook.com/ABachelay/?fref=ts;https://twitter.com/ABachelay;http://www.parti-socialiste.fr/personnalite/alexis-bachelay/
Chantal;BARTHELEMY RUIZ;Hauts-de-Seine;92;2;;;http://www.parti-socialiste.fr/personnalite/chantal-barthelemy-ruiz/
Faten;Ben Ahmed;;;;;;http://www.parti-socialiste.fr/personnalite/faten-ben-ahmed/
Malek;BOUTIH;Essonne;91;10;;https://twitter.com/MalekBoutih;http://www.parti-socialiste.fr/personnalite/malek-boutih/
Maud;OLIVIER;Essonne;91;5;https://www.facebook.com/maud.olivier?fref=ts;https://twitter.com/OlivierMaud;http://www.parti-socialiste.fr/personnalite/maud-olivier/
Jérôme;GUEDJ;Essonne;91;6;;https://twitter.com/JeromeGuedj;http://www.parti-socialiste.fr/personnalite/jerome-guedj/
Romain;COLAS;Essonne;91;9;https://www.facebook.com/ColasRomain/?fref=ts;https://twitter.com/romaincolas;http://www.parti-socialiste.fr/personnalite/romain-colas/
Michel;POUZOL;Essonne;91;3;https://www.facebook.com/Michel-Pouzol-347946781968131/;https://twitter.com/MichelPouzol;http://www.parti-socialiste.fr/personnalite/michel-pouzol/
Ophélie;GUIN;Essonne;91;4;;https://twitter.com/OphelieGuin;http://www.parti-socialiste.fr/personnalite/ophelie-guin/
Benoit;HAMON;Yvelines;78;11;https://www.facebook.com/hamonbenoit/?fref=ts;https://twitter.com/benoithamon;http://www.parti-socialiste.fr/personnalite/benoit-hamon/
Ali;MOHAMMAD;Yvelines;78;9;https://www.facebook.com/ali.mohammad.5268?fref=ts;;http://www.parti-socialiste.fr/personnalite/ali-mohammad/
Marie-Noelle;BAS;Yvelines;78;12;https://www.facebook.com/marienoelle.bas?fref=ts;https://twitter.com/MarieNoelleBas;http://www.parti-socialiste.fr/personnalite/marie-noelle-bas-2/
Jean-Claude;HUSSON;Yvelines;78;10;https://www.facebook.com/husson2017/;https://twitter.com/husson2017;http://www.parti-socialiste.fr/personnalite/jean-claude-husson/
Françoise;DESCAMPS CROSNIER;Yvelines;78;8;https://www.facebook.com/fdc2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/francoise-descamps-crosnier/
Monika;BELALA;Yvelines;78;4;;https://twitter.com/Monika_Belala;http://www.parti-socialiste.fr/personnalite/monika-belala/
Angéline;SILLY;Yvelines;78;6;https://www.facebook.com/ASilly2017/?fref=ts;https://twitter.com/AngelineSilly;http://www.parti-socialiste.fr/personnalite/angeline-silly/
Nicolas;HUE;Yvelines;78;3;https://www.facebook.com/nicolas.hue.14?fref=ts;https://twitter.com/huenicolas78;http://www.parti-socialiste.fr/personnalite/nicolas-hue/
Charlotte;ROSSETTINI;Yvelines;78;1;https://www.facebook.com/charlotte.rossettini?fref=ts;https://twitter.com/Charlotterosse5;http://www.parti-socialiste.fr/personnalite/charlotte-rossettini/
Amroze;ADJUWARD;Yvelines;78;7;https://www.facebook.com/innovons.velizy?ref=ts&fref=ts&qsefr=1;https://twitter.com/InnovonsVelizy;http://www.parti-socialiste.fr/personnalite/amroze-adjuward/
Juliette;MEADEL;Seine-et-Marne;77;10;https://www.facebook.com/juliettemeadel/?fref=ts;https://twitter.com/juliettemeadel;http://www.parti-socialiste.fr/personnalite/juliette-meadel-2/
Olivier;FAURE;Seine-et-Marne;77;11;https://www.facebook.com/olivierfaure77/?fref=ts;https://twitter.com/faureolivier;http://www.parti-socialiste.fr/personnalite/olivier-faure-2/
Stéphane;JABUT;Seine-et-Marne;77;7;https://www.facebook.com/stephane.jabut?fref=ts;https://twitter.com/StephaneJabut;http://www.parti-socialiste.fr/personnalite/stephane-jabut/
Monique;DELESSARD;Seine-et-Marne;77;9;https://www.facebook.com/profile.php?id=100011597530428&fref=ts;;http://www.parti-socialiste.fr/personnalite/monique-delessard/
Eduardo;RIHAN CYPEL;Seine-et-Marne;77;8;https://www.facebook.com/eduardo.cypel?fref=ts;https://twitter.com/Rihan_Cypel;http://www.parti-socialiste.fr/personnalite/eduardo-rihan-cypel-2/
Olivier;HUSSON;Seine-et-Marne;77;4;https://www.facebook.com/OlivierHusson2017/?fref=ts;https://twitter.com/olivierhusson17;http://www.parti-socialiste.fr/personnalite/olivier-husson/
Bastien;MARGUERITE;Seine-et-Marne;77;6;https://www.facebook.com/bastienmargueritemeaux/?fref=ts;https://twitter.com/bmarguerite;http://www.parti-socialiste.fr/personnalite/bastien-marguerite/
Marie;Laure FAGES;Seine-et-Marne;77;3;https://www.facebook.com/Fages2017/;https://twitter.com/MLFages;http://www.parti-socialiste.fr/personnalite/marie-laure-fages-2/
Nicolas;ALIX;Seine-et-Marne;77;1;https://www.facebook.com/NicolasAlix2017/;https://twitter.com/Nico_Alix;http://www.parti-socialiste.fr/personnalite/nicolas-alix/
Colombe;BROSSEL;Paris;75;17;https://www.facebook.com/colombe.brossel?fref=ts;https://twitter.com/CBrossel2017;http://www.parti-socialiste.fr/personnalite/colombe-brossel-2/
Jean;Christophe CAMBADELIS;Paris;75;16;https://www.facebook.com/jccambadelis/?fref=ts;https://twitter.com/jccambadelis;http://www.parti-socialiste.fr/personnalite/jean-christophe-cambadelis-2/
Myriam;EL KHOMRI;Paris;75;18;https://www.facebook.com/myriam.khomri/?fref=ts;https://twitter.com/MyriamElKhomri;http://www.parti-socialiste.fr/personnalite/myriam-el-khomri/
George;PAU LANGEVIN;Paris;75;15;https://www.facebook.com/georgepaulange20/?fref=ts;https://twitter.com/Pau_Langevin;http://www.parti-socialiste.fr/personnalite/george-pau-langevin/
Pierre-Alain;WEILL;Paris;75;14;https://www.facebook.com/PAW2017/?fref=ts;https://twitter.com/PAWeill;http://www.parti-socialiste.fr/personnalite/pierre-alain-weill-2/
Seybah;DAGOMA;Paris;75;5;https://www.facebook.com/seybahdagoma/?fref=ts;https://twitter.com/SeybahDagoma;http://www.parti-socialiste.fr/personnalite/seybah-dagoma-2/
Florian;SITBON;Paris;75;12;https://www.facebook.com/florian.sitbon.37?fref=ts;https://twitter.com/FlorianSitbon;http://www.parti-socialiste.fr/personnalite/florian-sitbon/
Sandrine;MAZETIER;Paris;75;8;https://www.facebook.com/sandrine.mazetier/?fref=ts;https://twitter.com/S_Mazetier;http://www.parti-socialiste.fr/personnalite/sandrine-mazetier-2/
Pascal;CHERKI;Paris;75;11;https://www.facebook.com/cherkipascal/?fref=ts;https://twitter.com/pascalcherki;http://www.parti-socialiste.fr/personnalite/pascal-cherki/
Patrick;BLOCHE;Paris;75;7;https://www.facebook.com/patrickbloche/;https://twitter.com/pbloche;http://www.parti-socialiste.fr/personnalite/patrick-bloche-2/
Jean-Marie;LE GUEN;Paris;75;9;https://www.facebook.com/leguen.jeanmarie/?fref=ts;https://twitter.com/jm_leguen;http://www.parti-socialiste.fr/personnalite/jean-marie-guen/
Fabrice;DASSIE;Paris;75;4;https://www.facebook.com/fabrice.dassie?fref=ts;https://twitter.com/fabrice_dassie;http://www.parti-socialiste.fr/personnalite/fabrice-dassie/
Marine;ROSSET;Paris;75;2;https://www.facebook.com/profile.php?id=100008199645560&fref=ts;https://twitter.com/MarineRosset;http://www.parti-socialiste.fr/personnalite/marine-rosset/
Annick;LEPETIT;Paris;75;3;https://www.facebook.com/Annick-Lepetit-115677711795604/?fref=ts;https://twitter.com/annick_lepetit;http://www.parti-socialiste.fr/personnalite/annick-lepetit/
Pauline;VERON;Paris;75;1;https://www.facebook.com/profile.php?id=100014655784623&fref=ts;https://twitter.com/PaulineVeron;http://www.parti-socialiste.fr/personnalite/pauline-veron/
Benjamin;LUCAS;Somme;80;5;https://www.facebook.com/ben.lucas.33?fref=ts;https://twitter.com/benlucas80;http://www.parti-socialiste.fr/personnalite/benjamin-lucas/
Pascale;BOISTARD;Somme;80;1;https://www.facebook.com/PascaleBoistard/;https://twitter.com/Pascaleboistard;http://www.parti-socialiste.fr/personnalite/pascale-boistard/
Philippe;KEMEL;Pas-de-Calais;62;11;https://www.facebook.com/philippe.kemel?fref=ts;https://twitter.com/philippekemel?lang=fr;http://www.parti-socialiste.fr/personnalite/philippe-kemel/
Nicolas;BAYS;Pas-de-Calais;62;12;https://www.facebook.com/nicolasbaysdepute/;https://twitter.com/nicolasbays?lang=fr;http://www.parti-socialiste.fr/personnalite/nicolas-bays/
Bernard;CAILLIAU;Pas-de-Calais;62;10;;;http://www.parti-socialiste.fr/personnalite/bernard-cailliau/
Yann;CAPET;Pas-de-Calais;62;7;;https://twitter.com/Yann_Capet;http://www.parti-socialiste.fr/personnalite/yann-capet/
Bertrand;PETIT;Pas-de-Calais;62;8;;;http://www.parti-socialiste.fr/personnalite/bertrand-petit/
Frédéric;CUVILLIER;Pas-de-Calais;62;5;https://www.facebook.com/fcuvillier2/?fref=ts;https://twitter.com/fcuvillier;http://www.parti-socialiste.fr/personnalite/frederic-cuvillier/
Brigitte;BOURGUIGNON;Pas-de-Calais;62;6;https://www.facebook.com/bbourguignondeputee/;https://twitter.com/BourguignonBrig;http://www.parti-socialiste.fr/personnalite/brigitte-bourguignon-2/
Frédérique;MASSON;Pas-de-Calais;62;3;;https://twitter.com/fred_masson;http://www.parti-socialiste.fr/personnalite/frederique-masson-2/
Blandine;DRAIN;Pas-de-Calais;62;4;https://www.facebook.com/drain.blandine/?fref=ts;https://twitter.com/BlandineDrain;http://www.parti-socialiste.fr/personnalite/blandine-drain/
Jean-Jacques;COTTEL;Pas-de-Calais;62;1;https://www.facebook.com/jjcotteldepute/?fref=ts;https://twitter.com/cotteljj;http://www.parti-socialiste.fr/personnalite/jean-jacques-cottel/
