Prénom;Nom;Département;Numéro de département;Numéro de la circonscription;facebook;twitter;url
Jean-Pierre;VEYRET;Drôme;26;1;;https://twitter.com/pjveyret;http://www.parti-socialiste.fr/personnalite/jean-pierre-veyret/
Isabelle;BRUNEAU;Indre;36;2;https://www.facebook.com/isabellebruneau2017/;https://twitter.com/IsabelleBrunea1;http://www.parti-socialiste.fr/personnalite/isabelle-bruneau/
Nadia;FAVERIS;Eure-et-Loir;28;2;https://www.facebook.com/FaverisNadia/;;http://www.parti-socialiste.fr/personnalite/nadia-faveris/
Hervé;Saulignac;Ardèche;07;1;https://www.facebook.com/herve.saulignac;https://twitter.com/hsaulignac?lang=fr;http://www.parti-socialiste.fr/personnalite/herve-saulignac/
Marisol;TOURAINE;Indre-et-Loire;37;3;https://www.facebook.com/mtouraine/?fref=ts;https://twitter.com/MarisolTouraine;http://www.parti-socialiste.fr/personnalite/touraine-marisol/
Sabine;BUIS;Ardèche;04;3;https://www.facebook.com/Sabine-Buis-141867712625874/;https://twitter.com/BuisSabine;http://www.parti-socialiste.fr/personnalite/sabine-buis-2/
Magali;ALEXANDRE;Allier;03;1;https://www.facebook.com/MagaliAlexandre2017/;https://twitter.com/MagaliAlexandr;http://www.parti-socialiste.fr/personnalite/magali-alexandre/
Stessy;SPEISSMANN;Vosges;88;3;;https://twitter.com/Stessy2;http://www.parti-socialiste.fr/personnalite/stessy-speissmann/
Laurent;BAUMEL;Indre-et-Loire;37;4;https://www.facebook.com/laurent.baumel/?fref=ts;https://twitter.com/laurentbaumel;http://www.parti-socialiste.fr/personnalite/laurent-baumel/
Aude;LEDUC;Nord;59;5;;https://twitter.com/AudeLeduc;http://www.parti-socialiste.fr/personnalite/aude-leduc/
Philippe;HARQUET;Nord;59;4;;https://twitter.com/philippeharque1?lang=fr;http://www.parti-socialiste.fr/personnalite/philippe-harquet/
Nicolas;BRIEN;Allier;03;2;;https://twitter.com/nicolasbrien03;http://www.parti-socialiste.fr/personnalite/nicolas-brien/
Yasmina;CHIGRI KERNAB;Nord;59;10;;https://twitter.com/Chigri5;http://www.parti-socialiste.fr/personnalite/yasmina-chigri-kernab/
Christian;DEVOS;Nord;59;14;;;http://www.parti-socialiste.fr/personnalite/christian-devos/
Isabelle;GAUDRON;Indre-et-Loire;37;2;https://www.facebook.com/isabellegaudron2017/?fref=ts;https://twitter.com/isabellegaudron;http://www.parti-socialiste.fr/personnalite/isabelle-gaudron/
Martine;FRANCOIS;Vosges;88;1;;;http://www.parti-socialiste.fr/personnalite/martine-francois/
Philippe;KIZIRIAN;Loire;42;3;https://www.facebook.com/Kizirian-Philippe-1638173496482941/?fref=ts;https://twitter.com/PKizirian?lang=fr;http://www.parti-socialiste.fr/personnalite/philippe-kizirian/
Fabrice;FARISON;Haute-Loire;43;1;;https://twitter.com/ffarison;http://www.parti-socialiste.fr/personnalite/fabrice-farison/
Jean-Patrick;GILLE;Indre-et-Loire;37;1;https://www.facebook.com/jpgille/?fref=ts;https://twitter.com/jp_gille;http://www.parti-socialiste.fr/personnalite/jean-patrick-gille/
Josiane;MIALON;Haute-Loire;43;2;;;http://www.parti-socialiste.fr/personnalite/josiane-mialon/
Christine;PIRES BEAUNE;Puy-de-Dôme;63;2;;https://twitter.com/cpiresbeaune;http://www.parti-socialiste.fr/personnalite/christine-pires-beaune/
Roger;VICOT;Nord;59;11;https://www.facebook.com/rogervicotmairedelomme/?fref=ts;https://twitter.com/rvicot;http://www.parti-socialiste.fr/personnalite/roger-vicot/
Régis;JUANICO;Loire;42;1;;https://twitter.com/Juanico;http://www.parti-socialiste.fr/personnalite/regis-juanico/
Hélène;VIARD;Nord;59;7;https://www.facebook.com/HeleneViard2017/?fref=ts;;http://www.parti-socialiste.fr/personnalite/helene-viard/
Géraldine;SACCHI-HASSANEIN;Ain;01;3;https://www.facebook.com/geraldine.sacchihassanein;https://twitter.com/GeraldineSacchi;http://www.parti-socialiste.fr/personnalite/geraldine-sacchi-hassanein/
Sophie;GALLAIS;Val-de-Marne;94;8;;;http://www.parti-socialiste.fr/personnalite/sophie-gallais/
Cécile;AUDET;Puy-de-Dôme;63;1;https://www.facebook.com/Audet2017/?fref=ts;https://twitter.com/CecileAUDET;http://www.parti-socialiste.fr/personnalite/cecile-audet/
Sylvie;MAISONNET;Puy-de-Dôme;63;4;https://www.facebook.com/Sylvie.Maisonnet2017/;https://twitter.com/SylvieMaisonnet;http://www.parti-socialiste.fr/personnalite/sylvie-maisonnet/
Gérard;BETENFELD;Puy-de-Dôme;63;5;https://www.facebook.com/gerard.betenfeld?fref=ts;;http://www.parti-socialiste.fr/personnalite/gerard-betenfeld/
Stéphane;CORDIER;Eure-et-Loir;28;1;;https://twitter.com/stefcordier28;http://www.parti-socialiste.fr/personnalite/stephane-cordier/
Jérôme;DECROCK;Morbihan;56;6;https://www.facebook.com/DecrockJerome/?fref=ts;https://twitter.com/jeromedecrock;http://www.parti-socialiste.fr/personnalite/jerome-decrock/
